,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1410.0,1427.0,1261.6,1382.65,1312.0,1315.65,1321.15,4190.0,1017.45,8736727,11542501086.15,422968,ADANIENT
1,2023-02-23,EQ,1380.0,1438.0,1350.0,1404.85,1388.85,1382.65,1394.0,4190.0,1017.45,8907540,12417096828.45,427592,ADANIENT
2,2023-02-22,EQ,1535.0,1560.0,1381.2,1571.1,1397.5,1404.85,1439.33,4190.0,1017.45,10606476,15266186108.8,509088,ADANIENT
3,2023-02-21,EQ,1626.0,1644.45,1561.3,1621.45,1563.9,1571.1,1598.62,4190.0,1017.45,5571915,8907400136.15,281877,ADANIENT
4,2023-02-20,EQ,1650.0,1685.0,1560.5,1722.7,1613.0,1621.45,1623.91,4190.0,1017.45,6762330,10981416978.4,334008,ADANIENT
5,2023-02-17,EQ,1800.0,1815.85,1703.2,1796.6,1719.0,1722.7,1747.8,4190.0,1017.45,5392513,9425015185.7,282372,ADANIENT
6,2023-02-16,EQ,1820.0,1874.95,1790.0,1779.1,1796.85,1796.6,1818.58,4190.0,1017.45,5578515,10145002776.5,298112,ADANIENT
7,2023-02-15,EQ,1780.0,1824.4,1750.0,1749.7,1772.0,1779.1,1788.18,4190.0,1017.45,7636578,13655586649.5,385669,ADANIENT
8,2023-02-14,EQ,1735.0,1889.0,1611.35,1717.65,1750.0,1749.7,1736.55,4190.0,1017.45,14579030,25317265469.45,687240,ADANIENT
9,2023-02-13,EQ,1850.0,1921.7,1662.25,1846.95,1706.0,1717.65,1753.0,4190.0,1017.45,12210940,21405744070.1,617527,ADANIENT
10,2023-02-10,EQ,1769.0,1990.0,1733.15,1925.7,1853.0,1846.95,1891.35,4190.0,1017.45,11334878,21438181678.75,539738,ADANIENT
11,2023-02-09,EQ,2168.0,2168.0,1731.4,2164.25,1922.0,1925.7,1972.72,4190.0,1017.45,18279862,36061116390.95,829391,ADANIENT
12,2023-02-08,EQ,1869.85,2222.15,1840.85,1802.95,2220.0,2164.25,2023.24,4190.0,1017.45,19173006,38791512825.6,861666,ADANIENT
13,2023-02-07,EQ,1571.0,1962.7,1525.6,1572.7,1813.0,1802.95,1764.46,4190.0,1017.45,19188072,33856529198.55,809538,ADANIENT
14,2023-02-06,EQ,1575.0,1615.0,1435.2,1586.8,1554.3,1572.7,1539.88,4190.0,1017.45,19308603,29732853741.55,911312,ADANIENT
