,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,557.0,565.9,543.2,551.85,559.8,558.9,554.34,987.85,395.1,8631548,4784824964.15,128775,ADANIPORTS
1,2023-02-23,EQ,539.5,558.15,533.65,547.1,553.6,551.85,547.75,987.85,395.1,10711597,5867321506.5,158032,ADANIPORTS
2,2023-02-22,EQ,583.5,583.55,540.0,583.2,540.95,547.1,558.86,987.85,395.1,10994235,6144270357.1,193991,ADANIPORTS
3,2023-02-21,EQ,585.0,593.8,579.2,579.7,584.0,583.2,586.7,987.85,395.1,7702230,4518874075.3,130920,ADANIPORTS
4,2023-02-20,EQ,567.3,581.65,560.0,578.65,580.05,579.7,572.14,987.85,395.1,9507162,5439403085.25,132994,ADANIPORTS
5,2023-02-17,EQ,579.0,586.0,569.1,577.2,577.55,578.65,577.4,987.85,395.1,8880620,5127640800.95,129313,ADANIPORTS
6,2023-02-16,EQ,580.0,590.8,573.3,569.05,578.0,577.2,581.17,987.85,395.1,9909820,5759329408.3,165208,ADANIPORTS
7,2023-02-15,EQ,567.8,578.85,561.9,565.1,569.35,569.05,569.76,987.85,395.1,9259895,5275958368.2,154159,ADANIPORTS
8,2023-02-14,EQ,551.0,581.25,538.3,553.7,564.0,565.1,560.09,987.85,395.1,17976429,10068397405.85,323360,ADANIPORTS
9,2023-02-13,EQ,587.9,596.1,537.4,583.95,552.5,553.7,562.14,987.85,395.1,19528545,10977691210.7,344169,ADANIPORTS
10,2023-02-10,EQ,573.6,599.9,560.0,582.3,584.0,583.95,587.7,987.85,395.1,12527188,7362202641.7,235173,ADANIPORTS
11,2023-02-09,EQ,587.25,589.0,546.2,599.25,581.65,582.3,573.99,987.85,395.1,22494005,12911401145.05,398039,ADANIPORTS
12,2023-02-08,EQ,564.0,605.0,563.0,553.15,603.0,599.25,591.14,987.85,395.1,31111885,18391424759.75,563228,ADANIPORTS
13,2023-02-07,EQ,550.0,598.45,543.0,545.45,555.95,553.15,573.14,987.85,395.1,46650736,26737421509.05,686386,ADANIPORTS
14,2023-02-06,EQ,498.0,548.7,476.7,498.85,541.9,545.45,520.79,987.85,395.1,38363919,19979628063.9,529063,ADANIPORTS
15,2023-02-03,EQ,459.0,507.0,395.1,462.45,488.4,498.85,447.54,987.85,395.1,89662866,40127998245.25,1070832,ADANIPORTS
16,2023-02-02,EQ,510.0,534.0,424.05,495.15,459.5,462.45,465.01,987.85,424.05,115517458,53716569907.8,1298246,ADANIPORTS
17,2023-02-01,EQ,627.0,629.0,459.5,612.65,504.0,495.15,544.61,987.85,459.5,46557720,25355871628.45,594888,ADANIPORTS
18,2023-01-31,EQ,600.0,626.9,588.1,597.0,613.3,612.65,609.5,987.85,537.0,33272489,20279491479.95,454898,ADANIPORTS
19,2023-01-30,EQ,620.0,656.6,566.95,596.95,600.8,597.0,604.66,987.85,537.0,58256575,35225436328.7,835679,ADANIPORTS
20,2023-01-27,EQ,699.0,699.85,537.0,713.15,604.5,596.95,616.1,987.85,537.0,64194046,39550168575.85,816215,ADANIPORTS
21,2023-01-25,EQ,753.0,756.9,706.0,761.2,714.55,713.15,720.06,987.85,651.95,17085455,12302598593.7,317405,ADANIPORTS
22,2023-01-24,EQ,769.15,774.0,758.0,769.05,759.0,761.2,766.71,987.85,651.95,3011438,2308911115.65,73048,ADANIPORTS
23,2023-01-23,EQ,778.35,778.35,762.4,774.45,767.75,769.05,769.2,987.85,651.95,4283589,3294917118.7,85286,ADANIPORTS
24,2023-01-20,EQ,776.0,786.6,772.45,776.05,772.95,774.45,779.81,987.85,651.95,3328697,2595759065.85,53255,ADANIPORTS
25,2023-01-19,EQ,783.95,783.95,771.75,786.5,773.0,776.05,777.06,987.85,651.95,5086667,3952623668.5,66003,ADANIPORTS
26,2023-01-18,EQ,784.0,795.85,776.6,784.75,782.4,786.5,787.59,987.85,651.95,5585785,4399315370.9,81950,ADANIPORTS
27,2023-01-17,EQ,788.35,791.45,778.1,787.05,784.0,784.75,785.54,987.85,651.95,2948618,2316263979.6,66214,ADANIPORTS
28,2023-01-16,EQ,797.0,797.5,784.4,794.65,788.35,787.05,788.82,987.85,651.95,3601251,2840732127.75,63605,ADANIPORTS
29,2023-01-13,EQ,795.6,800.25,786.0,792.95,793.0,794.65,793.78,987.85,651.95,4059998,3222740713.65,59898,ADANIPORTS
30,2023-01-12,EQ,796.7,799.45,786.1,796.45,795.0,792.95,793.2,987.85,651.95,2670641,2118343950.5,61573,ADANIPORTS
31,2023-01-11,EQ,800.0,803.1,789.05,796.4,794.0,796.45,796.74,987.85,651.95,3618663,2883146888.9,65665,ADANIPORTS
32,2023-01-10,EQ,817.0,820.65,781.1,816.65,795.0,796.4,798.76,987.85,651.95,4545808,3631027753.2,96236,ADANIPORTS
33,2023-01-09,EQ,810.45,820.25,809.1,806.1,817.0,816.65,815.39,987.85,651.95,2040072,1663450226.6,43195,ADANIPORTS
34,2023-01-06,EQ,819.9,824.4,803.5,819.6,805.8,806.1,811.46,987.85,651.95,2892006,2346747212.05,77774,ADANIPORTS
35,2023-01-05,EQ,814.05,821.6,797.0,810.0,818.25,819.6,812.2,987.85,651.95,3119740,2533859956.55,65560,ADANIPORTS
36,2023-01-04,EQ,820.8,822.0,806.5,820.45,807.0,810.0,814.04,987.85,651.95,3260112,2653851029.15,54470,ADANIPORTS
37,2023-01-03,EQ,822.25,826.4,817.8,822.3,818.0,820.45,821.76,987.85,651.95,2166531,1780376177.45,37159,ADANIPORTS
38,2023-01-02,EQ,823.0,826.75,816.3,818.1,822.0,822.3,822.02,987.85,651.95,2042294,1678797212.4,38026,ADANIPORTS
39,2022-12-30,EQ,822.45,826.75,815.6,819.55,819.0,818.1,820.97,987.85,651.95,3252956,2670568029.7,52188,ADANIPORTS
40,2022-12-29,EQ,807.0,822.5,799.55,810.35,820.95,819.55,810.91,987.85,651.95,5308353,4304613671.75,69280,ADANIPORTS
41,2022-12-28,EQ,815.75,817.0,808.8,817.15,810.0,810.35,812.73,987.85,651.95,3624974,2946141388.3,56237,ADANIPORTS
42,2022-12-27,EQ,810.1,821.2,798.1,806.05,816.5,817.15,809.37,987.85,651.95,4872234,3943424025.0,116194,ADANIPORTS
43,2022-12-26,EQ,798.0,812.0,785.3,794.1,805.95,806.05,803.31,987.85,651.95,7205540,5788306070.0,100608,ADANIPORTS
44,2022-12-23,EQ,853.0,853.95,790.2,856.9,796.4,794.1,815.94,987.85,651.95,9112806,7435525713.2,172534,ADANIPORTS
45,2022-12-22,EQ,864.7,874.3,845.55,857.65,854.7,856.9,857.3,987.85,651.95,5517570,4730190291.45,105322,ADANIPORTS
46,2022-12-21,EQ,887.0,893.0,851.55,884.25,858.8,857.65,872.41,987.85,651.95,4660583,4065947162.7,79842,ADANIPORTS
47,2022-12-20,EQ,894.1,895.3,871.3,892.85,885.0,884.25,881.35,987.85,651.95,4023275,3545902269.55,63661,ADANIPORTS
48,2022-12-19,EQ,860.45,896.0,859.6,860.45,895.3,892.85,879.24,987.85,651.95,5205837,4577205784.65,78462,ADANIPORTS
49,2022-12-16,EQ,882.95,890.95,854.4,883.95,858.9,860.45,869.91,987.85,651.95,7791763,6778147310.35,96625,ADANIPORTS
50,2022-12-15,EQ,900.25,906.95,880.35,900.55,883.05,883.95,894.67,987.85,651.95,3679459,3291887091.9,72821,ADANIPORTS
51,2022-12-14,EQ,897.2,908.5,891.65,894.8,897.0,900.55,901.09,987.85,651.95,4930906,4443189838.0,57782,ADANIPORTS
52,2022-12-13,EQ,884.95,898.0,881.3,881.3,892.7,894.8,890.47,987.85,651.95,3821073,3402562361.0,47167,ADANIPORTS
53,2022-12-12,EQ,892.05,894.85,878.55,890.75,881.55,881.3,885.27,987.85,651.95,3412185,3020718449.45,51229,ADANIPORTS
