,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,4455.05,4486.0,4396.9,4448.05,4486.0,4470.65,4448.62,5016.55,3361.55,358946,1596812870.05,33745,APOLLOHOSP
1,2023-02-23,EQ,4471.35,4518.3,4401.0,4449.1,4450.0,4448.05,4460.62,5016.55,3361.55,443522,1978384555.75,43410,APOLLOHOSP
2,2023-02-22,EQ,4505.0,4535.95,4440.0,4502.05,4440.0,4449.1,4476.52,5016.55,3361.55,333978,1495057919.5,38543,APOLLOHOSP
3,2023-02-21,EQ,4611.0,4640.0,4491.0,4610.6,4503.8,4502.05,4542.6,5016.55,3361.55,490637,2228765317.85,40291,APOLLOHOSP
4,2023-02-20,EQ,4593.0,4649.95,4575.35,4614.7,4604.0,4610.6,4614.39,5016.55,3361.55,232327,1072046311.25,31858,APOLLOHOSP
5,2023-02-17,EQ,4640.15,4668.95,4576.0,4643.15,4615.2,4614.7,4611.66,5016.55,3361.55,408098,1882007419.5,44342,APOLLOHOSP
6,2023-02-16,EQ,4509.95,4668.0,4500.15,4487.9,4640.15,4643.15,4621.13,5016.55,3361.55,1419679,6560515901.85,98834,APOLLOHOSP
7,2023-02-15,EQ,4170.0,4514.0,4170.0,4268.85,4482.0,4487.9,4392.38,5016.55,3361.55,2724361,11966416929.1,181038,APOLLOHOSP
8,2023-02-14,EQ,4380.45,4380.45,4251.05,4358.65,4252.0,4268.85,4300.61,5016.55,3361.55,339582,1460409230.2,36527,APOLLOHOSP
9,2023-02-13,EQ,4430.4,4439.6,4328.0,4416.25,4335.9,4358.65,4391.25,5016.55,3361.55,272935,1198526460.5,25434,APOLLOHOSP
10,2023-02-10,EQ,4385.4,4425.3,4350.25,4389.3,4408.0,4416.25,4397.0,5016.55,3361.55,359807,1582071801.6,29658,APOLLOHOSP
11,2023-02-09,EQ,4347.35,4404.45,4325.0,4391.25,4379.15,4389.3,4378.53,5016.55,3361.55,284239,1244548528.4,25538,APOLLOHOSP
12,2023-02-08,EQ,4320.0,4404.3,4302.55,4315.6,4393.75,4391.25,4373.35,5016.55,3361.55,250175,1094102295.7,28964,APOLLOHOSP
13,2023-02-07,EQ,4305.0,4360.0,4271.35,4320.7,4301.4,4315.6,4321.48,5016.55,3361.55,319090,1378942256.05,28929,APOLLOHOSP
14,2023-02-06,EQ,4211.0,4335.65,4189.65,4251.6,4325.0,4320.7,4267.44,5016.55,3361.55,257669,1099587259.25,34492,APOLLOHOSP
15,2023-02-03,EQ,4245.0,4259.8,4158.0,4231.5,4239.0,4251.6,4197.42,5016.55,3361.55,413966,1737588315.05,28767,APOLLOHOSP
16,2023-02-02,EQ,4262.0,4262.0,4170.0,4262.65,4240.0,4231.5,4221.52,5016.55,3361.55,479256,2023187423.25,39475,APOLLOHOSP
17,2023-02-01,EQ,4275.0,4352.0,4211.5,4255.9,4270.0,4262.65,4290.95,5016.55,3361.55,321331,1378815985.0,33812,APOLLOHOSP
18,2023-01-31,EQ,4239.5,4303.75,4127.05,4237.7,4270.0,4255.9,4230.04,5016.55,3361.55,671038,2838516253.0,79008,APOLLOHOSP
19,2023-01-30,EQ,4236.5,4260.0,4123.0,4244.15,4231.05,4237.7,4202.4,5016.55,3361.55,623069,2618385606.15,48894,APOLLOHOSP
20,2023-01-27,EQ,4228.0,4285.35,4192.1,4224.35,4265.0,4244.15,4233.11,5016.55,3361.55,421866,1785805055.5,45654,APOLLOHOSP
21,2023-01-25,EQ,4314.95,4318.0,4194.0,4305.0,4232.0,4224.35,4232.68,5016.55,3361.55,423714,1793447841.8,32234,APOLLOHOSP
22,2023-01-24,EQ,4349.95,4349.95,4290.8,4335.45,4305.0,4305.0,4320.45,5016.55,3361.55,178860,772756418.45,21576,APOLLOHOSP
23,2023-01-23,EQ,4294.4,4353.5,4286.9,4285.25,4347.0,4335.45,4329.9,5016.55,3361.55,161350,698630029.3,21324,APOLLOHOSP
24,2023-01-20,EQ,4302.0,4322.45,4264.2,4318.15,4275.0,4285.25,4287.23,5016.55,3361.55,242706,1040536998.95,25431,APOLLOHOSP
25,2023-01-19,EQ,4339.8,4339.8,4285.65,4339.8,4307.25,4318.15,4308.33,5016.55,3361.55,162244,699001279.5,20208,APOLLOHOSP
26,2023-01-18,EQ,4337.0,4352.0,4305.0,4322.85,4337.0,4339.8,4326.24,5016.55,3361.55,331806,1435471308.9,24742,APOLLOHOSP
27,2023-01-17,EQ,4316.2,4336.45,4275.0,4294.65,4313.85,4322.85,4303.04,5016.55,3361.55,294500,1267245756.7,40061,APOLLOHOSP
28,2023-01-16,EQ,4364.25,4364.25,4285.0,4335.55,4290.0,4294.65,4309.56,5016.55,3361.55,210854,908687987.9,27316,APOLLOHOSP
29,2023-01-13,EQ,4365.0,4370.0,4268.05,4359.75,4338.95,4335.55,4317.19,5141.5,3361.55,366497,1582236142.7,42199,APOLLOHOSP
30,2023-01-12,EQ,4370.95,4382.4,4325.25,4360.6,4364.9,4359.75,4349.4,5141.5,3361.55,207917,904314869.05,28070,APOLLOHOSP
31,2023-01-11,EQ,4474.0,4482.45,4336.05,4466.65,4353.95,4360.6,4391.48,5141.5,3361.55,462687,2031880577.3,39308,APOLLOHOSP
32,2023-01-10,EQ,4410.0,4489.0,4406.0,4407.7,4472.0,4466.65,4456.84,5141.5,3361.55,557940,2486650506.95,42048,APOLLOHOSP
33,2023-01-09,EQ,4424.35,4452.15,4381.05,4387.45,4410.0,4407.7,4419.78,5141.5,3361.55,407803,1802401580.85,41076,APOLLOHOSP
34,2023-01-06,EQ,4442.05,4474.3,4369.0,4429.05,4376.0,4387.45,4432.85,5141.5,3361.55,299640,1328259023.85,27059,APOLLOHOSP
35,2023-01-05,EQ,4455.5,4455.5,4356.0,4433.3,4422.0,4429.05,4393.37,5141.5,3361.55,468816,2059680976.05,49658,APOLLOHOSP
36,2023-01-04,EQ,4495.0,4514.1,4425.0,4490.9,4428.95,4433.3,4452.86,5141.5,3361.55,414977,1847835140.5,33836,APOLLOHOSP
37,2023-01-03,EQ,4467.0,4508.95,4425.1,4454.35,4495.0,4490.9,4469.53,5141.5,3361.55,430096,1922326817.65,33337,APOLLOHOSP
38,2023-01-02,EQ,4488.0,4516.7,4446.0,4477.6,4457.0,4454.35,4473.47,5141.5,3361.55,246577,1103054425.5,23447,APOLLOHOSP
39,2022-12-30,EQ,4550.0,4582.45,4468.1,4524.45,4476.0,4477.6,4507.61,5141.5,3361.55,348965,1572998105.65,33174,APOLLOHOSP
40,2022-12-29,EQ,4588.65,4610.0,4478.5,4588.65,4533.0,4524.45,4529.3,5141.5,3361.55,530411,2402389502.3,40716,APOLLOHOSP
41,2022-12-28,EQ,4652.0,4679.6,4582.0,4643.8,4585.6,4588.65,4612.97,5141.5,3361.55,313366,1445547480.3,39912,APOLLOHOSP
42,2022-12-27,EQ,4685.0,4712.7,4625.65,4684.05,4647.9,4643.8,4659.52,5141.5,3361.55,226485,1055311893.3,22309,APOLLOHOSP
