,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2712.1,2762.0,2710.0,2705.95,2741.4,2738.5,2742.98,3582.9,2560.0,1429040,3919826414.5,76267,ASIANPAINT
1,2023-02-23,EQ,2805.0,2805.55,2700.1,2795.95,2707.0,2705.95,2728.66,3582.9,2560.0,1790570,4885853128.2,152617,ASIANPAINT
2,2023-02-22,EQ,2809.95,2813.95,2780.0,2817.1,2797.9,2795.95,2794.79,3582.9,2560.0,580270,1621730913.85,48375,ASIANPAINT
3,2023-02-21,EQ,2837.0,2838.7,2805.0,2825.55,2820.0,2817.1,2813.63,3582.9,2560.0,631934,1778026077.8,49982,ASIANPAINT
4,2023-02-20,EQ,2845.0,2852.0,2812.1,2833.6,2829.8,2825.55,2826.45,3582.9,2560.0,646218,1826501996.25,48252,ASIANPAINT
5,2023-02-17,EQ,2802.95,2845.85,2785.5,2805.95,2838.0,2833.6,2829.62,3582.9,2560.0,840526,2378370056.25,51975,ASIANPAINT
6,2023-02-16,EQ,2797.0,2834.35,2790.1,2786.15,2807.9,2805.95,2816.0,3582.9,2560.0,788964,2221721585.55,52282,ASIANPAINT
7,2023-02-15,EQ,2777.0,2798.3,2754.0,2777.0,2798.3,2786.15,2778.03,3582.9,2560.0,817717,2271643266.3,59459,ASIANPAINT
8,2023-02-14,EQ,2804.75,2804.75,2765.0,2790.75,2774.7,2777.0,2778.33,3582.9,2560.0,524746,1457918190.95,54815,ASIANPAINT
9,2023-02-13,EQ,2814.5,2829.0,2780.0,2804.6,2787.0,2790.75,2796.08,3582.9,2560.0,467228,1306407661.25,42088,ASIANPAINT
10,2023-02-10,EQ,2830.0,2830.95,2793.0,2814.6,2804.0,2804.6,2809.89,3582.9,2560.0,700072,1967124383.9,51716,ASIANPAINT
11,2023-02-09,EQ,2781.95,2820.35,2766.15,2765.6,2820.0,2814.6,2799.43,3582.9,2560.0,946372,2649305359.2,66431,ASIANPAINT
12,2023-02-08,EQ,2768.0,2784.0,2744.3,2758.05,2767.8,2765.6,2764.58,3582.9,2560.0,811956,2244719933.4,64510,ASIANPAINT
13,2023-02-07,EQ,2762.0,2774.5,2748.15,2754.2,2759.0,2758.05,2763.26,3582.9,2560.0,732250,2023398586.4,60103,ASIANPAINT
14,2023-02-06,EQ,2760.4,2765.0,2718.0,2760.4,2756.0,2754.2,2739.01,3582.9,2560.0,1120284,3068465324.55,135926,ASIANPAINT
15,2023-02-03,EQ,2705.65,2763.9,2700.0,2705.65,2756.9,2760.4,2733.95,3582.9,2560.0,1278409,3495107992.55,87216,ASIANPAINT
16,2023-02-02,EQ,2741.0,2741.0,2694.0,2743.75,2708.0,2705.65,2713.55,3582.9,2560.0,1308570,3550866346.3,105807,ASIANPAINT
17,2023-02-01,EQ,2749.8,2778.0,2704.8,2725.85,2745.8,2743.75,2751.7,3582.9,2560.0,1176872,3238393022.9,104610,ASIANPAINT
18,2023-01-31,EQ,2760.0,2779.95,2718.05,2766.2,2730.0,2725.85,2735.9,3582.9,2560.0,1961805,5367308422.7,172075,ASIANPAINT
19,2023-01-30,EQ,2724.0,2776.0,2696.25,2722.65,2775.0,2766.2,2737.45,3582.9,2560.0,1171912,3208050667.85,120523,ASIANPAINT
20,2023-01-27,EQ,2766.6,2772.85,2685.85,2775.0,2725.0,2722.65,2717.11,3582.9,2560.0,1801498,4894875994.35,232317,ASIANPAINT
21,2023-01-25,EQ,2810.9,2811.0,2767.1,2810.6,2774.75,2775.0,2777.81,3582.9,2560.0,857953,2383232311.65,85672,ASIANPAINT
22,2023-01-24,EQ,2795.0,2827.1,2784.45,2784.45,2812.9,2810.6,2812.43,3582.9,2560.0,1061471,2985309543.15,84076,ASIANPAINT
23,2023-01-23,EQ,2800.0,2800.0,2767.85,2787.8,2786.55,2784.45,2785.63,3582.9,2560.0,1402260,3906182149.1,109573,ASIANPAINT
24,2023-01-20,EQ,2848.0,2848.0,2781.0,2866.15,2784.95,2787.8,2804.27,3582.9,2560.0,3171005,8892343263.2,362528,ASIANPAINT
25,2023-01-19,EQ,2954.9,2973.6,2843.6,2945.25,2853.4,2866.15,2908.48,3582.9,2560.0,2379947,6922039457.65,153037,ASIANPAINT
26,2023-01-18,EQ,2947.95,2960.0,2929.35,2940.9,2950.0,2945.25,2947.7,3582.9,2560.0,893808,2634674245.75,93917,ASIANPAINT
27,2023-01-17,EQ,2925.0,2944.85,2911.15,2916.05,2943.0,2940.9,2933.96,3582.9,2560.0,716489,2102149550.0,69687,ASIANPAINT
