,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,3833.55,3874.9,3833.55,3831.9,3834.2,3849.95,3855.0,4131.75,3125.0,263732,1016686830.35,21291,BAJAJ-AUTO
1,2023-02-23,EQ,3847.5,3872.75,3815.2,3840.7,3833.55,3831.9,3836.23,4131.75,3125.0,299446,1148743825.8,26808,BAJAJ-AUTO
2,2023-02-22,EQ,3837.1,3890.25,3814.95,3837.1,3847.0,3840.7,3857.73,4131.75,3125.0,477992,1843965829.0,42076,BAJAJ-AUTO
3,2023-02-21,EQ,3927.0,3927.0,3824.7,3903.8,3837.0,3837.1,3856.42,4131.75,3125.0,177954,686265951.75,25427,BAJAJ-AUTO
4,2023-02-20,EQ,3894.95,3934.95,3893.35,3894.3,3899.5,3903.8,3916.48,4131.75,3125.0,169828,665127814.5,17077,BAJAJ-AUTO
5,2023-02-17,EQ,3890.0,3920.0,3872.0,3906.6,3890.0,3894.3,3901.24,4131.75,3125.0,167844,654798961.3,19524,BAJAJ-AUTO
6,2023-02-16,EQ,3910.0,3930.95,3892.0,3905.4,3907.0,3906.6,3908.11,4131.75,3125.0,166844,652044737.3,19930,BAJAJ-AUTO
7,2023-02-15,EQ,3866.6,3911.9,3850.0,3876.1,3900.0,3905.4,3883.5,4131.75,3125.0,214072,831347933.15,25420,BAJAJ-AUTO
8,2023-02-14,EQ,3894.95,3906.95,3862.55,3883.5,3876.0,3876.1,3882.63,4131.75,3125.0,251160,975160362.95,33753,BAJAJ-AUTO
9,2023-02-13,EQ,3850.85,3912.6,3824.0,3831.65,3881.3,3883.5,3884.22,4131.75,3125.0,372862,1448277804.3,34955,BAJAJ-AUTO
10,2023-02-10,EQ,3845.0,3848.95,3800.1,3845.75,3827.9,3831.65,3827.74,4131.75,3125.0,170034,650845198.5,21346,BAJAJ-AUTO
11,2023-02-09,EQ,3879.9,3890.5,3832.25,3880.3,3840.0,3845.75,3853.54,4131.75,3125.0,249061,959765834.15,28645,BAJAJ-AUTO
12,2023-02-08,EQ,3898.85,3898.85,3835.5,3879.45,3880.0,3880.3,3874.32,4131.75,3125.0,309039,1197315672.55,29261,BAJAJ-AUTO
13,2023-02-07,EQ,3873.0,3895.0,3818.2,3849.1,3880.0,3879.45,3867.08,4131.75,3125.0,246673,953905313.0,25867,BAJAJ-AUTO
