,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1353.7,1386.0,1350.35,1346.95,1360.0,1359.0,1366.11,17845.0,1246.85,1342454,1833944532.55,55001,BAJAJFINSV
1,2023-02-23,EQ,1362.0,1365.95,1341.0,1360.95,1349.0,1346.95,1352.66,17845.0,1246.85,1095460,1481785438.65,57472,BAJAJFINSV
2,2023-02-22,EQ,1389.9,1392.0,1356.0,1394.3,1360.0,1360.95,1367.99,17845.0,1246.85,1402505,1918614638.5,74603,BAJAJFINSV
3,2023-02-21,EQ,1409.4,1409.4,1390.0,1404.6,1395.0,1394.3,1398.8,17845.0,1246.85,1117177,1562708057.55,44182,BAJAJFINSV
4,2023-02-20,EQ,1418.0,1425.8,1400.8,1414.05,1404.0,1404.6,1412.23,17845.0,1246.85,993735,1403381008.6,42281,BAJAJFINSV
5,2023-02-17,EQ,1420.05,1427.2,1410.0,1428.2,1413.5,1414.05,1419.13,17845.0,1246.85,994199,1410895924.85,41523,BAJAJFINSV
6,2023-02-16,EQ,1429.0,1435.0,1413.05,1420.8,1421.0,1428.2,1426.7,17845.0,1246.85,2153424,3072292819.75,68360,BAJAJFINSV
7,2023-02-15,EQ,1398.0,1423.95,1388.05,1398.6,1422.0,1420.8,1409.86,17845.0,1246.85,1518171,2140406379.25,53301,BAJAJFINSV
8,2023-02-14,EQ,1390.0,1405.0,1373.65,1388.55,1397.0,1398.6,1392.98,17845.0,1246.85,1390992,1937624862.1,57870,BAJAJFINSV
9,2023-02-13,EQ,1404.0,1415.0,1381.75,1401.75,1385.0,1388.55,1393.02,17845.0,1246.85,1467695,2044535808.85,51353,BAJAJFINSV
10,2023-02-10,EQ,1406.0,1418.65,1394.0,1400.25,1401.0,1401.75,1408.15,17845.0,1246.85,2069492,2914164346.1,67246,BAJAJFINSV
11,2023-02-09,EQ,1370.0,1409.9,1356.65,1368.9,1400.0,1400.25,1392.85,17845.0,1246.85,2593600,3612492504.3,109135,BAJAJFINSV
12,2023-02-08,EQ,1356.95,1377.0,1345.2,1350.4,1369.5,1368.9,1365.17,17845.0,1246.85,1516979,2070940562.1,63620,BAJAJFINSV
13,2023-02-07,EQ,1345.15,1362.35,1337.1,1343.05,1349.0,1350.4,1349.77,17845.0,1246.85,1604424,2165610041.35,68489,BAJAJFINSV
14,2023-02-06,EQ,1337.45,1349.0,1322.1,1337.45,1343.0,1343.05,1337.23,17845.0,1246.85,1546926,2068593285.65,60990,BAJAJFINSV
15,2023-02-03,EQ,1305.0,1340.8,1281.3,1271.9,1335.0,1337.45,1314.74,17845.0,1246.85,3271913,4301714675.05,127422,BAJAJFINSV
16,2023-02-02,EQ,1269.0,1288.65,1252.1,1268.3,1272.05,1271.9,1268.84,17845.0,1246.85,2419664,3070160411.5,114811,BAJAJFINSV
17,2023-02-01,EQ,1348.0,1360.0,1246.85,1342.45,1269.35,1268.3,1292.52,17845.0,1246.85,4761664,6154553052.35,173800,BAJAJFINSV
18,2023-01-31,EQ,1354.4,1357.15,1323.8,1343.85,1343.0,1342.45,1343.99,17845.0,1302.05,2213909,2975469297.5,95435,BAJAJFINSV
19,2023-01-30,EQ,1320.8,1360.0,1317.85,1314.2,1344.45,1343.85,1341.86,17845.0,1302.05,4411750,5919967962.9,150370,BAJAJFINSV
20,2023-01-27,EQ,1315.1,1336.15,1302.05,1314.35,1317.9,1314.2,1317.49,17845.0,1302.05,1829556,2410414476.5,98316,BAJAJFINSV
21,2023-01-25,EQ,1334.9,1334.9,1310.0,1332.7,1315.0,1314.35,1319.24,17845.0,1310.0,1549899,2044695636.7,77319,BAJAJFINSV
22,2023-01-24,EQ,1336.25,1349.0,1329.55,1332.75,1330.0,1332.7,1338.66,17845.0,1319.55,1311451,1755592648.05,70176,BAJAJFINSV
23,2023-01-23,EQ,1330.0,1345.0,1319.55,1333.2,1333.9,1332.75,1335.21,17845.0,1319.55,1832743,2447102769.4,79456,BAJAJFINSV
24,2023-01-20,EQ,1360.0,1361.65,1326.55,1355.15,1328.0,1333.2,1344.05,18621.0,1326.55,2091612,2811228062.15,102612,BAJAJFINSV
25,2023-01-19,EQ,1365.0,1365.95,1348.1,1367.3,1354.55,1355.15,1355.31,18621.0,1348.1,1910318,2589078436.2,91060,BAJAJFINSV
26,2023-01-18,EQ,1379.8,1380.0,1365.0,1372.9,1366.8,1367.3,1370.94,18621.0,1353.95,2589016,3549392389.05,92740,BAJAJFINSV
27,2023-01-17,EQ,1389.0,1391.6,1353.95,1383.9,1372.85,1372.9,1369.73,18621.0,1353.95,3681802,5043064177.9,112949,BAJAJFINSV
28,2023-01-16,EQ,1398.15,1418.45,1379.2,1391.15,1383.5,1383.9,1395.74,18621.0,1374.35,3480545,4857920516.4,97787,BAJAJFINSV
29,2023-01-13,EQ,1394.75,1399.85,1374.35,1387.8,1391.0,1391.15,1385.39,18621.0,1374.35,3754686,5201720976.2,103287,BAJAJFINSV
30,2023-01-12,EQ,1405.0,1414.95,1379.0,1399.7,1387.0,1387.8,1393.8,18621.0,1379.0,3168742,4416587510.5,107310,BAJAJFINSV
31,2023-01-11,EQ,1418.0,1422.85,1397.05,1413.3,1399.0,1399.7,1405.35,18621.0,1391.0,2327598,3271082656.1,86036,BAJAJFINSV
32,2023-01-10,EQ,1429.0,1429.0,1391.0,1414.0,1417.5,1413.3,1403.66,18621.0,1391.0,2903001,4074826830.55,121229,BAJAJFINSV
33,2023-01-09,EQ,1447.0,1450.9,1408.65,1430.35,1412.0,1414.0,1424.03,18621.0,1408.65,4513767,6427738874.8,164799,BAJAJFINSV
34,2023-01-06,EQ,1473.55,1473.55,1423.0,1468.85,1430.0,1430.35,1438.71,18621.0,1423.0,5207616,7492271472.0,229148,BAJAJFINSV
35,2023-01-05,EQ,1548.0,1548.0,1454.7,1547.85,1466.8,1468.85,1476.07,18621.0,1454.7,5979381,8825962220.15,250364,BAJAJFINSV
36,2023-01-04,EQ,1562.0,1567.35,1540.4,1563.0,1546.0,1547.85,1551.82,18621.0,1483.15,1036103,1607844855.85,43509,BAJAJFINSV
37,2023-01-03,EQ,1549.0,1570.0,1544.05,1552.5,1562.6,1563.0,1559.86,18621.0,1483.15,1306648,2038193665.65,51035,BAJAJFINSV
38,2023-01-02,EQ,1550.0,1560.0,1528.55,1547.85,1550.1,1552.5,1544.77,18621.0,1483.15,1061404,1639626458.45,48006,BAJAJFINSV
39,2022-12-30,EQ,1528.0,1573.0,1525.85,1511.7,1547.0,1547.85,1554.45,18621.0,1483.15,2638505,4101424549.25,82832,BAJAJFINSV
40,2022-12-29,EQ,1515.0,1522.0,1503.05,1522.7,1522.0,1511.7,1512.18,18621.0,1483.15,3417120,5167298293.35,60079,BAJAJFINSV
