,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,6253.75,6286.0,6200.0,6202.35,6225.0,6236.25,6240.22,7778.0,5220.0,607761,3792563151.75,53401,BAJFINANCE
1,2023-02-23,EQ,6214.0,6262.45,6122.65,6198.65,6205.0,6202.35,6202.81,7778.0,5220.0,809768,5022833089.2,76223,BAJFINANCE
2,2023-02-22,EQ,6331.0,6360.0,6185.0,6379.25,6192.0,6198.65,6229.7,7778.0,5220.0,934700,5822898451.6,81671,BAJFINANCE
3,2023-02-21,EQ,6395.0,6408.25,6352.0,6367.4,6380.0,6379.25,6379.32,7778.0,5220.0,448509,2861180772.0,40797,BAJFINANCE
4,2023-02-20,EQ,6425.0,6443.55,6343.0,6416.7,6356.0,6367.4,6393.44,7778.0,5220.0,465732,2977631019.75,47814,BAJFINANCE
5,2023-02-17,EQ,6410.0,6475.8,6367.5,6437.3,6430.4,6416.7,6417.76,7778.0,5220.0,616044,3953623105.1,57530,BAJFINANCE
6,2023-02-16,EQ,6505.0,6524.75,6420.0,6489.95,6420.0,6437.3,6460.13,7778.0,5220.0,529048,3417716934.05,54078,BAJFINANCE
7,2023-02-15,EQ,6450.0,6496.0,6397.3,6458.7,6482.05,6489.95,6465.93,7778.0,5220.0,618979,4002273800.55,52821,BAJFINANCE
8,2023-02-14,EQ,6353.8,6472.35,6310.0,6345.5,6454.0,6458.7,6424.42,7778.0,5220.0,1034090,6643423949.05,98288,BAJFINANCE
9,2023-02-13,EQ,6434.95,6473.15,6297.05,6435.5,6344.0,6345.5,6358.19,7778.0,5220.0,736557,4683171141.2,82444,BAJFINANCE
10,2023-02-10,EQ,6453.95,6527.6,6420.0,6455.0,6441.0,6435.5,6473.96,7778.0,5220.0,1291282,8359706208.95,111203,BAJFINANCE
11,2023-02-09,EQ,6374.9,6487.8,6335.25,6351.65,6462.0,6455.0,6439.66,7778.0,5220.0,1838154,11837088257.65,136086,BAJFINANCE
12,2023-02-08,EQ,6165.0,6377.0,6162.8,6160.55,6335.2,6351.65,6287.28,7778.0,5220.0,1903208,11966009906.25,155955,BAJFINANCE
13,2023-02-07,EQ,6122.95,6182.0,6100.0,6104.2,6154.0,6160.55,6151.91,7778.0,5220.0,1472193,9056805146.1,105102,BAJFINANCE
14,2023-02-06,EQ,6000.0,6124.0,5955.6,6014.25,6108.0,6104.2,6050.64,7778.0,5220.0,1073820,6497302469.5,113526,BAJFINANCE
15,2023-02-03,EQ,5770.0,6030.0,5747.05,5717.65,6000.0,6014.25,5901.96,7778.0,5220.0,1486892,8775571812.2,136120,BAJFINANCE
16,2023-02-02,EQ,5819.0,5819.0,5645.0,5817.2,5711.6,5717.65,5694.81,7778.0,5220.0,2025044,11532249964.2,142325,BAJFINANCE
17,2023-02-01,EQ,5944.0,5980.4,5708.9,5886.4,5835.0,5817.2,5884.86,7778.0,5220.0,2634866,15505814594.55,146285,BAJFINANCE
18,2023-01-31,EQ,6050.0,6050.0,5874.0,6021.8,5884.0,5886.4,5906.65,7778.0,5220.0,1996788,11794332742.4,161636,BAJFINANCE
19,2023-01-30,EQ,5770.05,6066.2,5770.05,5760.7,6023.0,6021.8,5987.09,7778.0,5220.0,2448160,14657351662.8,244652,BAJFINANCE
20,2023-01-27,EQ,5815.0,5861.55,5680.0,5795.9,5770.05,5760.7,5765.37,7778.0,5220.0,1621352,9347695519.85,150263,BAJFINANCE
21,2023-01-25,EQ,5850.05,5855.05,5777.0,5855.05,5803.0,5795.9,5810.24,7778.0,5220.0,827837,4809934249.3,74984,BAJFINANCE
22,2023-01-24,EQ,5892.35,5921.0,5842.65,5863.0,5858.0,5855.05,5871.81,7778.0,5220.0,608145,3570909278.5,77552,BAJFINANCE
23,2023-01-23,EQ,5881.0,5935.0,5841.0,5860.4,5864.95,5863.0,5886.8,7778.0,5220.0,856064,5039478100.95,71999,BAJFINANCE
24,2023-01-20,EQ,6012.5,6019.75,5837.2,6012.45,5846.0,5860.4,5916.0,8045.0,5220.0,833090,4928558798.0,96164,BAJFINANCE
25,2023-01-19,EQ,5983.0,6029.65,5960.65,5998.65,6005.5,6012.45,6002.98,8045.0,5220.0,548142,3290483150.35,66663,BAJFINANCE
26,2023-01-18,EQ,6003.95,6049.0,5985.0,5984.95,5994.0,5998.65,6011.73,8045.0,5220.0,796281,4787023464.1,81458,BAJFINANCE
