,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,775.7,775.8,755.0,762.95,757.0,757.1,762.75,860.55,628.75,4357223,3323490640.4,97761,BHARTIARTL
1,2023-02-23,EQ,774.0,777.5,761.85,772.15,765.0,762.95,767.56,860.55,628.75,4062194,3117959411.2,97508,BHARTIARTL
2,2023-02-22,EQ,777.0,781.65,766.5,779.05,767.5,772.15,775.07,860.55,628.75,3261898,2528187575.2,90485,BHARTIARTL
3,2023-02-21,EQ,783.05,788.0,778.15,779.15,780.9,779.05,782.61,860.55,628.75,2769616,2167522736.25,112863,BHARTIARTL
4,2023-02-20,EQ,781.25,793.8,777.1,776.8,780.5,779.15,785.31,860.55,628.75,3381774,2655733287.75,102900,BHARTIARTL
5,2023-02-17,EQ,785.95,787.45,770.3,784.45,777.0,776.8,779.61,860.55,628.75,3093216,2411514605.2,73933,BHARTIARTL
6,2023-02-16,EQ,789.65,790.5,780.6,785.4,782.1,784.45,784.62,860.55,628.75,3399428,2667268771.65,85274,BHARTIARTL
7,2023-02-15,EQ,775.0,787.15,772.2,775.2,786.2,785.4,780.87,860.55,628.75,3602838,2813347209.8,78664,BHARTIARTL
8,2023-02-14,EQ,769.0,777.6,766.2,768.6,774.55,775.2,773.06,860.55,628.75,3502010,2707255061.25,100037,BHARTIARTL
9,2023-02-13,EQ,771.0,779.6,766.7,771.95,766.7,768.6,773.34,860.55,628.75,3705892,2865902928.95,91500,BHARTIARTL
10,2023-02-10,EQ,768.95,773.2,761.0,766.65,771.0,771.95,767.32,860.55,628.75,2954992,2267426982.7,83927,BHARTIARTL
11,2023-02-09,EQ,770.0,775.1,761.3,775.1,767.0,766.65,765.93,860.55,628.75,5913945,4529647065.65,131483,BHARTIARTL
12,2023-02-08,EQ,778.0,781.0,765.0,785.9,775.0,775.1,773.94,860.55,628.75,9951783,7702076257.5,203487,BHARTIARTL
13,2023-02-07,EQ,793.9,795.85,783.0,789.25,786.35,785.9,788.74,860.55,628.75,4126502,3254737871.9,98376,BHARTIARTL
14,2023-02-06,EQ,789.7,794.65,778.8,792.9,788.0,789.25,785.55,860.55,628.75,2407975,1891579647.9,52233,BHARTIARTL
15,2023-02-03,EQ,779.9,794.95,778.4,777.75,791.5,792.9,788.35,860.55,628.75,5493687,4330966677.05,119608,BHARTIARTL
16,2023-02-02,EQ,765.1,781.0,765.05,769.1,776.5,777.75,776.58,860.55,628.75,2841909,2206972919.5,85693,BHARTIARTL
17,2023-02-01,EQ,775.95,784.65,756.6,770.3,768.15,769.1,773.37,860.55,628.75,4472974,3459246357.25,114583,BHARTIARTL
18,2023-01-31,EQ,775.0,779.0,768.4,770.2,771.0,770.3,772.21,860.55,628.75,8537557,6592792173.65,153832,BHARTIARTL
19,2023-01-30,EQ,771.6,774.95,763.0,774.5,772.75,770.2,768.66,860.55,628.75,5420851,4166805348.95,120447,BHARTIARTL
20,2023-01-27,EQ,774.95,778.9,765.8,776.5,773.55,774.5,773.3,860.55,628.75,6745926,5216606772.7,165330,BHARTIARTL
21,2023-01-25,EQ,774.95,780.5,768.0,775.65,777.15,776.5,775.16,860.55,628.75,6560514,5085446377.05,178976,BHARTIARTL
22,2023-01-24,EQ,773.0,777.55,761.0,772.7,775.0,775.65,768.97,860.55,628.75,5012125,3854184385.2,166926,BHARTIARTL
23,2023-01-23,EQ,767.9,776.0,763.85,764.45,771.75,772.7,771.85,860.55,628.75,2685320,2072654013.7,73631,BHARTIARTL
24,2023-01-20,EQ,775.85,775.85,758.3,772.0,764.5,764.45,764.31,860.55,628.75,6289718,4807275573.0,117733,BHARTIARTL
25,2023-01-19,EQ,776.0,776.5,765.65,776.55,770.5,772.0,771.16,860.55,628.75,4169463,3215310671.45,98036,BHARTIARTL
26,2023-01-18,EQ,768.2,780.0,766.0,765.7,778.3,776.55,772.97,860.55,628.75,5800899,4483907197.3,143513,BHARTIARTL
27,2023-01-17,EQ,759.15,768.9,758.75,759.15,766.9,765.7,763.84,860.55,628.75,6594428,5037079690.3,144722,BHARTIARTL
28,2023-01-16,EQ,766.4,768.1,754.65,764.3,758.75,759.15,759.4,860.55,628.75,5779293,4388775266.4,127709,BHARTIARTL
29,2023-01-13,EQ,757.0,765.95,752.0,756.9,764.6,764.3,758.51,860.55,628.75,12279288,9313978908.75,182066,BHARTIARTL
30,2023-01-12,EQ,765.0,769.3,753.55,765.55,756.75,756.9,760.18,860.55,628.75,12732671,9679059639.2,191187,BHARTIARTL
31,2023-01-11,EQ,775.0,779.65,751.65,792.85,765.4,765.55,763.51,860.55,628.75,28389020,21675281579.4,435071,BHARTIARTL
32,2023-01-10,EQ,826.1,826.1,790.3,819.4,795.0,792.85,800.0,860.55,628.75,8392344,6713895339.0,187627,BHARTIARTL
33,2023-01-09,EQ,802.7,821.5,801.05,796.0,819.1,819.4,817.14,860.55,628.75,4340729,3546979332.7,139832,BHARTIARTL
34,2023-01-06,EQ,807.55,812.25,792.0,807.1,795.0,796.0,799.51,860.55,628.75,3199618,2558133801.45,100083,BHARTIARTL
35,2023-01-05,EQ,825.0,825.0,803.75,811.8,806.95,807.1,810.92,860.55,628.75,5297349,4295702465.25,149144,BHARTIARTL
36,2023-01-04,EQ,818.95,820.45,806.2,817.6,807.0,811.8,814.85,860.55,628.75,2970216,2420273325.1,91394,BHARTIARTL
37,2023-01-03,EQ,810.35,818.8,808.5,813.5,817.0,817.6,814.13,860.55,628.75,1717603,1398352259.7,68680,BHARTIARTL
38,2023-01-02,EQ,806.25,816.2,805.6,806.1,813.95,813.5,812.94,860.55,628.75,1626846,1322520250.25,63639,BHARTIARTL
39,2022-12-30,EQ,824.7,824.8,804.95,820.75,808.4,806.1,811.31,860.55,628.75,3113243,2525811276.4,81120,BHARTIARTL
40,2022-12-29,EQ,807.05,824.75,760.1,803.8,823.0,820.75,814.12,860.55,628.75,6110313,4974535535.65,124608,BHARTIARTL
41,2022-12-28,EQ,813.0,813.9,801.45,814.8,803.3,803.8,806.55,860.55,628.75,2907741,2345225830.6,86146,BHARTIARTL
42,2022-12-27,EQ,815.0,819.45,805.0,811.0,814.95,814.8,812.35,860.55,628.75,1782053,1447652815.05,72357,BHARTIARTL
43,2022-12-26,EQ,805.05,815.2,801.15,808.65,809.25,811.0,808.71,860.55,628.75,6023206,4871044496.85,101992,BHARTIARTL
44,2022-12-23,EQ,814.0,817.95,805.0,816.6,809.95,808.65,810.81,860.55,628.75,2804496,2273913792.35,95664,BHARTIARTL
45,2022-12-22,EQ,819.0,824.7,809.5,814.0,816.3,816.6,818.55,860.55,628.75,3626834,2968737260.25,87131,BHARTIARTL
46,2022-12-21,EQ,833.0,833.05,812.35,828.95,815.0,814.0,820.44,860.55,628.75,5079337,4167268237.7,119997,BHARTIARTL
