,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,320.8,322.15,316.6,320.55,317.75,317.55,318.08,398.8,288.05,1897377,603526699.05,35591,BPCL
1,2023-02-23,EQ,322.0,323.65,318.0,320.45,320.75,320.55,321.53,398.8,288.05,2745391,882721354.65,40915,BPCL
2,2023-02-22,EQ,322.5,323.0,316.2,323.25,322.1,320.45,318.95,398.8,288.05,4089274,1304254432.2,51982,BPCL
3,2023-02-21,EQ,326.95,328.55,322.15,326.15,322.5,323.25,325.89,398.8,288.05,1481249,482721607.25,33973,BPCL
4,2023-02-20,EQ,332.85,333.45,325.95,331.7,326.05,326.15,328.35,398.8,288.05,1773126,582208110.1,28673,BPCL
5,2023-02-17,EQ,325.7,333.0,325.55,325.7,331.5,331.7,330.08,398.8,288.05,3351189,1106172392.2,44861,BPCL
6,2023-02-16,EQ,331.15,333.15,323.8,331.15,325.7,325.7,326.99,398.8,288.05,3753835,1227484142.95,43632,BPCL
7,2023-02-15,EQ,331.15,332.65,328.5,331.15,331.25,331.15,330.65,398.8,288.05,1764650,583489678.55,26746,BPCL
8,2023-02-14,EQ,333.0,334.75,330.5,334.9,331.0,331.15,331.78,398.8,288.05,1192673,395705371.4,25599,BPCL
9,2023-02-13,EQ,334.0,337.7,332.05,334.0,334.45,334.9,334.73,398.8,288.05,1793783,600437779.6,24380,BPCL
10,2023-02-10,EQ,334.1,335.8,331.55,333.7,333.05,334.0,333.59,398.8,288.05,1275841,425607823.0,27837,BPCL
11,2023-02-09,EQ,332.1,337.7,331.35,334.2,333.75,333.7,334.7,398.8,288.05,2137703,715482999.05,34597,BPCL
12,2023-02-08,EQ,331.8,335.8,329.05,332.15,334.0,334.2,332.56,398.8,288.05,1249590,415561477.5,22269,BPCL
13,2023-02-07,EQ,334.0,336.2,331.55,333.75,332.0,332.15,333.4,398.8,288.05,1740354,580242024.25,34000,BPCL
14,2023-02-06,EQ,324.05,334.65,324.05,326.7,333.85,333.75,330.9,398.8,288.05,3305900,1093908788.2,47454,BPCL
15,2023-02-03,EQ,331.95,332.75,322.2,332.2,326.65,326.7,325.98,399.8,288.05,2826909,921528282.85,46699,BPCL
16,2023-02-02,EQ,334.5,336.0,329.5,334.7,331.95,332.2,332.82,399.8,288.05,4514664,1502584040.3,66100,BPCL
17,2023-02-01,EQ,343.25,344.7,330.0,343.25,335.45,334.7,337.83,399.8,288.05,4179113,1411822160.8,61367,BPCL
18,2023-01-31,EQ,342.95,351.5,341.25,335.1,343.8,343.25,345.16,399.8,288.05,8994162,3104443129.0,125307,BPCL
19,2023-01-30,EQ,336.9,339.25,332.3,336.55,337.0,335.1,335.35,399.8,288.05,3197605,1072301636.55,55121,BPCL
20,2023-01-27,EQ,346.9,349.55,331.5,346.75,336.6,336.55,337.34,399.8,288.05,2625951,885830782.25,53441,BPCL
21,2023-01-25,EQ,348.7,350.5,345.7,348.95,346.9,346.75,347.66,399.8,288.05,1933197,672088330.95,39159,BPCL
22,2023-01-24,EQ,350.0,352.45,347.85,349.6,348.95,348.95,349.28,399.8,288.05,2376171,829953676.15,47297,BPCL
23,2023-01-23,EQ,347.0,350.0,345.95,346.35,349.2,349.6,348.61,399.8,288.05,1681375,586138991.25,35155,BPCL
24,2023-01-20,EQ,349.2,351.0,345.55,349.65,346.15,346.35,348.95,406.9,288.05,1996775,696782162.65,46091,BPCL
25,2023-01-19,EQ,345.95,349.9,344.0,346.05,349.25,349.65,348.21,406.9,288.05,1639556,570911457.9,27817,BPCL
26,2023-01-18,EQ,348.8,349.3,342.9,348.4,345.9,346.05,345.75,406.9,288.05,2049790,708722182.3,33550,BPCL
27,2023-01-17,EQ,350.7,351.35,345.45,348.95,348.0,348.4,347.77,406.9,288.05,1738783,604689462.25,32768,BPCL
28,2023-01-16,EQ,352.0,352.4,344.1,350.1,349.0,348.95,347.43,406.9,288.05,2849149,989883840.5,33623,BPCL
29,2023-01-13,EQ,345.4,351.15,342.05,345.05,349.4,350.1,348.41,406.9,288.05,2716850,946590435.9,38376,BPCL
30,2023-01-12,EQ,353.95,353.95,343.4,352.5,345.6,345.05,346.64,406.9,288.05,2931836,1016296527.3,45366,BPCL
31,2023-01-11,EQ,348.85,358.0,345.85,347.35,352.8,352.5,353.84,406.9,288.05,7174012,2538448390.1,81813,BPCL
32,2023-01-10,EQ,348.0,349.0,343.2,346.75,346.9,347.35,346.02,406.9,288.05,2381481,824044585.3,54743,BPCL
33,2023-01-09,EQ,347.85,349.35,345.1,344.7,346.5,346.75,347.41,406.9,288.05,2259718,785044785.55,57209,BPCL
34,2023-01-06,EQ,342.0,346.55,340.25,342.35,345.0,344.7,344.23,406.9,288.05,3682205,1267534147.3,60086,BPCL
35,2023-01-05,EQ,337.0,342.95,335.6,336.3,341.35,342.35,340.51,406.9,288.05,3714145,1264701219.15,53003,BPCL
36,2023-01-04,EQ,338.55,340.8,334.15,336.85,336.3,336.3,336.76,406.9,288.05,2924237,984752488.3,59191,BPCL
37,2023-01-03,EQ,333.85,338.0,331.6,333.85,336.25,336.85,334.95,406.9,288.05,2632326,881688622.5,44377,BPCL
38,2023-01-02,EQ,330.05,334.7,327.55,330.5,333.95,333.85,332.8,406.9,288.05,2202793,733096332.75,38434,BPCL
39,2022-12-30,EQ,328.0,333.0,327.55,327.2,331.0,330.5,330.49,406.9,288.05,2099564,693891965.95,48410,BPCL
40,2022-12-29,EQ,324.1,328.0,320.15,324.1,327.3,327.2,324.37,406.9,288.05,3097556,1004758475.65,54931,BPCL
41,2022-12-28,EQ,326.0,326.6,322.15,326.0,324.25,324.1,324.22,406.9,288.05,4740777,1537070581.85,41180,BPCL
42,2022-12-27,EQ,325.4,328.3,322.7,325.1,326.5,326.0,325.43,406.9,288.05,1409537,458702941.05,37486,BPCL
43,2022-12-26,EQ,323.0,328.4,322.15,325.1,324.8,325.1,325.99,406.9,288.05,1688781,550529541.2,45033,BPCL
44,2022-12-23,EQ,325.0,328.9,322.15,327.9,325.0,325.1,324.59,406.9,288.05,2901038,941634725.6,43891,BPCL
45,2022-12-22,EQ,334.0,335.9,324.7,334.1,327.5,327.9,328.06,406.9,288.05,3067948,1006472100.45,50459,BPCL
