,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,961.1,966.0,955.0,960.3,966.0,961.8,959.65,1185.25,888.15,1585383,1521410737.05,68687,CIPLA
1,2023-02-23,EQ,965.0,967.45,956.0,962.55,960.0,960.3,960.84,1185.25,888.15,1216409,1168773739.05,59818,CIPLA
2,2023-02-22,EQ,966.6,972.8,959.05,965.95,965.95,962.55,965.92,1185.25,888.15,1602953,1548320718.8,67013,CIPLA
3,2023-02-21,EQ,969.8,979.1,963.5,964.0,971.0,965.95,971.45,1185.25,888.15,2042234,1983934466.15,86404,CIPLA
4,2023-02-20,EQ,998.0,998.0,955.25,1025.75,963.0,964.0,966.13,1185.25,888.15,5829572,5632134264.65,181191,CIPLA
5,2023-02-17,EQ,1035.5,1035.75,1021.15,1035.5,1027.0,1025.75,1025.51,1185.25,888.15,1509783,1548292635.75,73744,CIPLA
6,2023-02-16,EQ,1031.75,1038.0,1028.35,1030.8,1032.8,1035.5,1033.67,1185.25,888.15,667265,689734384.75,36262,CIPLA
7,2023-02-15,EQ,1026.85,1033.45,1016.1,1028.35,1029.2,1030.8,1026.04,1185.25,888.15,662924,680186043.45,39120,CIPLA
8,2023-02-14,EQ,1026.7,1032.45,1017.6,1021.95,1027.3,1028.35,1027.26,1185.25,888.15,759416,780119427.85,38067,CIPLA
9,2023-02-13,EQ,1036.0,1040.6,1019.0,1033.2,1020.15,1021.95,1024.76,1185.25,888.15,1042379,1068188426.0,37207,CIPLA
10,2023-02-10,EQ,1021.0,1036.85,1015.05,1021.5,1033.0,1033.2,1028.02,1185.25,888.15,1106858,1137866927.7,50475,CIPLA
11,2023-02-09,EQ,1025.3,1044.6,1020.0,1039.1,1021.15,1021.5,1028.1,1185.25,888.15,1331902,1369330475.65,65147,CIPLA
12,2023-02-08,EQ,1035.0,1041.2,1019.15,1031.3,1038.0,1039.1,1031.63,1185.25,888.15,746863,770484212.95,52489,CIPLA
13,2023-02-07,EQ,1029.8,1034.85,1021.3,1029.8,1028.9,1031.3,1029.1,1185.25,888.15,965322,993408134.45,82233,CIPLA
14,2023-02-06,EQ,1020.0,1033.6,1010.15,1022.3,1031.55,1029.8,1023.56,1185.25,888.15,979035,1002096179.15,95061,CIPLA
15,2023-02-03,EQ,1022.0,1027.8,1010.5,1025.3,1024.95,1022.3,1020.19,1185.25,888.15,1617105,1649749403.75,75173,CIPLA
16,2023-02-02,EQ,1026.1,1032.8,1017.3,1032.05,1023.05,1025.3,1024.06,1185.25,888.15,1291262,1322327527.4,64352,CIPLA
17,2023-02-01,EQ,1019.0,1035.9,1015.1,1017.95,1033.0,1032.05,1028.82,1185.25,888.15,1598213,1644274760.75,86267,CIPLA
18,2023-01-31,EQ,1043.0,1043.0,1007.5,1034.4,1020.0,1017.95,1020.74,1185.25,888.15,2705095,2761197668.15,104545,CIPLA
19,2023-01-30,EQ,1057.0,1057.0,1028.5,1047.25,1036.5,1034.4,1038.72,1185.25,888.15,2118395,2200416085.4,88199,CIPLA
20,2023-01-27,EQ,1023.25,1072.95,1023.25,1035.25,1049.95,1047.25,1052.94,1185.25,867.45,2947920,3103983698.15,110049,CIPLA
21,2023-01-25,EQ,1064.9,1068.25,1020.0,1062.15,1039.0,1035.25,1037.62,1185.25,867.45,2226483,2310234268.1,90962,CIPLA
22,2023-01-24,EQ,1065.0,1074.9,1055.05,1062.55,1061.7,1062.15,1065.86,1185.25,867.45,712627,759557201.5,40232,CIPLA
23,2023-01-23,EQ,1053.4,1064.25,1050.7,1053.45,1063.75,1062.55,1059.19,1185.25,867.45,750581,795011566.6,45340,CIPLA
24,2023-01-20,EQ,1067.0,1067.0,1050.45,1064.85,1055.0,1053.45,1058.86,1185.25,860.0,954230,1010398483.15,62509,CIPLA
25,2023-01-19,EQ,1063.5,1069.6,1058.55,1063.4,1063.45,1064.85,1063.73,1185.25,860.0,376954,400978102.95,32749,CIPLA
26,2023-01-18,EQ,1068.9,1072.0,1059.35,1069.1,1065.0,1063.4,1063.02,1185.25,860.0,1299797,1381712363.6,55111,CIPLA
27,2023-01-17,EQ,1062.8,1071.1,1053.35,1059.6,1068.9,1069.1,1062.76,1185.25,860.0,762941,810820869.35,40261,CIPLA
28,2023-01-16,EQ,1070.5,1074.7,1051.0,1067.75,1060.5,1059.6,1058.5,1185.25,860.0,825308,873585111.6,33543,CIPLA
29,2023-01-13,EQ,1064.0,1070.6,1053.25,1061.15,1068.85,1067.75,1063.53,1185.25,860.0,1089004,1158186781.65,39447,CIPLA
30,2023-01-12,EQ,1052.8,1064.1,1043.15,1047.6,1061.05,1061.15,1055.33,1185.25,860.0,1188988,1254775368.35,61596,CIPLA
31,2023-01-11,EQ,1078.7,1083.95,1043.0,1078.7,1048.6,1047.6,1051.05,1185.25,860.0,2168577,2279272889.45,93186,CIPLA
32,2023-01-10,EQ,1086.5,1090.25,1074.85,1087.45,1078.0,1078.7,1080.42,1185.25,860.0,594426,642232684.55,36742,CIPLA
33,2023-01-09,EQ,1081.75,1096.95,1076.9,1076.35,1088.3,1087.45,1088.81,1185.25,860.0,893437,972779119.4,45940,CIPLA
34,2023-01-06,EQ,1088.35,1093.1,1073.5,1088.35,1077.95,1076.35,1080.53,1185.25,860.0,824772,891190608.4,34287,CIPLA
35,2023-01-05,EQ,1075.0,1093.2,1067.4,1066.9,1090.0,1088.35,1083.37,1185.25,860.0,1605744,1739607766.35,46379,CIPLA
36,2023-01-04,EQ,1078.95,1081.95,1063.95,1075.9,1065.0,1066.9,1071.67,1185.25,860.0,1369415,1467563709.25,46316,CIPLA
37,2023-01-03,EQ,1070.05,1080.95,1066.4,1070.95,1076.9,1075.9,1073.55,1185.25,860.0,952230,1022262951.0,54247,CIPLA
38,2023-01-02,EQ,1080.25,1082.0,1063.85,1075.95,1074.5,1070.95,1068.82,1185.25,860.0,895053,956654580.05,33508,CIPLA
39,2022-12-30,EQ,1094.95,1095.0,1073.5,1087.55,1077.0,1075.95,1079.48,1185.25,860.0,1185711,1279949729.4,39215,CIPLA
40,2022-12-29,EQ,1086.0,1098.0,1070.0,1085.8,1086.0,1087.55,1083.22,1185.25,860.0,1625961,1761279044.8,52465,CIPLA
41,2022-12-28,EQ,1094.0,1103.15,1084.1,1095.85,1086.0,1085.8,1090.68,1185.25,860.0,872940,952095374.2,33036,CIPLA
42,2022-12-27,EQ,1094.05,1104.9,1090.1,1096.5,1097.95,1095.85,1096.5,1185.25,860.0,1209316,1326016684.95,42282,CIPLA
43,2022-12-26,EQ,1127.0,1135.0,1094.0,1119.15,1097.95,1096.5,1107.14,1185.25,860.0,1279529,1416621693.05,46009,CIPLA
