,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,216.0,217.3,214.7,214.9,217.0,217.05,216.2,263.4,149.0,5154174,1114336016.4,50101,COALINDIA
1,2023-02-23,EQ,212.95,215.95,212.45,211.85,215.3,214.9,214.83,263.4,149.0,6219715,1336212298.5,72391,COALINDIA
2,2023-02-22,EQ,214.55,215.85,211.6,214.05,212.0,211.85,213.47,263.4,149.0,6003852,1281666010.1,64877,COALINDIA
3,2023-02-21,EQ,218.8,219.2,213.35,218.3,214.55,214.05,216.06,263.4,149.0,4655766,1005946097.2,53341,COALINDIA
4,2023-02-20,EQ,217.85,218.95,215.95,217.5,218.75,218.3,218.29,263.4,149.0,8479587,1851018889.95,43721,COALINDIA
5,2023-02-17,EQ,214.85,218.25,214.2,215.45,217.65,217.5,217.26,263.4,149.0,7243093,1573629809.4,42622,COALINDIA
6,2023-02-16,EQ,213.5,216.5,213.1,212.9,215.3,215.45,214.82,263.4,149.0,13093683,2812832143.4,63954,COALINDIA
7,2023-02-15,EQ,211.0,213.8,210.3,211.75,213.5,212.9,211.9,263.4,149.0,9612884,2037006554.55,58219,COALINDIA
8,2023-02-14,EQ,213.05,214.3,211.1,213.05,211.6,211.75,212.58,263.4,149.0,6758731,1436804033.65,53376,COALINDIA
9,2023-02-13,EQ,211.5,213.7,209.15,211.5,212.9,213.05,212.24,263.4,149.0,6142208,1303630371.0,54353,COALINDIA
10,2023-02-10,EQ,214.0,214.4,210.95,214.55,211.3,211.5,212.19,263.4,149.0,4954439,1051277971.5,74971,COALINDIA
11,2023-02-09,EQ,216.0,216.8,213.2,215.5,214.6,214.55,214.72,263.4,149.0,4383159,941160515.05,53973,COALINDIA
12,2023-02-08,EQ,214.75,217.15,214.15,219.7,215.5,215.5,215.32,263.4,149.0,6316867,1360119632.4,61169,COALINDIA
13,2023-02-07,EQ,219.6,221.15,217.0,219.6,219.9,219.7,219.05,263.4,149.0,4907167,1074907442.3,48442,COALINDIA
14,2023-02-06,EQ,219.2,220.35,215.65,218.9,219.7,219.6,218.58,263.4,149.0,5742881,1255293228.1,69616,COALINDIA
15,2023-02-03,EQ,218.0,220.7,214.6,217.65,218.5,218.9,217.77,263.4,149.0,8776614,1911244985.15,79137,COALINDIA
16,2023-02-02,EQ,221.0,221.7,217.0,220.65,217.5,217.65,218.89,263.4,149.0,6806578,1489912180.75,78415,COALINDIA
17,2023-02-01,EQ,228.0,228.0,214.15,224.85,221.0,220.65,222.22,263.4,149.0,24008324,5335205630.1,146904,COALINDIA
18,2023-01-31,EQ,225.0,228.35,223.9,225.85,224.75,224.85,225.67,263.4,149.0,7424552,1675534539.75,74329,COALINDIA
19,2023-01-30,EQ,222.4,226.8,220.75,222.4,225.05,225.85,224.96,263.4,149.0,6172517,1388547141.2,64071,COALINDIA
20,2023-01-27,EQ,227.0,227.65,219.3,226.15,223.6,222.4,221.9,263.4,149.0,6171667,1369477248.25,70993,COALINDIA
21,2023-01-25,EQ,227.8,228.0,223.75,227.6,227.0,226.15,225.75,263.4,149.0,3855827,870460776.4,52166,COALINDIA
22,2023-01-24,EQ,230.2,232.0,227.2,230.1,227.8,227.6,228.54,263.4,149.0,4252051,971746533.25,48182,COALINDIA
23,2023-01-23,EQ,228.5,230.4,227.2,227.0,229.65,230.1,228.93,263.4,149.0,8736715,2000112347.0,75180,COALINDIA
24,2023-01-20,EQ,224.85,229.25,222.75,223.95,227.0,227.0,226.54,263.4,149.0,13444947,3045769175.05,99178,COALINDIA
25,2023-01-19,EQ,216.75,224.8,215.15,216.85,224.1,223.95,220.49,263.4,149.0,12938871,2852931451.4,81623,COALINDIA
26,2023-01-18,EQ,213.85,217.35,213.2,213.1,216.9,216.85,215.11,263.4,149.0,6441530,1385614710.0,61621,COALINDIA
27,2023-01-17,EQ,213.75,215.15,211.1,213.75,213.0,213.1,213.3,263.4,149.0,5871758,1252452157.7,72473,COALINDIA
28,2023-01-16,EQ,215.5,215.9,212.45,215.1,213.9,213.75,213.52,263.4,149.0,3987352,851382973.25,54784,COALINDIA
29,2023-01-13,EQ,214.2,215.7,213.55,213.9,215.2,215.1,214.62,263.4,149.0,3671193,787894948.6,40757,COALINDIA
30,2023-01-12,EQ,215.5,217.0,212.8,213.4,214.0,213.9,214.62,263.4,149.0,7161675,1537046877.15,64954,COALINDIA
31,2023-01-11,EQ,217.3,218.5,212.2,216.75,213.0,213.4,214.48,263.4,149.0,7637956,1638174700.5,77378,COALINDIA
32,2023-01-10,EQ,215.0,217.3,214.2,214.95,216.3,216.75,215.49,263.4,149.0,5400260,1163676716.7,59885,COALINDIA
33,2023-01-09,EQ,215.35,217.7,214.0,214.25,214.6,214.95,215.44,263.4,149.0,6967190,1501028318.8,72249,COALINDIA
34,2023-01-06,EQ,219.0,219.9,212.0,218.15,214.1,214.25,214.31,263.4,147.0,12237065,2622567654.5,100282,COALINDIA
35,2023-01-05,EQ,216.8,218.9,215.2,217.15,218.35,218.15,217.77,263.4,147.0,8815728,1919802330.2,66690,COALINDIA
36,2023-01-04,EQ,224.35,224.5,216.25,224.1,216.9,217.15,218.31,263.4,147.0,9550461,2084986030.8,93064,COALINDIA
37,2023-01-03,EQ,225.0,225.75,223.0,224.75,224.2,224.1,223.99,263.4,147.0,3643132,816034952.65,44457,COALINDIA
38,2023-01-02,EQ,226.75,227.2,224.15,225.05,224.9,224.75,225.58,263.4,147.0,4210225,949745070.0,52501,COALINDIA
39,2022-12-30,EQ,222.25,226.45,222.25,221.65,225.05,225.05,224.21,263.4,143.9,4102247,919778607.85,46516,COALINDIA
40,2022-12-29,EQ,220.8,224.35,220.45,223.2,221.85,221.65,221.57,263.4,143.9,4784105,1060004090.4,49798,COALINDIA
41,2022-12-28,EQ,221.25,224.25,220.55,221.25,222.85,223.2,223.03,263.4,143.9,3015714,672598273.6,35959,COALINDIA
42,2022-12-27,EQ,222.0,222.9,219.65,220.75,221.4,221.25,221.28,263.4,143.9,2961726,655356279.15,38829,COALINDIA
43,2022-12-26,EQ,215.05,221.6,214.25,215.05,221.25,220.75,219.21,263.4,143.9,3116608,683205934.2,42652,COALINDIA
44,2022-12-23,EQ,220.0,222.9,214.2,222.7,215.9,215.05,217.41,263.4,139.15,6561011,1426419931.1,77529,COALINDIA
45,2022-12-22,EQ,224.1,225.75,219.1,223.85,222.25,222.7,221.49,263.4,139.15,4755089,1053217959.75,62051,COALINDIA
46,2022-12-21,EQ,226.5,227.7,222.05,226.1,223.95,223.85,225.3,263.4,139.15,3675466,828075767.65,37000,COALINDIA
47,2022-12-20,EQ,226.9,226.9,223.35,227.3,226.25,226.1,225.17,263.4,139.15,3784271,852103545.7,54907,COALINDIA
48,2022-12-19,EQ,224.65,227.85,224.5,224.65,227.3,227.3,225.92,263.4,139.15,4073907,920386994.25,49165,COALINDIA
49,2022-12-16,EQ,228.0,229.9,223.3,228.2,224.6,224.65,225.53,263.4,139.15,7757065,1749450081.15,69929,COALINDIA
50,2022-12-15,EQ,231.9,232.6,227.7,232.15,228.1,228.2,229.38,263.4,139.15,5221433,1197692916.05,52993,COALINDIA
51,2022-12-14,EQ,231.75,233.2,231.35,231.55,231.95,232.15,232.18,263.4,139.15,4730078,1098213482.7,38844,COALINDIA
52,2022-12-13,EQ,233.4,234.45,231.1,232.4,231.8,231.55,231.92,263.4,139.15,4878457,1131407408.15,80668,COALINDIA
53,2022-12-12,EQ,228.35,233.7,228.1,228.85,232.4,232.4,232.16,263.4,139.15,7881379,1829747035.25,90902,COALINDIA
54,2022-12-09,EQ,230.55,232.35,227.8,230.4,229.0,228.85,229.98,263.4,139.15,4197165,965249407.55,62745,COALINDIA
55,2022-12-08,EQ,229.65,231.25,229.0,229.75,230.0,230.4,230.6,263.4,139.15,3135706,723093158.7,46670,COALINDIA
56,2022-12-07,EQ,232.15,232.15,228.7,231.65,229.25,229.75,230.09,263.4,139.15,4519547,1039913017.5,60276,COALINDIA
57,2022-12-06,EQ,232.0,232.5,229.5,231.25,231.5,231.65,231.22,263.4,139.15,7394839,1709817750.95,73037,COALINDIA
58,2022-12-05,EQ,226.6,231.8,226.5,226.6,231.3,231.25,229.51,263.4,139.15,8732711,2004284888.25,86678,COALINDIA
59,2022-12-02,EQ,226.1,228.0,225.3,226.1,226.7,226.6,226.54,263.4,139.15,6325649,1433034402.15,52161,COALINDIA
60,2022-12-01,EQ,228.4,230.4,224.9,227.25,226.3,226.1,226.34,263.4,139.15,22435771,5078052001.8,86472,COALINDIA
61,2022-11-30,EQ,227.2,228.85,226.55,227.2,227.8,227.25,227.44,263.4,139.15,12154948,2764471773.0,67567,COALINDIA
62,2022-11-29,EQ,230.2,231.3,226.35,229.85,226.55,227.2,228.19,263.4,139.15,6628470,1512533845.35,68910,COALINDIA
63,2022-11-28,EQ,230.55,232.75,228.4,231.4,229.85,229.85,229.9,263.4,139.15,8146840,1872967891.1,84048,COALINDIA
64,2022-11-25,EQ,229.65,233.65,227.8,228.5,231.6,231.4,231.35,263.4,139.15,10046363,2324217982.1,64987,COALINDIA
65,2022-11-24,EQ,230.75,231.8,227.35,230.6,229.0,228.5,228.76,263.4,139.15,8198891,1875547964.45,58185,COALINDIA
66,2022-11-23,EQ,230.0,231.1,229.0,229.1,230.25,230.6,230.15,263.4,139.15,5693274,1310327295.75,52402,COALINDIA
67,2022-11-22,EQ,228.55,230.7,227.65,229.45,229.4,229.1,228.89,263.4,139.15,5885877,1347210321.7,48996,COALINDIA
68,2022-11-21,EQ,229.0,230.4,226.7,229.55,229.05,229.45,228.33,263.4,139.15,6430876,1468366063.15,55983,COALINDIA
69,2022-11-18,EQ,232.45,233.55,228.2,232.4,229.55,229.55,229.82,263.4,139.15,6413585,1473998989.65,77114,COALINDIA
70,2022-11-17,EQ,234.75,234.75,231.0,234.9,232.45,232.4,232.46,263.4,139.15,5737884,1333830568.1,52811,COALINDIA
