,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2879.95,2972.0,2879.95,2873.2,2910.0,2915.2,2934.61,4640.8,2740.1,890366,2612879428.9,72744,DIVISLAB
1,2023-02-23,EQ,2920.55,2935.0,2866.0,2920.55,2875.0,2873.2,2893.54,4640.8,2740.1,432267,1250783716.85,41217,DIVISLAB
2,2023-02-22,EQ,2915.6,2936.6,2904.35,2918.6,2913.5,2920.55,2925.94,4640.8,2740.1,461368,1349933033.8,30600,DIVISLAB
3,2023-02-21,EQ,2910.75,2928.3,2883.2,2900.6,2920.0,2918.6,2912.52,4640.8,2740.1,419138,1220746422.5,39633,DIVISLAB
4,2023-02-20,EQ,2834.5,2919.0,2800.0,2829.8,2902.0,2900.6,2883.55,4640.8,2740.1,740945,2136554332.4,55293,DIVISLAB
5,2023-02-17,EQ,2876.0,2876.0,2826.0,2876.6,2834.45,2829.8,2847.97,4640.8,2740.1,282100,803411360.6,27154,DIVISLAB
6,2023-02-16,EQ,2835.0,2886.0,2826.6,2822.55,2876.55,2876.6,2864.01,4640.8,2740.1,498759,1428450833.95,46085,DIVISLAB
7,2023-02-15,EQ,2790.05,2826.85,2772.0,2791.65,2824.0,2822.55,2806.14,4640.8,2740.1,214098,600788037.35,24520,DIVISLAB
8,2023-02-14,EQ,2798.4,2798.4,2755.0,2773.2,2793.95,2791.65,2783.41,4640.8,2740.1,213194,593406014.35,22322,DIVISLAB
9,2023-02-13,EQ,2825.35,2825.35,2756.0,2811.25,2772.0,2773.2,2778.25,4640.8,2740.1,473865,1316517191.55,67575,DIVISLAB
10,2023-02-10,EQ,2823.15,2837.9,2795.8,2823.15,2812.0,2811.25,2816.93,4640.8,2740.1,380182,1070945654.35,31863,DIVISLAB
11,2023-02-09,EQ,2771.05,2856.0,2771.05,2799.05,2819.0,2823.15,2824.93,4640.8,2740.1,742365,2097132792.4,71896,DIVISLAB
12,2023-02-08,EQ,2757.95,2822.0,2757.0,2750.85,2804.0,2799.05,2798.79,4640.8,2740.1,913575,2556900762.8,64295,DIVISLAB
