,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,4464.9,4510.0,4441.8,4449.6,4490.0,4491.1,4478.91,4645.0,3654.0,352966,1580904061.6,50402,DRREDDY
1,2023-02-23,EQ,4476.1,4515.0,4441.0,4476.7,4451.3,4449.6,4466.59,4645.0,3654.0,237568,1061119822.6,31019,DRREDDY
2,2023-02-22,EQ,4486.9,4520.2,4469.4,4486.15,4482.0,4476.7,4490.41,4645.0,3654.0,176461,792383043.0,24831,DRREDDY
3,2023-02-21,EQ,4504.3,4504.3,4458.8,4474.8,4500.0,4486.15,4477.75,4645.0,3654.0,158326,708944316.3,21492,DRREDDY
4,2023-02-20,EQ,4520.0,4538.55,4468.45,4510.35,4474.25,4474.8,4505.29,4645.0,3654.0,152349,686375997.75,19826,DRREDDY
5,2023-02-17,EQ,4501.2,4535.0,4463.5,4519.3,4520.1,4510.35,4501.88,4645.0,3654.0,211207,950828127.25,22484,DRREDDY
6,2023-02-16,EQ,4542.45,4549.85,4509.45,4519.85,4520.0,4519.3,4525.2,4645.0,3654.0,270466,1223913628.95,31646,DRREDDY
7,2023-02-15,EQ,4548.0,4563.2,4504.2,4538.4,4516.3,4519.85,4522.33,4645.0,3654.0,256737,1161048787.5,19984,DRREDDY
8,2023-02-14,EQ,4545.0,4564.0,4500.65,4524.7,4535.4,4538.4,4537.36,4645.0,3654.0,240427,1090903028.25,29044,DRREDDY
9,2023-02-13,EQ,4508.1,4557.4,4500.1,4499.6,4518.8,4524.7,4529.56,4645.0,3654.0,374555,1696570150.25,43176,DRREDDY
10,2023-02-10,EQ,4493.95,4505.0,4432.55,4487.5,4496.9,4499.6,4470.81,4645.0,3654.0,137022,612599601.4,22542,DRREDDY
11,2023-02-09,EQ,4444.0,4529.55,4433.6,4487.8,4485.0,4487.5,4506.48,4645.0,3654.0,410962,1851991847.3,36669,DRREDDY
12,2023-02-08,EQ,4450.0,4496.6,4432.65,4440.25,4484.0,4487.8,4477.38,4645.0,3654.0,239371,1071754932.9,36062,DRREDDY
13,2023-02-07,EQ,4380.65,4468.25,4360.25,4349.55,4434.0,4440.25,4436.93,4645.0,3654.0,597481,2650983482.3,49076,DRREDDY
14,2023-02-06,EQ,4380.15,4380.15,4285.0,4358.35,4350.0,4349.55,4340.53,4645.0,3654.0,303221,1316140588.4,42093,DRREDDY
15,2023-02-03,EQ,4375.0,4429.9,4318.2,4370.1,4361.75,4358.35,4380.06,4645.0,3654.0,374979,1642428766.2,45983,DRREDDY
16,2023-02-02,EQ,4313.0,4379.05,4291.55,4351.5,4360.0,4370.1,4348.73,4645.0,3654.0,389355,1693198355.5,34924,DRREDDY
17,2023-02-01,EQ,4341.0,4380.0,4310.25,4324.15,4350.0,4351.5,4344.14,4645.0,3654.0,405454,1761347042.75,45187,DRREDDY
18,2023-01-31,EQ,4345.0,4376.7,4293.3,4328.8,4340.0,4324.15,4327.72,4645.0,3654.0,631941,2734865190.05,79031,DRREDDY
19,2023-01-30,EQ,4319.95,4339.45,4284.95,4314.0,4329.9,4328.8,4315.36,4645.0,3654.0,374737,1617126362.6,51789,DRREDDY
