,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,3249.9,3249.9,3165.0,3241.95,3210.05,3205.6,3195.46,3889.65,2159.55,684029,2185784578.25,59260,EICHERMOT
1,2023-02-23,EQ,3265.0,3274.85,3220.9,3249.7,3235.55,3241.95,3251.29,3889.65,2159.55,527729,1715798465.05,44798,EICHERMOT
2,2023-02-22,EQ,3270.0,3270.15,3215.1,3274.15,3255.0,3249.7,3243.12,3889.65,2159.55,570379,1849807273.1,40402,EICHERMOT
3,2023-02-21,EQ,3290.0,3298.1,3265.05,3290.5,3278.55,3274.15,3284.23,3889.65,2159.55,494115,1622786492.25,35429,EICHERMOT
4,2023-02-20,EQ,3300.0,3335.0,3280.45,3285.0,3290.0,3290.5,3306.17,3889.65,2159.55,515895,1705638275.3,46079,EICHERMOT
5,2023-02-17,EQ,3287.05,3297.0,3240.2,3289.1,3282.5,3285.0,3273.45,3889.65,2159.55,491317,1608302473.9,39186,EICHERMOT
6,2023-02-16,EQ,3329.95,3344.0,3268.05,3311.15,3281.5,3289.1,3305.48,3889.65,2159.55,679170,2244982202.2,56140,EICHERMOT
7,2023-02-15,EQ,3203.0,3341.95,3203.0,3175.7,3316.0,3311.15,3293.19,3889.65,2159.55,2093492,6894264668.55,144664,EICHERMOT
8,2023-02-14,EQ,3261.95,3300.0,3145.0,3252.65,3180.0,3175.7,3207.27,3889.65,2159.55,1519235,4872600926.85,115188,EICHERMOT
9,2023-02-13,EQ,3225.0,3272.0,3217.2,3212.35,3247.6,3252.65,3247.96,3889.65,2159.55,405135,1315860852.55,43881,EICHERMOT
10,2023-02-10,EQ,3225.05,3242.3,3198.15,3237.15,3214.3,3212.35,3215.95,3889.65,2159.55,328745,1057227443.0,32403,EICHERMOT
11,2023-02-09,EQ,3236.05,3249.55,3195.0,3228.0,3232.0,3237.15,3225.94,3889.65,2159.55,265006,854894731.5,25906,EICHERMOT
