,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1580.6,1594.5,1571.1,1580.35,1582.0,1575.2,1580.37,1839.5,1276.6,389169,615030401.6,20956,GRASIM
1,2023-02-23,EQ,1582.0,1588.5,1568.15,1574.15,1578.3,1580.35,1578.87,1839.5,1276.6,483615,763563938.6,41126,GRASIM
2,2023-02-22,EQ,1634.25,1634.25,1570.6,1633.15,1577.0,1574.15,1589.52,1839.5,1276.6,1052145,1672410630.55,47058,GRASIM
3,2023-02-21,EQ,1635.0,1658.9,1625.2,1632.0,1634.8,1633.15,1640.58,1839.5,1276.6,537330,881532301.8,33035,GRASIM
4,2023-02-20,EQ,1644.0,1650.3,1622.15,1642.95,1631.6,1632.0,1635.18,1839.5,1276.6,445964,729232205.0,29325,GRASIM
5,2023-02-17,EQ,1625.1,1668.8,1621.95,1629.65,1643.85,1642.95,1650.74,1839.5,1276.6,873623,1442124599.95,36189,GRASIM
6,2023-02-16,EQ,1632.2,1642.7,1616.95,1626.15,1627.0,1629.65,1630.89,1839.5,1276.6,311183,507504825.95,17489,GRASIM
7,2023-02-15,EQ,1604.7,1640.0,1598.15,1604.7,1629.2,1626.15,1615.94,1839.5,1276.6,641985,1037406952.15,37680,GRASIM
8,2023-02-14,EQ,1623.0,1627.75,1578.4,1622.3,1603.7,1604.7,1602.43,1839.5,1276.6,1046887,1677564439.05,54470,GRASIM
9,2023-02-13,EQ,1635.0,1643.2,1617.6,1635.3,1618.3,1622.3,1628.5,1839.5,1276.6,241644,393516884.2,26864,GRASIM
10,2023-02-10,EQ,1640.0,1642.35,1622.5,1643.45,1638.5,1635.3,1632.21,1839.5,1276.6,331940,541795564.9,19899,GRASIM
11,2023-02-09,EQ,1636.55,1662.0,1627.65,1636.55,1644.5,1643.45,1650.46,1839.5,1276.6,1018831,1681543936.45,42984,GRASIM
12,2023-02-08,EQ,1616.95,1641.0,1615.75,1616.3,1637.9,1636.55,1628.96,1839.5,1276.6,511886,833841354.0,29958,GRASIM
13,2023-02-07,EQ,1619.6,1632.65,1607.35,1618.1,1613.1,1616.3,1616.49,1839.5,1276.6,592717,958123350.75,23478,GRASIM
14,2023-02-06,EQ,1617.8,1621.15,1597.1,1616.35,1617.0,1618.1,1611.8,1839.5,1276.6,497081,801197580.8,27660,GRASIM
15,2023-02-03,EQ,1600.0,1619.05,1575.85,1598.75,1613.9,1616.35,1598.89,1839.5,1276.6,751430,1201456805.1,44634,GRASIM
16,2023-02-02,EQ,1575.0,1603.45,1562.7,1587.8,1598.0,1598.75,1590.48,1839.5,1276.6,718483,1142735890.95,53061,GRASIM
17,2023-02-01,EQ,1593.0,1623.0,1566.05,1590.2,1578.55,1587.8,1597.72,1839.5,1276.6,739030,1180761705.85,40877,GRASIM
18,2023-01-31,EQ,1602.45,1621.0,1583.1,1598.6,1590.55,1590.2,1592.67,1839.5,1276.6,1528204,2433927484.2,56423,GRASIM
19,2023-01-30,EQ,1579.85,1606.35,1566.0,1578.45,1599.0,1598.6,1588.86,1839.5,1276.6,465449,739532383.2,41843,GRASIM
20,2023-01-27,EQ,1593.95,1602.5,1549.5,1593.75,1581.85,1578.45,1575.55,1839.5,1276.6,911880,1436715266.05,51506,GRASIM
21,2023-01-25,EQ,1603.2,1610.95,1582.25,1603.2,1590.0,1593.75,1596.1,1839.5,1276.6,501553,800529285.25,28367,GRASIM
22,2023-01-24,EQ,1634.0,1637.95,1593.2,1631.3,1602.95,1603.2,1608.31,1839.5,1276.6,449028,722177259.4,33153,GRASIM
23,2023-01-23,EQ,1663.0,1667.8,1615.35,1655.35,1622.5,1631.3,1635.79,1839.5,1276.6,672395,1099897074.6,37375,GRASIM
24,2023-01-20,EQ,1676.9,1687.45,1652.25,1676.9,1660.5,1655.35,1664.98,1929.8,1276.6,315787,525778477.75,20797,GRASIM
25,2023-01-19,EQ,1674.0,1693.0,1668.65,1676.5,1670.0,1676.9,1681.46,1929.8,1276.6,621705,1045370764.2,33842,GRASIM
26,2023-01-18,EQ,1668.0,1686.8,1663.95,1660.7,1678.0,1676.5,1675.3,1929.8,1276.6,714139,1196396004.5,32687,GRASIM
27,2023-01-17,EQ,1642.0,1666.0,1642.0,1648.5,1662.0,1660.7,1657.38,1929.8,1276.6,512958,850166047.25,35386,GRASIM
28,2023-01-16,EQ,1659.5,1668.4,1640.0,1655.1,1649.0,1648.5,1649.86,1929.8,1276.6,359143,592535298.35,21873,GRASIM
29,2023-01-13,EQ,1648.45,1671.45,1641.15,1642.4,1654.55,1655.1,1659.03,1929.8,1276.6,635356,1054077699.2,33674,GRASIM
30,2023-01-12,EQ,1639.6,1665.0,1632.1,1635.05,1643.0,1642.4,1646.37,1929.8,1276.6,905079,1490097774.45,54937,GRASIM
