,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2615.0,2617.75,2570.25,2600.5,2577.95,2577.15,2584.69,2933.8,2026.0,3747521,9686194212.15,214037,HDFC
1,2023-02-23,EQ,2606.0,2617.6,2581.65,2617.3,2603.5,2600.5,2602.15,2933.8,2026.0,4026994,10478843030.9,170865,HDFC
2,2023-02-22,EQ,2654.05,2664.45,2608.25,2666.4,2612.1,2617.3,2634.74,2933.8,2026.0,2949868,7772145797.0,160811,HDFC
3,2023-02-21,EQ,2662.0,2689.9,2649.2,2655.9,2674.0,2666.4,2669.01,2933.8,2026.0,2778630,7416200320.35,115781,HDFC
4,2023-02-20,EQ,2696.95,2705.0,2648.8,2693.6,2655.05,2655.9,2677.81,2933.8,2026.0,1557675,4171164954.9,85760,HDFC
5,2023-02-17,EQ,2695.0,2700.0,2670.05,2700.5,2695.0,2693.6,2685.2,2933.8,2026.0,2247198,6034171998.55,89037,HDFC
6,2023-02-16,EQ,2715.6,2724.8,2693.8,2703.9,2699.0,2700.5,2710.66,2933.8,2026.0,2506632,6794630160.15,111634,HDFC
7,2023-02-15,EQ,2709.5,2718.85,2683.15,2718.75,2704.7,2703.9,2697.21,2933.8,2026.0,3367150,9081912089.45,103603,HDFC
8,2023-02-14,EQ,2711.0,2720.0,2691.05,2699.85,2718.0,2718.75,2711.15,2933.8,2026.0,2874322,7792709054.65,115998,HDFC
9,2023-02-13,EQ,2680.0,2702.9,2665.8,2688.7,2702.0,2699.85,2687.3,2933.8,2026.0,2609749,7013174565.4,141637,HDFC
10,2023-02-10,EQ,2668.0,2693.4,2659.85,2673.25,2680.0,2688.7,2678.17,2933.8,2026.0,1505925,4033123448.3,79965,HDFC
11,2023-02-09,EQ,2690.0,2692.45,2655.0,2685.8,2672.3,2673.25,2670.77,2933.8,2026.0,2285661,6104467336.65,78679,HDFC
12,2023-02-08,EQ,2676.35,2704.0,2675.0,2679.2,2679.0,2685.8,2689.37,2933.8,2026.0,2202728,5923949863.95,115455,HDFC
13,2023-02-07,EQ,2684.4,2694.9,2654.0,2683.15,2680.65,2679.2,2678.76,2933.8,2026.0,2494047,6680941157.85,105225,HDFC
14,2023-02-06,EQ,2692.0,2707.7,2671.55,2694.65,2684.4,2683.15,2686.56,2933.8,2026.0,2364396,6352097069.7,151422,HDFC
15,2023-02-03,EQ,2615.0,2698.0,2609.95,2613.3,2696.05,2694.65,2663.59,2933.8,2026.0,4067801,10834956885.8,167965,HDFC
16,2023-02-02,EQ,2622.65,2649.85,2591.3,2661.7,2614.0,2613.3,2614.07,2933.8,2026.0,3773664,9864619017.45,192570,HDFC
17,2023-02-01,EQ,2650.0,2729.85,2620.5,2622.95,2655.0,2661.7,2669.39,2933.8,2026.0,4406327,11762201782.55,166751,HDFC
18,2023-01-31,EQ,2650.0,2654.5,2605.5,2648.2,2628.85,2622.95,2628.19,2933.8,2026.0,5721836,15038085703.8,248083,HDFC
19,2023-01-30,EQ,2646.3,2661.0,2597.25,2661.5,2647.05,2648.2,2632.23,2933.8,2026.0,4429082,11658379530.5,197283,HDFC
20,2023-01-27,EQ,2699.0,2699.0,2615.6,2710.6,2665.0,2661.5,2648.39,2933.8,2026.0,4153948,11001275792.9,234721,HDFC
21,2023-01-25,EQ,2764.0,2769.95,2700.45,2775.4,2714.0,2710.6,2727.39,2933.8,2026.0,2282790,6226048965.6,86484,HDFC
22,2023-01-24,EQ,2748.0,2780.0,2737.1,2741.9,2767.0,2775.4,2761.04,2933.8,2026.0,3536820,9765295945.65,94861,HDFC
23,2023-01-23,EQ,2725.0,2750.85,2715.95,2715.95,2739.95,2741.9,2741.61,2933.8,2026.0,1868514,5122745504.65,61425,HDFC
24,2023-01-20,EQ,2692.0,2732.0,2691.05,2691.7,2710.5,2715.95,2719.5,2933.8,2026.0,1910649,5196010106.35,109634,HDFC
25,2023-01-19,EQ,2685.0,2700.0,2670.4,2687.65,2688.0,2691.7,2689.0,2933.8,2026.0,2408731,6477076525.9,100582,HDFC
26,2023-01-18,EQ,2640.1,2691.35,2629.45,2640.65,2686.0,2687.65,2674.44,2933.8,2026.0,3867408,10343151869.75,166265,HDFC
27,2023-01-17,EQ,2593.1,2643.9,2587.6,2594.8,2639.6,2640.65,2628.19,2933.8,2026.0,2108385,5541234700.55,95454,HDFC
28,2023-01-16,EQ,2648.0,2648.0,2585.15,2621.65,2594.85,2594.8,2610.22,2933.8,2026.0,2756714,7195628831.85,128335,HDFC
29,2023-01-13,EQ,2608.0,2631.1,2590.6,2612.8,2619.25,2621.65,2610.84,2933.8,2026.0,3378677,8821171409.65,114890,HDFC
30,2023-01-12,EQ,2595.7,2621.6,2593.1,2594.85,2613.0,2612.8,2608.93,2933.8,2026.0,2723696,7105934268.25,156863,HDFC
31,2023-01-11,EQ,2566.0,2605.2,2547.05,2575.35,2593.0,2594.85,2585.51,2933.8,2026.0,1910362,4939269031.55,104086,HDFC
32,2023-01-10,EQ,2612.1,2615.85,2563.0,2615.9,2578.05,2575.35,2578.29,2933.8,2026.0,1990190,5131288939.05,165445,HDFC
33,2023-01-09,EQ,2600.9,2629.95,2591.05,2596.0,2619.0,2615.9,2614.63,2933.8,2026.0,2895579,7570871950.5,99535,HDFC
34,2023-01-06,EQ,2627.0,2635.0,2590.0,2621.6,2597.0,2596.0,2608.62,2933.8,2026.0,1813292,4730188833.95,171225,HDFC
35,2023-01-05,EQ,2638.0,2644.3,2606.2,2625.7,2624.9,2621.6,2623.93,2933.8,2026.0,2910551,7637082366.25,130753,HDFC
36,2023-01-04,EQ,2659.0,2670.0,2615.5,2664.7,2625.0,2625.7,2642.03,2933.8,2026.0,2125220,5614897040.0,134227,HDFC
37,2023-01-03,EQ,2643.25,2672.8,2638.5,2652.4,2663.05,2664.7,2655.34,2933.8,2026.0,2262464,6007609954.45,70613,HDFC
38,2023-01-02,EQ,2626.1,2659.15,2626.1,2637.6,2655.05,2652.4,2647.21,2933.8,2026.0,1106318,2928654109.0,77678,HDFC
39,2022-12-30,EQ,2687.35,2688.8,2627.35,2675.4,2642.0,2637.6,2651.38,2933.8,2026.0,2344289,6215597852.75,96219,HDFC
40,2022-12-29,EQ,2655.0,2679.9,2632.7,2671.3,2675.0,2675.4,2662.1,2933.8,2026.0,1953701,5200940768.8,71669,HDFC
41,2022-12-28,EQ,2664.0,2676.55,2659.15,2669.1,2668.05,2671.3,2669.74,2933.8,2026.0,2022368,5399202107.0,94628,HDFC
42,2022-12-27,EQ,2672.8,2672.8,2648.25,2665.1,2667.15,2669.1,2660.88,2933.8,2026.0,1524310,4056003522.6,118509,HDFC
43,2022-12-26,EQ,2624.55,2680.0,2616.1,2623.05,2662.0,2665.1,2651.17,2933.8,2026.0,1157742,3069365724.45,98249,HDFC
44,2022-12-23,EQ,2616.0,2630.85,2605.0,2644.45,2626.95,2623.05,2618.07,2933.8,2026.0,3137007,8212896273.5,140079,HDFC
45,2022-12-22,EQ,2671.0,2671.0,2636.2,2656.85,2645.0,2644.45,2650.97,2933.8,2026.0,2337299,6196107026.05,100110,HDFC
46,2022-12-21,EQ,2704.0,2711.65,2643.9,2700.3,2662.2,2656.85,2672.55,2933.8,2026.0,2043280,5460775762.5,87385,HDFC
47,2022-12-20,EQ,2680.6,2705.0,2677.75,2710.55,2705.0,2700.3,2691.0,2933.8,2026.0,2239771,6027230370.55,85037,HDFC
