,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1617.9,1617.9,1585.2,1603.25,1588.5,1588.95,1594.44,1722.1,1271.6,8530870,13601992894.9,179066,HDFCBANK
1,2023-02-23,EQ,1613.0,1618.85,1592.1,1614.2,1604.0,1603.25,1603.0,1722.1,1271.6,13941005,22347475793.5,227065,HDFCBANK
2,2023-02-22,EQ,1639.0,1641.95,1609.05,1646.5,1614.2,1614.2,1622.7,1722.1,1271.6,5179551,8404852589.05,139134,HDFCBANK
3,2023-02-21,EQ,1640.0,1662.35,1634.0,1640.35,1649.95,1646.5,1647.5,1722.1,1271.6,6194648,10205667202.4,167166,HDFCBANK
4,2023-02-20,EQ,1660.0,1669.45,1634.8,1655.9,1640.5,1640.35,1653.1,1722.1,1271.6,4043353,6684047187.45,161532,HDFCBANK
5,2023-02-17,EQ,1661.0,1668.15,1642.95,1664.25,1656.0,1655.9,1654.92,1722.1,1271.6,4478135,7410951450.25,116571,HDFCBANK
6,2023-02-16,EQ,1673.2,1681.9,1661.0,1670.3,1663.45,1664.25,1674.01,1722.1,1271.6,4031250,6748366478.8,112501,HDFCBANK
7,2023-02-15,EQ,1678.0,1678.0,1656.75,1673.7,1670.0,1670.3,1666.6,1722.1,1271.6,5719356,9531863377.0,131147,HDFCBANK
8,2023-02-14,EQ,1665.0,1677.5,1657.95,1658.35,1672.0,1673.7,1667.58,1722.1,1271.6,5454296,9095501854.7,188196,HDFCBANK
9,2023-02-13,EQ,1655.0,1661.75,1644.55,1657.1,1658.8,1658.35,1653.05,1722.1,1271.6,2868472,4741728896.75,128413,HDFCBANK
10,2023-02-10,EQ,1648.8,1658.5,1642.2,1650.55,1652.3,1657.1,1652.8,1722.1,1271.6,4086058,6753456557.5,112380,HDFCBANK
11,2023-02-09,EQ,1660.0,1661.65,1635.55,1654.0,1650.2,1650.55,1646.47,1722.1,1271.6,5888668,9695534662.35,156658,HDFCBANK
12,2023-02-08,EQ,1654.25,1668.2,1650.0,1654.2,1652.0,1654.0,1658.26,1722.1,1271.6,4222413,7001861740.25,122581,HDFCBANK
13,2023-02-07,EQ,1659.4,1664.9,1632.6,1651.75,1652.0,1654.2,1650.73,1722.1,1271.6,5132294,8472010812.25,154701,HDFCBANK
14,2023-02-06,EQ,1660.0,1669.4,1646.2,1658.8,1650.0,1651.75,1656.81,1722.1,1271.6,5583836,9251344923.6,160975,HDFCBANK
15,2023-02-03,EQ,1611.0,1660.5,1607.0,1603.35,1658.25,1658.8,1641.97,1722.1,1271.6,7205550,11831279561.5,296046,HDFCBANK
16,2023-02-02,EQ,1608.1,1624.5,1588.75,1627.55,1605.7,1603.35,1601.95,1722.1,1271.6,8748553,14014786208.0,272747,HDFCBANK
17,2023-02-01,EQ,1624.0,1665.0,1606.0,1603.5,1625.5,1627.55,1633.55,1722.1,1271.6,8651395,14132476806.6,230246,HDFCBANK
18,2023-01-31,EQ,1619.7,1622.7,1595.0,1614.15,1605.8,1603.5,1606.73,1722.1,1271.6,9298122,14939588504.95,313012,HDFCBANK
19,2023-01-30,EQ,1595.0,1625.3,1582.0,1615.8,1617.4,1614.15,1603.35,1722.1,1271.6,9256411,14841278614.15,282514,HDFCBANK
20,2023-01-27,EQ,1632.0,1637.0,1589.95,1648.65,1614.8,1615.8,1614.04,1722.1,1271.6,17589974,28390935612.35,364306,HDFCBANK
21,2023-01-25,EQ,1691.4,1692.95,1645.3,1695.5,1649.7,1648.65,1657.89,1722.1,1271.6,7352071,12188918619.35,190090,HDFCBANK
22,2023-01-24,EQ,1675.05,1702.4,1675.0,1673.1,1693.0,1695.5,1692.57,1722.1,1271.6,12491970,21143517490.3,229064,HDFCBANK
23,2023-01-23,EQ,1666.25,1682.6,1661.4,1660.95,1671.9,1673.1,1674.88,1722.1,1271.6,7722200,12933789977.65,302449,HDFCBANK
24,2023-01-20,EQ,1644.1,1669.0,1643.4,1644.1,1659.25,1660.95,1661.6,1722.1,1271.6,9421702,15655096016.05,183678,HDFCBANK
25,2023-01-19,EQ,1637.0,1650.0,1633.0,1637.3,1640.1,1644.1,1643.36,1722.1,1271.6,5586081,9179947870.95,212074,HDFCBANK
26,2023-01-18,EQ,1605.0,1641.6,1599.7,1608.9,1637.15,1637.3,1631.33,1722.1,1271.6,9545321,15571575456.3,273645,HDFCBANK
