,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,488.5,490.0,482.0,486.85,482.95,482.85,484.47,620.6,473.7,2436219,1180269431.3,55777,HDFCLIFE
1,2023-02-23,EQ,494.45,494.95,486.15,494.45,487.7,486.85,489.73,620.6,473.7,4158416,2036510490.85,100903,HDFCLIFE
2,2023-02-22,EQ,500.6,501.75,492.5,501.05,493.95,494.45,495.64,620.6,473.7,2728046,1352139031.1,61121,HDFCLIFE
3,2023-02-21,EQ,510.9,514.8,500.05,507.95,500.7,501.05,505.8,620.6,473.7,2669387,1350188506.7,73816,HDFCLIFE
4,2023-02-20,EQ,506.3,522.75,500.25,504.25,506.6,507.95,509.16,620.6,473.7,6129396,3120846956.3,93109,HDFCLIFE
5,2023-02-17,EQ,514.55,514.55,501.5,514.6,504.0,504.25,506.85,620.6,473.7,4312084,2185583894.95,65224,HDFCLIFE
6,2023-02-16,EQ,519.0,522.0,512.7,519.1,514.5,514.6,516.92,620.6,473.7,1983991,1025565808.4,49089,HDFCLIFE
7,2023-02-15,EQ,510.75,520.0,509.65,512.05,518.1,519.1,516.34,620.6,473.7,2497424,1289512683.05,62837,HDFCLIFE
8,2023-02-14,EQ,515.4,517.45,507.65,514.5,512.0,512.05,512.08,620.6,473.7,2233957,1143974548.8,70798,HDFCLIFE
9,2023-02-13,EQ,522.55,526.0,512.15,522.55,514.9,514.5,516.62,620.6,473.7,3063664,1582764382.15,63488,HDFCLIFE
10,2023-02-10,EQ,519.8,528.4,518.3,518.65,522.0,522.55,523.78,623.7,473.7,7239045,3791670054.6,151824,HDFCLIFE
11,2023-02-09,EQ,508.55,522.7,502.2,508.55,519.7,518.65,515.96,623.7,473.7,9516815,4910316514.8,332232,HDFCLIFE
12,2023-02-08,EQ,484.8,510.3,483.5,482.95,508.3,508.55,499.2,623.7,473.7,10571918,5277462394.3,275271,HDFCLIFE
13,2023-02-07,EQ,483.9,491.5,482.0,482.05,483.3,482.95,484.72,623.7,473.7,7117626,3450066562.65,236922,HDFCLIFE
14,2023-02-06,EQ,487.0,489.75,473.7,488.9,482.95,482.05,480.86,623.7,473.7,7441590,3578382913.7,199612,HDFCLIFE
15,2023-02-03,EQ,496.0,499.0,481.0,492.7,486.8,488.9,488.13,647.3,481.0,10593983,5171219027.7,310017,HDFCLIFE
16,2023-02-02,EQ,499.0,505.25,483.05,515.7,493.0,492.7,493.6,647.3,483.05,17269387,8524203879.4,494967,HDFCLIFE
17,2023-02-01,EQ,582.9,584.65,502.35,578.85,516.4,515.7,529.71,647.3,497.05,22671272,12009285004.5,347146,HDFCLIFE
18,2023-01-31,EQ,587.95,589.5,572.95,587.95,579.5,578.85,578.76,647.3,497.05,3073978,1779087220.35,83272,HDFCLIFE
19,2023-01-30,EQ,586.8,592.35,583.3,587.7,586.5,587.95,587.38,647.3,497.05,2843943,1670482224.8,57786,HDFCLIFE
20,2023-01-27,EQ,586.45,593.9,578.05,585.05,587.95,587.7,588.05,647.3,497.05,3632289,2135980970.4,92513,HDFCLIFE
21,2023-01-25,EQ,590.0,591.75,580.1,589.55,586.5,585.05,584.59,647.3,497.05,1443501,843862645.4,41287,HDFCLIFE
22,2023-01-24,EQ,591.0,594.75,588.15,589.2,590.0,589.55,590.85,647.3,497.05,2219052,1311133656.85,45381,HDFCLIFE
23,2023-01-23,EQ,595.0,596.45,585.2,590.55,588.5,589.2,589.8,647.3,497.05,3884783,2291252162.0,46660,HDFCLIFE
24,2023-01-20,EQ,608.0,608.4,588.25,605.25,592.75,590.55,598.39,678.8,497.05,4255202,2546269094.75,62812,HDFCLIFE
25,2023-01-19,EQ,601.15,611.0,600.75,601.05,605.0,605.25,606.84,678.8,497.05,3615736,2194190355.1,65390,HDFCLIFE
26,2023-01-18,EQ,610.0,610.05,598.45,609.45,600.35,601.05,601.41,678.8,497.05,3291651,1979644535.1,89785,HDFCLIFE
27,2023-01-17,EQ,607.0,610.6,601.2,604.2,610.0,609.45,606.1,678.8,497.05,1807515,1095543226.3,36238,HDFCLIFE
28,2023-01-16,EQ,605.0,612.6,599.85,604.5,603.6,604.2,605.33,678.8,497.05,2170216,1313707618.3,63818,HDFCLIFE
29,2023-01-13,EQ,599.45,607.6,596.35,598.4,604.0,604.5,603.42,678.8,497.05,3272285,1974567907.8,46022,HDFCLIFE
30,2023-01-12,EQ,602.45,605.8,594.6,599.85,598.15,598.4,598.39,678.8,497.05,2358813,1411490257.75,40142,HDFCLIFE
31,2023-01-11,EQ,600.0,605.55,594.35,600.2,599.5,599.85,601.14,678.8,497.05,3576811,2150167670.15,44093,HDFCLIFE
32,2023-01-10,EQ,608.5,613.05,599.55,608.45,600.05,600.2,604.25,678.8,497.05,4073524,2461426123.95,60605,HDFCLIFE
33,2023-01-09,EQ,615.05,618.05,601.75,611.65,608.0,608.45,608.69,678.8,497.05,3969535,2416222783.85,80628,HDFCLIFE
34,2023-01-06,EQ,608.0,620.6,605.65,609.45,611.05,611.65,614.9,678.8,497.05,5415866,3330218395.85,104520,HDFCLIFE
35,2023-01-05,EQ,600.0,612.4,598.0,598.6,607.2,609.45,607.39,678.8,497.05,5704967,3465158215.25,113608,HDFCLIFE
36,2023-01-04,EQ,599.0,609.9,595.0,595.6,597.9,598.6,602.65,678.8,497.05,7722662,4654044711.15,146393,HDFCLIFE
37,2023-01-03,EQ,570.0,600.0,569.5,570.3,596.2,595.6,593.2,678.8,497.05,10096217,5989114547.4,179189,HDFCLIFE
38,2023-01-02,EQ,565.0,571.4,561.25,566.25,569.0,570.3,567.9,678.8,497.05,841928,478130255.9,32810,HDFCLIFE
39,2022-12-30,EQ,572.05,573.0,565.2,571.0,566.35,566.25,567.89,678.8,497.05,1690896,960248797.85,45138,HDFCLIFE
40,2022-12-29,EQ,566.0,573.2,559.15,568.2,570.4,571.0,566.56,678.8,497.05,3393061,1922356033.7,48657,HDFCLIFE
41,2022-12-28,EQ,569.7,571.75,566.35,569.8,567.2,568.2,568.26,678.8,497.05,1452719,825528339.0,47411,HDFCLIFE
42,2022-12-27,EQ,572.0,574.2,567.45,569.3,569.0,569.8,569.34,678.8,497.05,1511387,860493636.8,54035,HDFCLIFE
43,2022-12-26,EQ,562.5,570.75,562.5,565.45,568.9,569.3,567.61,678.8,497.05,1962030,1113664490.95,49310,HDFCLIFE
44,2022-12-23,EQ,574.95,578.95,564.15,577.85,566.0,565.45,571.86,678.8,497.05,3234932,1849937943.9,81663,HDFCLIFE
45,2022-12-22,EQ,576.4,582.8,574.0,575.4,575.15,577.85,577.88,678.8,497.05,3424491,1978957878.95,89487,HDFCLIFE
46,2022-12-21,EQ,585.0,589.9,571.3,579.8,575.0,575.4,581.26,678.8,497.05,2694392,1566150698.8,64101,HDFCLIFE
47,2022-12-20,EQ,583.0,585.0,578.55,584.45,579.5,579.8,580.09,678.8,497.05,2166279,1256644372.55,69190,HDFCLIFE
48,2022-12-19,EQ,574.95,586.75,574.2,575.2,584.9,584.45,583.04,678.8,497.05,1960076,1142799910.95,49355,HDFCLIFE
49,2022-12-16,EQ,579.2,585.7,573.6,580.2,578.1,575.2,578.51,688.4,497.05,2787126,1612393138.95,55013,HDFCLIFE
50,2022-12-15,EQ,582.9,587.25,576.15,580.35,579.8,580.2,582.64,688.4,497.05,1991517,1160334539.15,42588,HDFCLIFE
51,2022-12-14,EQ,583.0,585.55,579.1,582.35,579.95,580.35,582.31,688.4,497.05,2800824,1630943830.1,66742,HDFCLIFE
52,2022-12-13,EQ,578.2,583.8,577.3,576.5,581.6,582.35,580.41,688.4,497.05,3212182,1864369664.7,45434,HDFCLIFE
53,2022-12-12,EQ,575.2,578.0,571.55,579.6,577.0,576.5,574.91,688.4,497.05,1747003,1004368593.4,46617,HDFCLIFE
54,2022-12-09,EQ,581.0,581.9,571.55,577.5,579.2,579.6,577.08,698.85,497.05,3243513,1871773404.2,76055,HDFCLIFE
55,2022-12-08,EQ,580.0,580.8,573.5,581.8,576.3,577.5,576.17,698.85,497.05,3171602,1827390271.95,112473,HDFCLIFE
56,2022-12-07,EQ,590.9,590.9,580.1,586.8,580.25,581.8,583.72,698.85,497.05,2831232,1652637048.7,59872,HDFCLIFE
57,2022-12-06,EQ,588.0,595.4,585.1,588.9,586.7,586.8,588.7,698.85,497.05,2751347,1619716425.05,85355,HDFCLIFE
