,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2496.0,2508.55,2481.4,2495.5,2485.85,2485.65,2490.05,2938.6,2146.85,255112,635242194.35,21569,HEROMOTOCO
1,2023-02-23,EQ,2500.55,2512.6,2482.8,2499.45,2500.0,2495.5,2495.0,2938.6,2146.85,294710,735302094.15,33038,HEROMOTOCO
2,2023-02-22,EQ,2507.0,2534.65,2495.0,2520.55,2499.8,2499.45,2513.59,2938.6,2146.85,310260,779866895.3,28467,HEROMOTOCO
3,2023-02-21,EQ,2540.0,2545.0,2516.5,2527.45,2520.6,2520.55,2525.59,2938.6,2146.85,203273,513384067.8,24634,HEROMOTOCO
4,2023-02-20,EQ,2540.0,2544.5,2513.75,2535.55,2531.5,2527.45,2527.8,2938.6,2146.85,182493,461305169.1,16048,HEROMOTOCO
5,2023-02-17,EQ,2492.95,2539.1,2492.95,2556.7,2535.1,2535.55,2519.36,2938.6,2146.85,705628,1777732756.05,38006,HEROMOTOCO
6,2023-02-16,EQ,2590.0,2590.0,2546.5,2572.0,2558.0,2556.7,2559.69,2938.6,2146.85,433077,1108544323.5,27819,HEROMOTOCO
7,2023-02-15,EQ,2545.0,2575.0,2537.0,2542.5,2570.0,2572.0,2548.92,2938.6,2146.85,643367,1639888436.7,43354,HEROMOTOCO
8,2023-02-14,EQ,2574.4,2577.1,2536.05,2561.55,2547.95,2542.5,2549.15,2938.6,2146.85,409279,1043313928.65,33319,HEROMOTOCO
9,2023-02-13,EQ,2593.95,2602.0,2555.05,2583.3,2565.0,2561.55,2571.07,2938.6,2146.85,327921,843107805.95,33131,HEROMOTOCO
10,2023-02-10,EQ,2559.2,2589.65,2550.3,2559.2,2584.0,2583.3,2575.08,2938.6,2146.85,283858,730957388.3,25623,HEROMOTOCO
11,2023-02-09,EQ,2614.0,2614.0,2549.1,2614.65,2561.85,2559.2,2568.35,2938.6,2146.85,1266011,3251559520.65,88592,HEROMOTOCO
12,2023-02-08,EQ,2659.05,2686.95,2592.05,2652.6,2616.35,2614.65,2611.43,2938.6,2146.85,793670,2072615467.95,64814,HEROMOTOCO
13,2023-02-07,EQ,2686.0,2694.8,2615.05,2695.0,2648.0,2652.6,2647.23,2938.6,2146.85,421543,1115919177.75,37639,HEROMOTOCO
14,2023-02-06,EQ,2652.05,2704.8,2645.1,2654.25,2699.0,2695.0,2688.29,2938.6,2146.85,252416,678568099.25,27575,HEROMOTOCO
15,2023-02-03,EQ,2674.3,2684.15,2621.05,2660.95,2654.0,2654.25,2646.53,2938.6,2146.85,328028,868136843.0,42282,HEROMOTOCO
16,2023-02-02,EQ,2689.0,2713.2,2634.6,2727.25,2673.0,2660.95,2663.66,2938.6,2146.85,453723,1208565819.55,47269,HEROMOTOCO
17,2023-02-01,EQ,2775.55,2822.85,2675.05,2763.25,2731.0,2727.25,2783.06,2938.6,2146.85,408279,1136263701.25,34733,HEROMOTOCO
18,2023-01-31,EQ,2724.45,2772.0,2684.6,2702.3,2765.95,2763.25,2731.73,2938.6,2146.85,579601,1583311303.35,48385,HEROMOTOCO
