,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,438.0,438.0,414.25,436.45,415.85,415.25,419.46,636.0,308.95,10814032,4536059569.75,131427,HINDALCO
1,2023-02-23,EQ,430.4,438.5,430.1,429.7,437.4,436.45,434.5,636.0,308.95,5037774,2188911276.05,74437,HINDALCO
2,2023-02-22,EQ,430.5,434.5,426.75,431.5,429.5,429.7,431.17,636.0,308.95,5276939,2275233470.35,64063,HINDALCO
3,2023-02-21,EQ,437.75,438.3,430.0,434.25,432.0,431.5,434.27,636.0,308.95,3761409,1633455866.05,69596,HINDALCO
4,2023-02-20,EQ,429.9,435.55,429.0,429.5,433.5,434.25,432.79,636.0,308.95,3749802,1622875751.2,54690,HINDALCO
5,2023-02-17,EQ,434.75,438.0,426.6,434.7,430.0,429.5,431.99,636.0,308.95,4014137,1734081409.15,55028,HINDALCO
6,2023-02-16,EQ,436.9,438.0,433.0,433.95,434.75,434.7,435.18,636.0,308.95,4282249,1863546751.0,68119,HINDALCO
7,2023-02-15,EQ,435.5,437.25,430.6,434.8,433.8,433.95,433.97,636.0,308.95,3623450,1572460444.25,59269,HINDALCO
8,2023-02-14,EQ,429.5,435.25,425.35,427.7,435.0,434.8,431.32,636.0,308.95,3951666,1704438993.55,64140,HINDALCO
9,2023-02-13,EQ,434.5,439.8,426.55,433.15,427.7,427.7,431.92,636.0,308.95,6437475,2780484516.05,78611,HINDALCO
10,2023-02-10,EQ,444.55,444.95,431.0,444.55,433.8,433.15,434.81,636.0,308.95,6648361,2890744622.55,83928,HINDALCO
11,2023-02-09,EQ,437.0,447.7,431.75,436.5,446.1,444.55,439.73,636.0,308.95,11431814,5026885774.05,125967,HINDALCO
12,2023-02-08,EQ,432.0,439.8,432.0,429.55,435.5,436.5,436.03,636.0,308.95,6121515,2669182674.2,92093,HINDALCO
13,2023-02-07,EQ,440.0,441.9,425.5,447.35,429.35,429.55,431.38,636.0,308.95,16652967,7183789348.15,244636,HINDALCO
14,2023-02-06,EQ,457.0,457.0,446.0,459.65,446.75,447.35,450.27,636.0,308.95,4398369,1980462766.1,64940,HINDALCO
15,2023-02-03,EQ,467.75,468.95,450.2,465.4,458.5,459.65,457.56,636.0,308.95,5707642,2611599177.4,82161,HINDALCO
16,2023-02-02,EQ,467.0,471.0,460.8,467.85,466.0,465.4,465.96,636.0,308.95,3356544,1564025591.65,70308,HINDALCO
17,2023-02-01,EQ,473.0,480.6,454.6,468.4,467.6,467.85,472.15,636.0,308.95,6075062,2868331086.75,93318,HINDALCO
