,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2492.2,2511.25,2471.95,2490.65,2484.0,2484.2,2488.91,2741.6,1901.55,732783,1823832117.95,45615,HINDUNILVR
1,2023-02-23,EQ,2492.0,2515.9,2480.1,2494.05,2490.25,2490.65,2498.43,2741.6,1901.55,757215,1891850688.7,72488,HINDUNILVR
2,2023-02-22,EQ,2516.15,2523.55,2482.75,2516.15,2494.0,2494.05,2495.22,2741.6,1901.55,885515,2209553235.8,55437,HINDUNILVR
3,2023-02-21,EQ,2528.0,2543.95,2512.3,2511.45,2517.0,2516.15,2524.1,2741.6,1901.55,862797,2177786404.7,60088,HINDUNILVR
4,2023-02-20,EQ,2518.0,2543.0,2508.2,2515.5,2511.75,2511.45,2521.69,2741.6,1901.55,632091,1593934612.35,50793,HINDUNILVR
5,2023-02-17,EQ,2525.0,2546.25,2506.9,2527.1,2515.0,2515.5,2517.36,2741.6,1901.55,1395341,3512577165.9,94613,HINDUNILVR
6,2023-02-16,EQ,2560.0,2561.9,2522.85,2548.45,2527.8,2527.1,2533.92,2741.6,1901.55,1982857,5024403488.35,140263,HINDUNILVR
7,2023-02-15,EQ,2550.0,2571.8,2537.0,2579.6,2548.0,2548.45,2547.17,2741.6,1901.55,2009134,5117602318.9,84380,HINDUNILVR
8,2023-02-14,EQ,2585.0,2602.0,2570.2,2581.0,2577.55,2579.6,2587.94,2741.6,1901.55,1944364,5031906253.35,91466,HINDUNILVR
9,2023-02-13,EQ,2560.0,2590.75,2550.0,2577.5,2576.05,2581.0,2574.16,2741.6,1901.55,1146525,2951339887.4,73033,HINDUNILVR
10,2023-02-10,EQ,2585.0,2586.65,2555.35,2586.7,2575.0,2577.5,2568.7,2741.6,1901.55,1523011,3912150918.65,117066,HINDUNILVR
11,2023-02-09,EQ,2587.0,2599.9,2566.0,2582.8,2588.6,2586.7,2585.29,2741.6,1901.55,1102484,2850241407.15,64253,HINDUNILVR
12,2023-02-08,EQ,2592.7,2607.5,2578.35,2601.2,2583.0,2582.8,2588.6,2741.6,1901.55,1061956,2748975562.05,70690,HINDUNILVR
13,2023-02-07,EQ,2645.0,2645.55,2595.3,2637.6,2597.0,2601.2,2610.48,2741.6,1901.55,1495745,3904618265.2,108676,HINDUNILVR
14,2023-02-06,EQ,2631.0,2645.0,2599.75,2648.75,2640.0,2637.6,2615.67,2741.6,1901.55,1697446,4439961370.7,114120,HINDUNILVR
15,2023-02-03,EQ,2640.0,2657.45,2631.15,2634.85,2643.35,2648.75,2640.92,2741.6,1901.55,1638238,4326462729.65,85326,HINDUNILVR
16,2023-02-02,EQ,2569.5,2639.75,2563.0,2574.25,2630.05,2634.85,2611.74,2741.6,1901.55,1980667,5172981190.8,134019,HINDUNILVR
17,2023-02-01,EQ,2600.2,2603.0,2546.85,2576.75,2572.85,2574.25,2579.88,2741.6,1901.55,2014615,5197472230.7,143472,HINDUNILVR
18,2023-01-31,EQ,2568.0,2590.2,2541.2,2568.15,2576.65,2576.75,2564.72,2741.6,1901.55,2366794,6070171128.15,152862,HINDUNILVR
19,2023-01-30,EQ,2610.0,2610.0,2530.2,2612.15,2572.9,2568.15,2554.73,2741.6,1901.55,2744039,7010288838.05,160008,HINDUNILVR
20,2023-01-27,EQ,2635.5,2646.55,2578.2,2622.35,2607.55,2612.15,2600.56,2741.6,1901.55,1581382,4112482858.1,130908,HINDUNILVR
21,2023-01-25,EQ,2600.5,2642.0,2594.0,2600.5,2630.0,2622.35,2621.54,2741.6,1901.55,1591810,4172989143.8,96835,HINDUNILVR
22,2023-01-24,EQ,2604.0,2610.0,2580.8,2596.4,2594.7,2600.5,2598.06,2741.6,1901.55,1462462,3799557675.8,93125,HINDUNILVR
23,2023-01-23,EQ,2560.0,2604.0,2552.0,2548.75,2595.7,2596.4,2585.75,2741.6,1901.55,1388360,3589956017.45,95711,HINDUNILVR
24,2023-01-20,EQ,2550.0,2605.0,2536.05,2649.75,2550.0,2548.75,2565.58,2741.6,1901.55,4569549,11723536241.85,209455,HINDUNILVR
25,2023-01-19,EQ,2670.1,2679.3,2611.9,2686.2,2643.05,2649.75,2639.52,2741.6,1901.55,1649842,4354784861.55,97437,HINDUNILVR
26,2023-01-18,EQ,2668.0,2693.5,2660.0,2667.55,2684.0,2686.2,2682.99,2741.6,1901.55,2038075,5468140246.95,105363,HINDUNILVR
27,2023-01-17,EQ,2605.45,2675.0,2601.8,2597.1,2668.0,2667.55,2655.63,2741.6,1901.55,1892865,5026748839.2,127944,HINDUNILVR
28,2023-01-16,EQ,2627.95,2627.95,2584.0,2624.0,2601.0,2597.1,2601.44,2741.6,1901.55,930068,2419512759.55,82869,HINDUNILVR
29,2023-01-13,EQ,2590.2,2639.25,2566.65,2590.05,2620.6,2624.0,2615.01,2741.6,1901.55,1348015,3525075698.45,114021,HINDUNILVR
30,2023-01-12,EQ,2586.1,2602.6,2572.75,2593.25,2583.05,2590.05,2584.88,2741.6,1901.55,1703829,4404190179.2,87992,HINDUNILVR
31,2023-01-11,EQ,2644.0,2647.85,2588.1,2643.85,2592.3,2593.25,2602.76,2741.6,1901.55,1471687,3830441708.95,103493,HINDUNILVR
32,2023-01-10,EQ,2624.05,2653.35,2615.1,2624.05,2637.85,2643.85,2638.34,2741.6,1901.55,1413088,3728201168.65,96798,HINDUNILVR
33,2023-01-09,EQ,2589.35,2629.45,2570.0,2576.45,2620.55,2624.05,2608.29,2741.6,1901.55,1267078,3304906650.05,99687,HINDUNILVR
34,2023-01-06,EQ,2580.0,2611.9,2574.9,2583.7,2579.8,2576.45,2588.32,2741.6,1901.55,991782,2567047566.0,84390,HINDUNILVR
35,2023-01-05,EQ,2537.55,2591.95,2537.5,2536.1,2585.75,2583.7,2569.64,2741.6,1901.55,2008493,5161096029.45,120887,HINDUNILVR
36,2023-01-04,EQ,2550.5,2558.4,2527.05,2542.05,2532.5,2536.1,2537.48,2741.6,1901.55,1672649,4244314736.4,73625,HINDUNILVR
37,2023-01-03,EQ,2550.05,2562.0,2535.0,2558.4,2543.5,2542.05,2546.07,2741.6,1901.55,821843,2092473388.5,60502,HINDUNILVR
38,2023-01-02,EQ,2573.9,2580.05,2538.05,2561.05,2556.25,2558.4,2555.1,2741.6,1901.55,681703,1741816989.15,48706,HINDUNILVR
39,2022-12-30,EQ,2579.95,2586.45,2555.2,2568.05,2564.0,2561.05,2567.79,2741.6,1901.55,696432,1788293739.0,55969,HINDUNILVR
40,2022-12-29,EQ,2580.25,2583.3,2539.4,2583.6,2581.0,2568.05,2556.06,2741.6,1901.55,1345863,3440106284.65,82377,HINDUNILVR
41,2022-12-28,EQ,2593.0,2603.1,2578.1,2593.25,2584.9,2583.6,2585.38,2741.6,1901.55,822651,2126862654.75,44625,HINDUNILVR
42,2022-12-27,EQ,2625.0,2634.9,2575.25,2617.45,2593.0,2593.25,2595.57,2741.6,1901.55,870960,2260637492.85,62058,HINDUNILVR
43,2022-12-26,EQ,2620.95,2637.85,2606.75,2621.1,2617.55,2617.45,2623.58,2741.6,1901.55,605144,1587643203.35,52875,HINDUNILVR
44,2022-12-23,EQ,2632.0,2649.55,2608.05,2645.35,2630.85,2621.1,2625.72,2741.6,1901.55,1189702,3123825737.45,73994,HINDUNILVR
45,2022-12-22,EQ,2676.5,2688.5,2642.0,2666.2,2642.0,2645.35,2657.23,2741.6,1901.55,852567,2265463357.05,58992,HINDUNILVR
46,2022-12-21,EQ,2687.95,2695.15,2650.1,2674.55,2667.35,2666.2,2664.88,2741.6,1901.55,779092,2076187881.0,64412,HINDUNILVR
47,2022-12-20,EQ,2706.0,2706.05,2653.25,2718.1,2675.0,2674.55,2670.02,2741.6,1901.55,827567,2209622969.5,60040,HINDUNILVR
48,2022-12-19,EQ,2671.3,2720.0,2671.3,2671.3,2713.2,2718.1,2704.6,2741.6,1901.55,1546941,4183850715.8,111844,HINDUNILVR
49,2022-12-16,EQ,2668.0,2687.7,2653.3,2663.25,2674.0,2671.3,2669.45,2741.6,1901.55,1793864,4788625001.15,87208,HINDUNILVR
50,2022-12-15,EQ,2668.35,2683.25,2648.45,2684.65,2655.7,2663.25,2660.55,2741.6,1901.55,990722,2635867590.8,69104,HINDUNILVR
51,2022-12-14,EQ,2720.0,2720.0,2671.35,2710.3,2687.0,2684.65,2691.78,2741.6,1901.55,886858,2387230176.95,66543,HINDUNILVR
52,2022-12-13,EQ,2717.0,2720.0,2697.8,2717.25,2709.4,2710.3,2711.07,2741.6,1901.55,1265839,3431780253.65,76874,HINDUNILVR
53,2022-12-12,EQ,2702.2,2724.0,2688.65,2722.25,2714.0,2717.25,2708.92,2741.6,1901.55,1163204,3151023205.8,68500,HINDUNILVR
54,2022-12-09,EQ,2724.7,2741.6,2711.25,2705.45,2717.4,2722.25,2724.87,2741.6,1901.55,1883397,5132006129.9,111858,HINDUNILVR
55,2022-12-08,EQ,2695.05,2711.05,2685.75,2707.35,2700.0,2705.45,2698.86,2734.0,1901.55,1314703,3548200320.5,87379,HINDUNILVR
56,2022-12-07,EQ,2660.05,2719.8,2656.25,2654.55,2707.0,2707.35,2692.69,2734.0,1901.55,2368561,6377809934.7,116783,HINDUNILVR
57,2022-12-06,EQ,2606.8,2659.95,2603.85,2619.85,2658.0,2654.55,2644.91,2734.0,1901.55,1484562,3926537500.55,84448,HINDUNILVR
58,2022-12-05,EQ,2600.0,2625.0,2585.15,2615.1,2620.0,2619.85,2609.42,2734.0,1901.55,1640511,4280786011.95,78675,HINDUNILVR
59,2022-12-02,EQ,2660.0,2660.0,2607.15,2662.85,2620.0,2615.1,2621.52,2734.0,1901.55,2101890,5510150954.2,109649,HINDUNILVR
60,2022-12-01,EQ,2680.0,2683.0,2646.85,2684.35,2664.0,2662.85,2656.55,2734.0,1901.55,1675569,4451236347.1,78427,HINDUNILVR
61,2022-11-30,EQ,2634.0,2698.0,2623.0,2634.2,2685.0,2684.35,2665.91,2734.0,1901.55,3698270,9859258303.5,137173,HINDUNILVR
62,2022-11-29,EQ,2527.2,2639.95,2527.2,2525.2,2635.95,2634.2,2607.11,2734.0,1901.55,2542932,6629700480.75,135358,HINDUNILVR
63,2022-11-28,EQ,2527.0,2542.5,2521.8,2537.45,2526.0,2525.2,2527.43,2734.0,1901.55,830905,2100051724.65,49281,HINDUNILVR
64,2022-11-25,EQ,2555.0,2555.4,2518.2,2549.15,2536.45,2537.45,2528.51,2734.0,1901.55,783480,1981034732.75,58315,HINDUNILVR
65,2022-11-24,EQ,2517.0,2560.0,2511.15,2507.35,2555.1,2549.15,2538.87,2734.0,1901.55,999929,2538693635.8,54328,HINDUNILVR
66,2022-11-23,EQ,2521.0,2525.0,2502.0,2515.7,2507.0,2507.35,2513.3,2734.0,1901.55,734152,1845147396.8,45579,HINDUNILVR
67,2022-11-22,EQ,2505.9,2524.0,2497.0,2501.4,2511.0,2515.7,2515.39,2734.0,1901.55,921265,2317344264.75,59904,HINDUNILVR
68,2022-11-21,EQ,2483.7,2512.0,2470.05,2483.7,2502.1,2501.4,2499.11,2734.0,1901.55,1354881,3386001389.85,90313,HINDUNILVR
69,2022-11-18,EQ,2470.0,2488.55,2448.85,2460.0,2481.0,2483.7,2466.62,2734.0,1901.55,1075675,2653282044.4,51010,HINDUNILVR
70,2022-11-17,EQ,2479.95,2498.0,2454.25,2477.85,2458.55,2460.0,2473.31,2734.0,1901.55,960476,2375553732.95,50548,HINDUNILVR
71,2022-11-16,EQ,2463.55,2483.0,2428.1,2457.5,2480.0,2477.85,2450.61,2734.0,1901.55,1330395,3260280428.4,75684,HINDUNILVR
72,2022-11-15,EQ,2457.8,2469.0,2444.15,2457.8,2455.0,2457.5,2455.26,2734.0,1901.55,1558333,3826115151.6,72335,HINDUNILVR
73,2022-11-14,EQ,2506.8,2513.75,2455.15,2503.05,2458.0,2457.8,2469.17,2734.0,1901.55,2137131,5276932460.1,103165,HINDUNILVR
74,2022-11-11,EQ,2545.0,2546.8,2495.0,2513.6,2506.75,2503.05,2511.78,2734.0,1901.55,1162847,2920810553.5,74423,HINDUNILVR
75,2022-11-10,EQ,2504.0,2538.0,2501.05,2508.8,2515.4,2513.6,2517.53,2734.0,1901.55,1459152,3673463743.7,53291,HINDUNILVR
76,2022-11-09,EQ,2510.0,2544.9,2492.65,2532.8,2493.9,2508.8,2517.05,2734.0,1901.55,1436444,3615604930.25,81720,HINDUNILVR
77,2022-11-07,EQ,2531.1,2552.0,2517.0,2520.35,2530.0,2532.8,2529.27,2734.0,1901.55,1283685,3246781345.85,60564,HINDUNILVR
78,2022-11-04,EQ,2544.95,2546.0,2515.25,2546.35,2520.0,2520.35,2523.15,2734.0,1901.55,889055,2243218864.55,52593,HINDUNILVR
79,2022-11-03,EQ,2515.7,2549.0,2508.3,2518.3,2544.0,2546.35,2534.43,2734.0,1901.55,730444,1851261425.2,54731,HINDUNILVR
80,2022-11-02,EQ,2564.0,2564.0,2501.4,2551.8,2520.0,2518.3,2520.36,2734.0,1901.55,1338284,3372964059.5,79352,HINDUNILVR
81,2022-11-01,EQ,2569.0,2575.85,2547.6,2550.7,2548.0,2551.8,2561.07,2734.0,1901.55,1280132,3278509035.7,77333,HINDUNILVR
82,2022-10-31,EQ,2545.0,2572.0,2542.05,2524.25,2558.2,2550.7,2554.37,2734.0,1901.55,1324443,3383121519.8,67992,HINDUNILVR
83,2022-10-28,EQ,2526.1,2550.9,2512.0,2519.0,2526.4,2524.25,2528.96,2734.0,1901.55,1164951,2946112857.3,72586,HINDUNILVR
84,2022-10-27,EQ,2494.0,2530.0,2488.0,2505.4,2522.25,2519.0,2507.75,2734.0,1901.55,1846329,4630140704.8,96885,HINDUNILVR
