,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,843.95,845.6,835.55,839.75,839.95,839.7,840.26,958.2,642.15,8246139,6928911922.7,174647,ICICIBANK
1,2023-02-23,EQ,836.55,844.45,833.55,839.25,840.7,839.75,838.7,958.2,642.15,11743574,9849307806.7,165727,ICICIBANK
2,2023-02-22,EQ,851.25,854.1,834.75,854.2,837.45,839.25,844.61,958.2,642.15,13880984,11724069965.1,190655,ICICIBANK
3,2023-02-21,EQ,854.4,859.45,846.85,852.1,854.85,854.2,853.57,958.2,642.15,11704445,9990567240.3,233352,ICICIBANK
4,2023-02-20,EQ,862.65,866.55,850.25,862.65,853.15,852.1,857.7,958.2,642.15,9013430,7730821931.2,183409,ICICIBANK
5,2023-02-17,EQ,867.55,867.55,855.15,869.45,862.0,862.65,861.24,958.2,642.15,9990618,8604355548.4,166073,ICICIBANK
6,2023-02-16,EQ,875.95,877.8,864.85,870.8,866.85,869.45,872.17,958.2,642.15,10715685,9345945594.45,294581,ICICIBANK
7,2023-02-15,EQ,866.4,873.25,860.6,865.3,872.4,870.8,865.09,958.2,642.15,12070288,10441897134.05,194686,ICICIBANK
8,2023-02-14,EQ,853.9,867.3,852.1,850.65,865.0,865.3,859.91,958.2,642.15,13402934,11525283230.7,237450,ICICIBANK
9,2023-02-13,EQ,853.4,859.3,849.35,853.85,849.5,850.65,853.79,958.2,642.15,9394365,8020854846.1,153234,ICICIBANK
10,2023-02-10,EQ,855.55,861.9,852.0,860.8,855.4,853.85,856.06,958.2,642.15,8656405,7410435746.5,299200,ICICIBANK
11,2023-02-09,EQ,858.5,864.9,851.6,859.1,860.5,860.8,859.62,958.2,642.15,6299265,5414977210.15,114269,ICICIBANK
12,2023-02-08,EQ,852.5,860.7,851.9,852.75,856.55,859.1,857.02,958.2,642.15,8082983,6927305066.3,151665,ICICIBANK
13,2023-02-07,EQ,855.0,856.0,847.2,853.7,852.1,852.75,851.64,958.2,642.15,9337066,7951799843.0,159808,ICICIBANK
14,2023-02-06,EQ,861.5,867.8,849.65,863.8,856.3,853.7,855.18,958.2,642.15,8463833,7238082471.85,172873,ICICIBANK
15,2023-02-03,EQ,864.65,872.65,852.1,857.9,862.5,863.8,863.15,958.2,642.15,14914366,12873394076.3,258409,ICICIBANK
16,2023-02-02,EQ,828.4,860.6,826.1,847.95,857.05,857.9,846.44,958.2,642.15,16798190,14218722020.65,270719,ICICIBANK
17,2023-02-01,EQ,843.45,875.2,823.15,831.9,850.05,847.95,853.18,958.2,642.15,39237711,33476849764.25,379335,ICICIBANK
18,2023-01-31,EQ,826.0,838.3,814.1,823.5,835.0,831.9,827.51,958.2,642.15,27291226,22583783062.65,350859,ICICIBANK
19,2023-01-30,EQ,800.0,826.25,796.0,817.2,824.45,823.5,812.34,958.2,642.15,36301441,29489195521.9,448334,ICICIBANK
20,2023-01-27,EQ,839.15,843.0,813.1,855.3,818.25,817.2,823.5,958.2,642.15,39718683,32708502959.15,533517,ICICIBANK
21,2023-01-25,EQ,873.3,876.8,848.0,870.75,856.5,855.3,857.85,958.2,642.15,14918485,12797796474.7,339880,ICICIBANK
22,2023-01-24,EQ,879.0,881.7,868.0,871.7,871.95,870.75,873.2,958.2,642.15,11504090,10045411021.55,242240,ICICIBANK
23,2023-01-23,EQ,882.0,883.3,864.6,870.35,869.6,871.7,873.36,958.2,642.15,16882379,14744434016.05,330840,ICICIBANK
24,2023-01-20,EQ,873.5,876.5,865.55,866.15,871.65,870.35,870.69,958.2,642.15,8127162,7076227350.1,164516,ICICIBANK
25,2023-01-19,EQ,868.0,870.55,862.0,869.5,865.1,866.15,865.9,958.2,642.15,6694679,5796899732.4,147146,ICICIBANK
26,2023-01-18,EQ,864.45,872.0,858.65,865.15,870.25,869.5,866.74,958.2,642.15,11313898,9806232660.85,211640,ICICIBANK
27,2023-01-17,EQ,866.95,867.95,858.1,865.25,867.0,865.15,863.24,958.2,642.15,12624859,10898250398.6,196226,ICICIBANK
28,2023-01-16,EQ,877.25,877.45,861.05,873.45,865.0,865.25,868.11,958.2,642.15,8319812,7222529787.9,159291,ICICIBANK
29,2023-01-13,EQ,864.7,874.9,858.3,860.65,871.0,873.45,866.61,958.2,642.15,11223103,9726068090.25,225250,ICICIBANK
30,2023-01-12,EQ,865.5,869.35,854.95,866.3,862.75,860.65,859.42,958.2,642.15,16659001,14317157904.2,259039,ICICIBANK
31,2023-01-11,EQ,862.9,870.85,854.85,861.35,864.8,866.3,864.28,958.2,642.15,15558460,13446933979.35,197478,ICICIBANK
32,2023-01-10,EQ,875.4,878.4,856.6,873.35,862.95,861.35,864.58,958.2,642.15,13470142,11646033495.35,215543,ICICIBANK
33,2023-01-09,EQ,874.25,878.75,862.3,870.1,872.6,873.35,871.82,958.2,642.15,16811853,14656950878.55,327857,ICICIBANK
34,2023-01-06,EQ,878.95,878.95,860.5,879.15,870.5,870.1,867.75,958.2,642.15,14804613,12846729988.4,348623,ICICIBANK
35,2023-01-05,EQ,900.9,903.0,872.0,899.1,878.7,879.15,882.76,958.2,642.15,16547196,14607251958.95,315266,ICICIBANK
36,2023-01-04,EQ,899.0,907.9,894.8,901.35,897.65,899.1,900.4,958.2,642.15,12454582,11214098871.85,190863,ICICIBANK
37,2023-01-03,EQ,898.5,905.95,896.75,902.45,902.25,901.35,901.33,958.2,642.15,5846855,5269963293.45,143214,ICICIBANK
38,2023-01-02,EQ,894.0,907.0,894.0,890.85,902.9,902.45,902.29,958.2,642.15,4315403,3893736998.3,111275,ICICIBANK
39,2022-12-30,EQ,908.5,908.5,888.55,908.05,892.95,890.85,895.26,958.2,642.15,9688527,8673718142.55,171992,ICICIBANK
40,2022-12-29,EQ,897.9,923.35,889.35,898.95,908.0,908.05,901.32,958.2,642.15,11994220,10810676472.85,185537,ICICIBANK
41,2022-12-28,EQ,896.0,903.95,895.8,900.65,898.55,898.95,900.03,958.2,642.15,8980300,8082499124.05,172803,ICICIBANK
42,2022-12-27,EQ,897.7,902.75,888.2,893.2,902.4,900.65,894.77,958.2,642.15,4994381,4468825838.65,140858,ICICIBANK
43,2022-12-26,EQ,881.1,897.0,875.25,878.9,893.5,893.2,886.9,958.2,642.15,6943159,6157893509.2,164660,ICICIBANK
44,2022-12-23,EQ,883.05,889.65,875.3,890.65,877.6,878.9,882.07,958.2,642.15,11059215,9754983095.1,212266,ICICIBANK
