,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1080.05,1089.65,1069.6,1075.6,1078.0,1079.15,1078.21,1275.8,763.2,1862986,2008690697.55,74177,INDUSINDBK
1,2023-02-23,EQ,1092.7,1097.55,1066.65,1092.75,1077.0,1075.6,1078.89,1275.8,763.2,3193602,3445538600.7,94160,INDUSINDBK
2,2023-02-22,EQ,1096.75,1096.95,1079.2,1101.75,1089.7,1092.75,1089.09,1275.8,763.2,1983022,2159690632.8,69391,INDUSINDBK
3,2023-02-21,EQ,1110.0,1112.15,1096.0,1109.3,1101.0,1101.75,1102.34,1275.8,763.2,1767689,1948598225.9,107317,INDUSINDBK
4,2023-02-20,EQ,1117.25,1122.8,1103.8,1114.7,1110.0,1109.3,1113.55,1275.8,763.2,1613608,1796829536.45,74525,INDUSINDBK
5,2023-02-17,EQ,1142.0,1143.9,1109.0,1148.35,1112.0,1114.7,1122.32,1275.8,763.2,3146155,3530989121.65,91473,INDUSINDBK
6,2023-02-16,EQ,1155.35,1156.1,1143.7,1149.6,1145.85,1148.35,1149.98,1275.8,763.2,1918858,2206652222.0,76723,INDUSINDBK
7,2023-02-15,EQ,1155.0,1160.45,1145.0,1156.85,1149.25,1149.6,1149.59,1275.8,763.2,2050158,2356839717.2,71668,INDUSINDBK
8,2023-02-14,EQ,1160.7,1162.0,1137.0,1157.35,1158.0,1156.85,1152.85,1275.8,763.2,2433798,2805792213.9,93210,INDUSINDBK
9,2023-02-13,EQ,1165.0,1170.0,1148.6,1161.2,1155.1,1157.35,1158.63,1275.8,763.2,2112106,2447148251.4,88803,INDUSINDBK
10,2023-02-10,EQ,1160.0,1167.0,1147.1,1163.8,1166.0,1161.2,1159.98,1275.8,763.2,2126093,2466220161.7,92815,INDUSINDBK
11,2023-02-09,EQ,1150.15,1168.2,1138.3,1145.35,1166.1,1163.8,1154.11,1275.8,763.2,2284751,2636845065.3,83027,INDUSINDBK
12,2023-02-08,EQ,1144.0,1151.25,1136.0,1142.9,1148.05,1145.35,1144.72,1275.8,763.2,1675932,1918473666.1,50875,INDUSINDBK
13,2023-02-07,EQ,1134.0,1148.15,1122.5,1129.15,1141.0,1142.9,1138.5,1275.8,763.2,3603258,4102296927.0,99788,INDUSINDBK
14,2023-02-06,EQ,1109.0,1135.0,1100.45,1103.55,1131.0,1129.15,1126.22,1275.8,763.2,2865938,3227666187.7,83649,INDUSINDBK
15,2023-02-03,EQ,1110.0,1131.0,1079.0,1075.9,1106.05,1103.55,1103.83,1275.8,763.2,9207051,10163057258.6,254325,INDUSINDBK
16,2023-02-02,EQ,1034.9,1081.0,1028.4,1041.85,1080.0,1075.9,1059.91,1275.8,763.2,4494575,4763824103.35,139275,INDUSINDBK
17,2023-02-01,EQ,1094.0,1119.0,990.0,1082.95,1040.4,1041.85,1072.82,1275.8,763.2,7563064,8113817040.85,183550,INDUSINDBK
18,2023-01-31,EQ,1097.05,1098.85,1068.35,1089.05,1083.45,1082.95,1083.46,1275.8,763.2,6080048,6587515008.35,181208,INDUSINDBK
19,2023-01-30,EQ,1110.0,1124.8,1055.0,1116.4,1094.55,1089.05,1087.4,1275.8,763.2,7991091,8689537759.4,215141,INDUSINDBK
20,2023-01-27,EQ,1163.05,1168.65,1106.0,1156.15,1110.8,1116.4,1128.51,1275.8,763.2,4781085,5395498783.15,138350,INDUSINDBK
21,2023-01-25,EQ,1210.0,1211.0,1151.35,1212.3,1161.0,1156.15,1176.66,1275.8,763.2,3420414,4024650795.2,132402,INDUSINDBK
22,2023-01-24,EQ,1206.3,1219.8,1198.35,1204.7,1213.0,1212.3,1209.89,1275.8,763.2,2472106,2990987342.85,97631,INDUSINDBK
23,2023-01-23,EQ,1212.7,1220.15,1200.5,1202.45,1202.0,1204.7,1208.75,1275.8,763.2,1848813,2234744396.9,70963,INDUSINDBK
24,2023-01-20,EQ,1208.6,1228.0,1198.5,1200.55,1199.9,1202.45,1213.16,1275.8,763.2,4144033,5027356885.85,95056,INDUSINDBK
25,2023-01-19,EQ,1215.0,1245.0,1183.25,1223.0,1201.0,1200.55,1209.72,1275.8,763.2,9691261,11723710723.45,226021,INDUSINDBK
26,2023-01-18,EQ,1232.0,1238.0,1218.0,1230.35,1221.7,1223.0,1228.67,1275.8,763.2,1865108,2291603884.4,66286,INDUSINDBK
27,2023-01-17,EQ,1240.0,1240.0,1212.7,1239.25,1231.5,1230.35,1226.04,1275.8,763.2,1803413,2211052615.55,59521,INDUSINDBK
28,2023-01-16,EQ,1240.0,1250.0,1232.6,1234.4,1237.45,1239.25,1240.89,1275.8,763.2,2398823,2976667190.3,89360,INDUSINDBK
29,2023-01-13,EQ,1213.0,1237.3,1210.1,1209.15,1233.2,1234.4,1225.5,1275.8,763.2,2184432,2677012819.5,64636,INDUSINDBK
30,2023-01-12,EQ,1214.0,1224.75,1197.3,1213.25,1207.1,1209.15,1211.55,1275.8,763.2,1862790,2256860053.3,60638,INDUSINDBK
31,2023-01-11,EQ,1232.4,1238.2,1207.4,1227.55,1213.9,1213.25,1220.24,1275.8,763.2,2675249,3264457196.85,97127,INDUSINDBK
32,2023-01-10,EQ,1215.0,1231.15,1205.0,1218.65,1231.0,1227.55,1219.12,1275.8,763.2,2442613,2977835781.6,72993,INDUSINDBK
33,2023-01-09,EQ,1190.15,1223.6,1188.05,1181.9,1218.0,1218.65,1213.18,1275.8,763.2,2836421,3441087180.8,89477,INDUSINDBK
34,2023-01-06,EQ,1214.0,1217.7,1176.1,1215.85,1182.0,1181.9,1192.91,1275.8,763.2,3029739,3614210952.1,112061,INDUSINDBK
35,2023-01-05,EQ,1229.25,1232.5,1203.8,1223.1,1215.0,1215.85,1216.61,1275.8,763.2,2364186,2876297360.9,100477,INDUSINDBK
36,2023-01-04,EQ,1258.0,1273.4,1206.1,1240.95,1220.95,1223.1,1232.63,1275.8,763.2,8001367,9862756629.6,163475,INDUSINDBK
37,2023-01-03,EQ,1226.55,1249.85,1222.3,1226.35,1240.6,1240.95,1238.97,1275.8,763.2,2195814,2720552643.35,64075,INDUSINDBK
38,2023-01-02,EQ,1220.1,1231.1,1211.75,1220.1,1226.45,1226.35,1220.74,1275.8,763.2,2587946,3159205914.2,69561,INDUSINDBK
39,2022-12-30,EQ,1238.0,1238.0,1211.5,1231.15,1219.15,1220.1,1222.09,1275.8,763.2,1767556,2160105130.85,49316,INDUSINDBK
40,2022-12-29,EQ,1206.0,1234.9,1201.8,1214.15,1225.6,1231.15,1224.07,1275.8,763.2,3134405,3836743925.2,72122,INDUSINDBK
41,2022-12-28,EQ,1198.0,1227.0,1194.0,1202.35,1210.4,1214.15,1214.38,1275.8,763.2,2834356,3441999384.55,73583,INDUSINDBK
42,2022-12-27,EQ,1201.65,1209.95,1185.0,1195.7,1202.0,1202.35,1197.0,1275.8,763.2,1462244,1750301552.3,51452,INDUSINDBK
43,2022-12-26,EQ,1150.0,1208.0,1141.0,1147.85,1194.0,1195.7,1186.45,1275.8,763.2,2100374,2491983152.75,79307,INDUSINDBK
44,2022-12-23,EQ,1160.05,1179.7,1143.0,1180.15,1147.0,1147.85,1162.99,1275.8,763.2,2621761,3049069985.15,82595,INDUSINDBK
