,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1560.0,1569.0,1545.0,1550.7,1548.0,1550.65,1554.49,1923.3,1355.0,2790986,4338555110.95,109535,INFY
1,2023-02-23,EQ,1569.85,1569.85,1548.15,1561.8,1551.0,1550.7,1557.16,1923.3,1355.0,4766854,7422770441.75,202345,INFY
2,2023-02-22,EQ,1563.0,1575.0,1555.3,1579.5,1561.8,1561.8,1565.17,1923.3,1355.0,3656244,5722649682.0,145415,INFY
3,2023-02-21,EQ,1598.7,1601.65,1576.0,1592.45,1581.0,1579.5,1586.47,1923.3,1355.0,2723288,4320425602.15,99334,INFY
4,2023-02-20,EQ,1584.95,1603.0,1582.5,1583.8,1595.95,1592.45,1593.99,1923.3,1355.0,2417716,3853813484.6,92760,INFY
5,2023-02-17,EQ,1594.0,1595.0,1575.5,1601.8,1585.0,1583.8,1586.26,1923.3,1355.0,2857734,4533097645.7,115187,INFY
6,2023-02-16,EQ,1600.0,1614.45,1597.85,1597.05,1601.0,1601.8,1606.62,1923.3,1355.0,4290289,6892884421.45,202392,INFY
7,2023-02-15,EQ,1584.0,1599.0,1576.0,1593.25,1597.0,1597.05,1591.35,1923.3,1355.0,3465747,5515218754.9,121895,INFY
8,2023-02-14,EQ,1584.7,1596.0,1578.15,1567.45,1591.15,1593.25,1591.44,1923.3,1355.0,5043736,8026783623.85,144115,INFY
9,2023-02-13,EQ,1597.0,1597.0,1566.0,1608.55,1567.35,1567.45,1572.36,1923.3,1355.0,4001199,6291330890.45,135515,INFY
10,2023-02-10,EQ,1612.95,1616.3,1596.45,1617.0,1608.55,1608.55,1608.2,1923.3,1355.0,4786762,7698059397.1,155297,INFY
11,2023-02-09,EQ,1596.2,1619.75,1586.05,1590.5,1617.0,1617.0,1605.3,1923.3,1355.0,6904911,11084460708.85,187813,INFY
12,2023-02-08,EQ,1565.5,1603.0,1565.5,1562.4,1590.0,1590.5,1594.11,1923.3,1355.0,7983338,12726341119.9,193218,INFY
13,2023-02-07,EQ,1569.0,1576.05,1555.1,1569.85,1563.1,1562.4,1567.15,1923.3,1355.0,4336238,6795552061.5,122034,INFY
14,2023-02-06,EQ,1598.0,1598.0,1561.6,1599.4,1565.0,1569.85,1570.72,1923.3,1355.0,4570612,7179133169.9,154367,INFY
15,2023-02-03,EQ,1597.5,1604.65,1573.0,1583.75,1595.65,1599.4,1593.62,1923.3,1355.0,7040194,11219369732.75,191136,INFY
16,2023-02-02,EQ,1552.0,1586.95,1552.0,1551.1,1581.0,1583.75,1577.61,1923.3,1355.0,6916834,10912094672.75,196421,INFY
17,2023-02-01,EQ,1542.2,1555.05,1528.05,1533.75,1545.15,1551.1,1542.7,1923.3,1355.0,6194199,9555789510.4,157639,INFY
