,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,389.0,389.0,381.0,387.6,385.25,385.1,384.56,394.0,207.0,12910220,4964754019.45,118753,ITC
1,2023-02-23,EQ,384.45,394.0,383.1,383.85,387.4,387.6,389.74,394.0,207.0,18830592,7339108176.85,218500,ITC
2,2023-02-22,EQ,382.0,384.9,380.0,382.25,384.15,383.85,383.28,388.2,207.0,8961077,3434625178.35,99507,ITC
3,2023-02-21,EQ,385.0,385.9,381.7,384.05,383.0,382.25,384.08,388.2,207.0,8259574,3172325586.55,88576,ITC
4,2023-02-20,EQ,384.7,387.5,381.3,383.4,383.9,384.05,384.12,388.2,207.0,7804976,2998018760.35,102345,ITC
5,2023-02-17,EQ,381.05,384.55,379.25,382.55,383.3,383.4,382.91,388.2,207.0,7672135,2937749082.6,93699,ITC
6,2023-02-16,EQ,382.0,385.25,381.0,382.2,382.0,382.55,383.66,388.2,207.0,9775280,3750425749.6,119906,ITC
7,2023-02-15,EQ,381.75,382.85,378.55,386.45,382.1,382.2,380.58,388.2,207.0,12209350,4646631940.25,132308,ITC
8,2023-02-14,EQ,375.0,387.65,373.75,374.2,385.95,386.45,383.62,388.2,207.0,29125052,11172825493.75,240562,ITC
9,2023-02-13,EQ,373.0,375.15,370.0,371.35,374.1,374.2,372.74,388.2,207.0,9901148,3690548355.7,110887,ITC
10,2023-02-10,EQ,372.2,376.95,370.3,374.25,371.2,371.35,372.27,388.2,207.0,10278597,3826370636.7,101423,ITC
11,2023-02-09,EQ,374.0,380.0,372.15,375.55,374.8,374.25,375.49,388.2,207.0,11861196,4453808751.9,147407,ITC
12,2023-02-08,EQ,374.75,377.3,371.55,373.25,374.55,375.55,375.12,388.2,207.0,10420462,3908964512.1,125965,ITC
13,2023-02-07,EQ,383.9,383.9,368.45,383.4,373.4,373.25,373.66,388.2,207.0,20643707,7713764922.45,296046,ITC
14,2023-02-06,EQ,382.5,388.2,379.6,380.65,383.5,383.4,384.59,388.2,207.0,25790153,9918627583.65,245965,ITC
15,2023-02-03,EQ,381.9,382.25,372.0,378.6,380.7,380.65,378.53,384.7,207.0,22295321,8439463829.4,236606,ITC
16,2023-02-02,EQ,361.6,384.7,360.4,361.4,378.8,378.6,376.87,384.7,207.0,55745171,21008522194.1,404278,ITC
17,2023-02-01,EQ,353.0,365.7,329.1,352.35,359.6,361.4,353.75,365.7,207.0,64518967,22823821017.55,497986,ITC
18,2023-01-31,EQ,346.0,355.0,341.05,344.8,352.6,352.35,348.73,361.45,207.0,17134291,5975279655.05,207015,ITC
19,2023-01-30,EQ,346.9,351.75,341.85,346.0,343.8,344.8,347.04,361.45,207.0,14091519,4890259651.0,159810,ITC
20,2023-01-27,EQ,341.8,348.85,341.5,339.25,345.5,346.0,345.5,361.45,207.0,21040139,7269287174.45,198362,ITC
21,2023-01-25,EQ,338.9,341.0,335.25,338.95,340.0,339.25,338.13,361.45,207.0,12497542,4225848770.85,115825,ITC
22,2023-01-24,EQ,337.8,340.75,337.6,337.75,338.9,338.95,339.02,361.45,207.0,12302874,4170878392.8,123629,ITC
23,2023-01-23,EQ,336.0,338.15,333.05,334.6,337.6,337.75,336.68,361.45,207.0,7124807,2398812192.75,75270,ITC
24,2023-01-20,EQ,332.0,335.2,329.25,332.15,334.45,334.6,332.68,361.45,207.0,13103664,4359276710.6,104023,ITC
25,2023-01-19,EQ,334.0,335.65,331.65,334.65,332.0,332.15,333.21,361.45,207.0,8346130,2781000519.7,103560,ITC
26,2023-01-18,EQ,334.0,336.55,332.4,332.25,335.1,334.65,334.37,361.45,207.0,12555527,4198130682.45,147165,ITC
27,2023-01-17,EQ,330.2,333.5,329.1,330.2,332.0,332.25,331.64,361.45,207.0,13712537,4547671024.5,93294,ITC
28,2023-01-16,EQ,330.35,332.2,327.55,328.75,330.2,330.2,329.11,361.45,207.0,8253942,2716469420.9,78391,ITC
29,2023-01-13,EQ,329.85,332.25,326.4,329.85,329.1,328.75,329.58,361.45,207.0,14412671,4750157893.9,120029,ITC
30,2023-01-12,EQ,333.4,333.6,328.1,331.8,329.5,329.85,329.95,361.45,207.0,6638422,2190337446.1,139430,ITC
31,2023-01-11,EQ,335.1,335.1,331.3,333.4,332.1,331.8,332.82,361.45,207.0,4584293,1525745889.65,91438,ITC
32,2023-01-10,EQ,337.9,338.4,332.55,338.05,333.7,333.4,333.83,361.45,207.0,6949605,2319978392.15,95343,ITC
33,2023-01-09,EQ,336.95,341.3,336.15,335.05,337.4,338.05,338.82,361.45,207.0,10618786,3597812675.95,147547,ITC
34,2023-01-06,EQ,334.7,337.55,333.1,333.45,335.0,335.05,335.48,361.45,207.0,8284135,2779124776.8,115819,ITC
35,2023-01-05,EQ,328.65,333.9,328.2,327.0,333.6,333.45,332.2,361.45,207.0,8171437,2714547327.4,134902,ITC
36,2023-01-04,EQ,331.85,332.5,326.0,331.1,326.6,327.0,327.48,361.45,207.0,6689769,2190748946.45,155935,ITC
37,2023-01-03,EQ,331.5,333.35,330.25,332.85,331.2,331.1,331.36,361.45,207.0,5997051,1987185279.4,103134,ITC
38,2023-01-02,EQ,330.9,334.0,329.65,331.55,332.8,332.85,332.25,361.45,207.0,5951893,1977534074.25,139495,ITC
39,2022-12-30,EQ,335.4,336.75,330.5,335.35,331.0,331.55,333.91,361.45,207.0,6960264,2324123983.35,86886,ITC
40,2022-12-29,EQ,334.35,335.75,331.55,334.4,335.45,335.35,333.6,361.45,207.0,8105359,2703980878.25,98175,ITC
41,2022-12-28,EQ,332.85,335.0,331.5,333.15,334.35,334.4,332.76,361.45,207.0,7737562,2574744214.3,114100,ITC
42,2022-12-27,EQ,335.6,336.4,330.15,334.6,333.05,333.15,333.36,361.45,207.0,6727343,2242627265.3,122372,ITC
43,2022-12-26,EQ,326.5,335.1,325.5,326.7,334.6,334.6,332.83,361.45,207.0,9566210,3183941256.4,183864,ITC
44,2022-12-23,EQ,330.9,331.9,325.35,332.45,326.05,326.7,327.9,361.45,207.0,10073884,3303219426.2,187134,ITC
45,2022-12-22,EQ,335.65,337.4,329.9,335.15,332.8,332.45,332.77,361.45,207.0,6584445,2191082235.3,101460,ITC
46,2022-12-21,EQ,341.0,341.25,334.5,340.15,335.7,335.15,336.78,361.45,207.0,7045201,2372658454.35,127807,ITC
47,2022-12-20,EQ,340.05,340.95,336.75,340.5,339.9,340.15,338.61,361.45,207.0,5482218,1856320822.2,80370,ITC
48,2022-12-19,EQ,336.8,342.35,335.35,335.1,340.05,340.5,339.82,361.45,207.0,7812801,2654927435.7,110172,ITC
49,2022-12-16,EQ,337.5,338.9,331.3,338.85,335.75,335.1,334.49,361.45,207.0,12429280,4157423586.75,207367,ITC
