,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,705.0,706.75,677.2,701.3,684.4,685.0,686.8,790.0,520.05,2142286,1471315059.45,51295,JSWSTEEL
1,2023-02-23,EQ,701.9,714.3,700.1,699.95,709.25,701.3,705.37,790.0,520.05,1824396,1286876696.4,39947,JSWSTEEL
2,2023-02-22,EQ,720.1,723.25,695.0,720.1,700.0,699.95,702.55,790.0,520.05,1810091,1271686612.8,42799,JSWSTEEL
3,2023-02-21,EQ,730.0,736.0,717.3,723.35,720.0,720.1,726.66,790.0,520.05,1749017,1270944172.65,40877,JSWSTEEL
4,2023-02-20,EQ,728.4,733.0,721.4,728.4,725.0,723.35,726.42,790.0,520.05,606435,440523532.25,19031,JSWSTEEL
5,2023-02-17,EQ,726.0,735.9,725.4,727.95,729.95,728.4,731.15,790.0,520.05,1142716,835496830.3,26962,JSWSTEEL
6,2023-02-16,EQ,730.8,731.45,723.95,727.15,729.0,727.95,727.97,790.0,520.05,649802,473033887.7,18889,JSWSTEEL
7,2023-02-15,EQ,720.1,728.6,720.1,723.85,727.7,727.15,725.0,790.0,520.05,859372,623042528.15,26133,JSWSTEEL
8,2023-02-14,EQ,721.65,726.0,715.45,718.05,724.95,723.85,721.35,790.0,520.05,931784,672143652.0,27591,JSWSTEEL
9,2023-02-13,EQ,716.0,727.7,715.0,718.95,718.2,718.05,721.02,790.0,520.05,863438,622554319.85,26806,JSWSTEEL
10,2023-02-10,EQ,722.0,726.65,712.0,723.75,719.6,718.95,717.6,790.0,520.05,997205,715589608.0,31117,JSWSTEEL
11,2023-02-09,EQ,733.0,737.4,722.45,731.95,723.3,723.75,727.29,790.0,520.05,956700,695799114.95,23902,JSWSTEEL
12,2023-02-08,EQ,717.8,736.0,712.55,714.1,731.0,731.95,728.01,790.0,520.05,1793312,1305557085.2,42772,JSWSTEEL
13,2023-02-07,EQ,708.0,720.65,706.1,711.05,712.25,714.1,713.79,790.0,520.05,1946683,1389514195.2,37095,JSWSTEEL
14,2023-02-06,EQ,727.85,731.3,709.1,731.85,709.7,711.05,715.85,790.0,520.05,1202963,861139835.9,35447,JSWSTEEL
15,2023-02-03,EQ,727.0,734.3,719.5,727.4,731.85,731.85,727.41,790.0,520.05,2558496,1861067855.1,43167,JSWSTEEL
16,2023-02-02,EQ,729.75,736.9,721.75,729.7,725.0,727.4,728.68,790.0,520.05,2299091,1675307384.1,46920,JSWSTEEL
17,2023-02-01,EQ,722.0,738.7,719.8,716.45,731.45,729.7,728.97,790.0,520.05,3271508,2384844936.95,68919,JSWSTEEL
18,2023-01-31,EQ,708.7,719.8,704.15,701.7,719.0,716.45,715.58,790.0,520.05,2294866,1642162068.45,60409,JSWSTEEL
19,2023-01-30,EQ,725.0,725.0,692.8,721.35,708.9,701.7,704.71,790.0,520.05,2277856,1605233065.75,55960,JSWSTEEL
20,2023-01-27,EQ,727.8,728.25,711.6,724.65,724.5,721.35,720.73,790.0,520.05,2706934,1950959862.85,46151,JSWSTEEL
21,2023-01-25,EQ,723.0,726.9,717.0,722.05,726.75,724.65,721.69,790.0,520.05,1567673,1131377677.25,38969,JSWSTEEL
22,2023-01-24,EQ,735.0,737.9,719.0,733.95,722.65,722.05,726.97,790.0,520.05,3146984,2287755228.1,42429,JSWSTEEL
23,2023-01-23,EQ,737.55,747.15,726.0,741.45,735.0,733.95,734.39,790.0,520.05,3335294,2449415340.7,53791,JSWSTEEL
24,2023-01-20,EQ,760.0,764.0,738.4,760.05,742.95,741.45,746.71,790.0,520.05,3001352,2241144023.7,51850,JSWSTEEL
25,2023-01-19,EQ,762.95,774.0,757.05,767.15,761.9,760.05,765.88,790.0,520.05,2185302,1673675098.6,38616,JSWSTEEL
26,2023-01-18,EQ,759.0,769.5,755.2,757.5,767.55,767.15,764.97,790.0,520.05,1740579,1331483798.05,40527,JSWSTEEL
27,2023-01-17,EQ,758.45,763.75,747.3,759.2,756.0,757.5,756.32,790.0,520.05,1480994,1120109704.35,40479,JSWSTEEL
28,2023-01-16,EQ,768.75,771.0,753.7,768.5,760.0,759.2,758.19,790.0,520.05,1673126,1268549740.4,46396,JSWSTEEL
29,2023-01-13,EQ,765.0,771.95,761.7,763.45,766.55,768.5,766.63,790.0,520.05,1816006,1392204488.1,39372,JSWSTEEL
30,2023-01-12,EQ,758.4,764.4,752.6,754.2,763.0,763.45,760.05,790.0,520.05,2422254,1841027160.15,47923,JSWSTEEL
31,2023-01-11,EQ,750.0,758.45,748.05,745.2,754.25,754.2,753.69,790.0,520.05,2794465,2106167981.2,54586,JSWSTEEL
32,2023-01-10,EQ,744.25,751.45,735.05,742.35,745.5,745.2,744.3,790.0,520.05,2289489,1704067696.9,51716,JSWSTEEL
33,2023-01-09,EQ,736.75,746.65,735.15,728.35,741.5,742.35,741.33,790.0,520.05,1761359,1305752691.5,42397,JSWSTEEL
34,2023-01-06,EQ,750.0,754.4,725.95,750.7,728.0,728.35,736.85,790.0,520.05,3536096,2605579926.2,53510,JSWSTEEL
35,2023-01-05,EQ,741.85,752.85,736.55,736.3,750.0,750.7,745.27,790.0,520.05,2452379,1827673576.05,66502,JSWSTEEL
36,2023-01-04,EQ,766.4,767.65,734.55,767.9,735.95,736.3,744.73,790.0,520.05,2819669,2099902411.4,55297,JSWSTEEL
37,2023-01-03,EQ,776.15,776.5,763.6,775.3,767.5,767.9,770.32,790.0,520.05,1635681,1259999766.65,29564,JSWSTEEL
38,2023-01-02,EQ,771.9,783.5,766.15,768.05,776.15,775.3,775.23,790.0,520.05,3360043,2604794571.55,72618,JSWSTEEL
39,2022-12-30,EQ,773.0,777.5,765.25,769.4,770.6,768.05,771.56,790.0,520.05,2190914,1690427153.45,39979,JSWSTEEL
40,2022-12-29,EQ,756.0,771.45,752.5,761.7,770.0,769.4,761.43,790.0,520.05,2103907,1601982771.25,42234,JSWSTEEL
41,2022-12-28,EQ,761.0,767.1,757.15,764.95,763.2,761.7,761.87,790.0,520.05,1917734,1461069249.55,36108,JSWSTEEL
42,2022-12-27,EQ,735.9,769.3,734.45,732.2,763.65,764.95,758.42,790.0,520.05,4992699,3786576132.95,97227,JSWSTEEL
43,2022-12-26,EQ,727.55,737.35,723.25,727.85,730.3,732.2,733.6,790.0,520.05,1168456,857184573.85,30886,JSWSTEEL
44,2022-12-23,EQ,729.95,736.55,722.4,737.55,725.1,727.85,729.0,790.0,520.05,1687270,1230017824.7,35606,JSWSTEEL
45,2022-12-22,EQ,743.1,749.0,734.45,743.1,736.65,737.55,739.33,790.0,520.05,1403642,1037748710.35,36801,JSWSTEEL
46,2022-12-21,EQ,750.0,752.95,739.65,745.8,743.0,743.1,746.98,790.0,520.05,1605753,1199468889.15,29474,JSWSTEEL
47,2022-12-20,EQ,740.45,747.15,733.1,749.45,747.0,745.8,740.12,790.0,520.05,1512103,1119141523.85,31191,JSWSTEEL
48,2022-12-19,EQ,742.0,750.8,739.75,743.45,747.55,749.45,746.77,790.0,520.05,944749,705509723.7,27899,JSWSTEEL
49,2022-12-16,EQ,739.8,747.55,735.0,743.35,743.2,743.45,742.65,790.0,520.05,1498658,1112974786.65,38013,JSWSTEEL
50,2022-12-15,EQ,756.0,762.9,741.0,757.95,745.0,743.35,750.43,790.0,520.05,1690335,1268471499.8,39525,JSWSTEEL
51,2022-12-14,EQ,747.95,759.65,745.85,744.25,759.65,757.95,754.49,790.0,520.05,1471083,1109916981.2,28943,JSWSTEEL
52,2022-12-13,EQ,744.5,746.0,735.65,740.85,743.05,744.25,741.54,790.0,520.05,1201367,890857516.65,19741,JSWSTEEL
53,2022-12-12,EQ,738.0,742.0,727.5,740.4,742.0,740.85,736.99,790.0,520.05,1224081,902135421.25,28158,JSWSTEEL
54,2022-12-09,EQ,748.45,750.8,738.2,744.7,740.6,740.4,744.0,790.0,520.05,1338271,995674489.85,25566,JSWSTEEL
55,2022-12-08,EQ,738.15,746.7,736.05,738.15,744.75,744.7,741.95,790.0,520.05,1053397,781567228.05,25966,JSWSTEEL
56,2022-12-07,EQ,747.05,751.0,736.25,746.75,737.95,738.15,741.39,790.0,520.05,1162282,861707503.25,23011,JSWSTEEL
57,2022-12-06,EQ,754.95,755.75,740.2,756.6,747.0,746.75,746.32,790.0,520.05,1468238,1095779390.65,28989,JSWSTEEL
58,2022-12-05,EQ,746.45,759.0,746.0,743.05,754.1,756.6,754.91,790.0,520.05,2129340,1607462955.05,40253,JSWSTEEL
59,2022-12-02,EQ,746.65,751.3,740.55,746.3,745.0,743.05,744.17,790.0,520.05,1392199,1036034729.6,27681,JSWSTEEL
60,2022-12-01,EQ,747.15,752.95,743.1,743.4,746.0,746.3,747.89,790.0,520.05,1942307,1452640604.4,32901,JSWSTEEL
61,2022-11-30,EQ,734.1,745.65,731.1,732.55,743.9,743.4,741.5,790.0,520.05,3962572,2938238897.65,59195,JSWSTEEL
62,2022-11-29,EQ,714.5,735.9,713.85,715.65,731.1,732.55,727.51,790.0,520.05,3306817,2405749513.6,48251,JSWSTEEL
63,2022-11-28,EQ,718.5,724.75,710.0,726.2,716.1,715.65,715.17,790.0,520.05,2418509,1729636435.1,35986,JSWSTEEL
64,2022-11-25,EQ,722.0,728.6,720.1,725.95,725.55,726.2,725.46,790.0,520.05,1466688,1064021013.3,23650,JSWSTEEL
65,2022-11-24,EQ,722.0,728.45,717.1,720.55,726.25,725.95,723.03,790.0,520.05,1654760,1196446381.75,33980,JSWSTEEL
66,2022-11-23,EQ,710.1,722.0,708.0,708.25,718.55,720.55,716.47,790.0,520.05,1735389,1243349313.55,34759,JSWSTEEL
67,2022-11-22,EQ,696.5,709.9,691.0,696.55,709.7,708.25,699.97,790.0,520.05,2421572,1695018575.65,35654,JSWSTEEL
68,2022-11-21,EQ,720.0,722.85,692.65,708.2,696.0,696.55,702.71,790.0,520.05,3360316,2361339509.85,52864,JSWSTEEL
69,2022-11-18,EQ,710.0,711.6,701.2,708.6,709.5,708.2,705.84,790.0,520.05,893816,630892506.05,23802,JSWSTEEL
70,2022-11-17,EQ,705.0,712.95,697.55,708.25,706.9,708.6,706.07,790.0,520.05,1391449,982466445.95,30941,JSWSTEEL
71,2022-11-16,EQ,720.5,721.95,704.0,722.35,708.7,708.25,710.93,790.0,520.05,1395043,991771649.35,33165,JSWSTEEL
72,2022-11-15,EQ,720.4,724.85,712.8,719.4,723.8,722.35,718.23,790.0,520.05,1065114,764996218.1,20399,JSWSTEEL
73,2022-11-14,EQ,722.6,731.4,716.65,719.0,718.0,719.4,723.14,790.0,520.05,2089880,1511271267.3,43807,JSWSTEEL
74,2022-11-11,EQ,706.0,721.95,705.15,701.05,719.5,719.0,715.22,790.0,520.05,2607860,1865202377.85,49109,JSWSTEEL
75,2022-11-10,EQ,699.8,705.7,697.2,706.55,701.15,701.05,701.73,790.0,520.05,932886,654636726.9,28407,JSWSTEEL
76,2022-11-09,EQ,716.0,716.2,703.05,710.0,705.2,706.55,708.76,790.0,520.05,1632827,1157277879.7,31865,JSWSTEEL
77,2022-11-07,EQ,705.3,715.45,700.0,701.75,707.15,710.0,708.69,790.0,520.05,3121786,2212389458.4,62567,JSWSTEEL
78,2022-11-04,EQ,683.2,703.95,682.35,680.2,702.6,701.75,695.22,790.0,520.05,3624889,2520108192.25,61539,JSWSTEEL
79,2022-11-03,EQ,678.7,688.0,677.95,684.2,680.6,680.2,682.21,790.0,520.05,1639039,1118176685.2,22884,JSWSTEEL
80,2022-11-02,EQ,685.0,693.95,682.3,686.35,682.5,684.2,687.65,790.0,520.05,1912908,1315420436.55,32451,JSWSTEEL
81,2022-11-01,EQ,670.0,688.25,670.0,673.95,684.5,686.35,683.91,790.0,520.05,2846573,1946794838.55,55064,JSWSTEEL
82,2022-10-31,EQ,672.0,676.45,669.05,670.4,674.4,673.95,673.1,790.0,520.05,1380329,929101213.95,30001,JSWSTEEL
83,2022-10-28,EQ,676.6,678.45,663.45,679.6,670.0,670.4,668.33,790.0,520.05,2500826,1671373999.8,37156,JSWSTEEL
84,2022-10-27,EQ,650.0,683.0,648.0,644.35,682.0,679.6,672.86,790.0,520.05,8328955,5604206219.35,120081,JSWSTEEL
85,2022-10-25,EQ,624.2,650.95,624.2,629.6,644.3,644.35,641.86,790.0,520.05,4787246,3072723553.85,73360,JSWSTEEL
