,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1713.0,1724.25,1694.0,1707.15,1698.0,1697.3,1706.29,1997.55,1631.0,2080363,3549692946.7,66878,KOTAKBANK
1,2023-02-23,EQ,1707.4,1713.75,1687.75,1700.55,1708.0,1707.15,1704.6,1997.55,1631.0,2770110,4721916197.4,88839,KOTAKBANK
2,2023-02-22,EQ,1723.95,1726.1,1698.0,1730.2,1701.5,1700.55,1706.41,1997.55,1631.0,3539149,6039251992.1,117630,KOTAKBANK
3,2023-02-21,EQ,1745.0,1745.0,1725.05,1737.3,1730.3,1730.2,1734.04,1997.55,1631.0,2936934,5092770682.35,100382,KOTAKBANK
4,2023-02-20,EQ,1768.05,1768.05,1730.1,1759.25,1737.0,1737.3,1745.73,1997.55,1631.0,3224839,5629712170.9,97812,KOTAKBANK
5,2023-02-17,EQ,1783.1,1791.4,1751.05,1787.95,1762.0,1759.25,1767.03,1997.55,1631.0,2587909,4572903663.1,83490,KOTAKBANK
6,2023-02-16,EQ,1794.0,1803.9,1783.55,1785.5,1790.95,1787.95,1794.89,1997.55,1631.0,2291602,4113174558.05,96040,KOTAKBANK
7,2023-02-15,EQ,1768.45,1790.0,1760.25,1770.35,1785.75,1785.5,1777.96,1997.55,1631.0,2409292,4283628179.5,87832,KOTAKBANK
8,2023-02-14,EQ,1770.0,1777.0,1763.75,1773.8,1768.45,1770.35,1769.82,1997.55,1631.0,1614893,2858064808.05,71751,KOTAKBANK
9,2023-02-13,EQ,1775.1,1784.45,1761.65,1772.05,1770.9,1773.8,1771.08,1997.55,1631.0,2389142,4231366210.45,74767,KOTAKBANK
10,2023-02-10,EQ,1767.9,1778.65,1765.0,1770.9,1770.6,1772.05,1771.61,1997.55,1631.0,1445942,2561646544.95,66017,KOTAKBANK
11,2023-02-09,EQ,1767.95,1775.2,1747.95,1765.5,1770.0,1770.9,1758.81,1997.55,1631.0,2163825,3805766581.35,92844,KOTAKBANK
12,2023-02-08,EQ,1778.8,1780.0,1761.1,1775.4,1763.1,1765.5,1769.19,1997.55,1631.0,1446690,2559476105.4,79898,KOTAKBANK
13,2023-02-07,EQ,1752.2,1780.0,1747.05,1747.0,1772.0,1775.4,1764.48,1997.55,1631.0,3643187,6428343989.3,106328,KOTAKBANK
14,2023-02-06,EQ,1775.0,1778.25,1740.0,1780.3,1747.85,1747.0,1749.02,1997.55,1631.0,3040209,5317380537.2,102534,KOTAKBANK
15,2023-02-03,EQ,1770.6,1783.7,1745.2,1761.75,1777.2,1780.3,1761.93,1997.55,1631.0,2675212,4713538085.2,134767,KOTAKBANK
16,2023-02-02,EQ,1720.0,1768.0,1720.0,1744.7,1762.0,1761.75,1748.87,1997.55,1631.0,4184470,7318103706.75,152404,KOTAKBANK
17,2023-02-01,EQ,1745.0,1784.0,1720.75,1731.0,1742.9,1744.7,1753.9,1997.55,1631.0,3652098,6405405626.5,132902,KOTAKBANK
18,2023-01-31,EQ,1730.5,1738.6,1713.05,1726.25,1735.0,1731.0,1729.55,1997.55,1631.0,4385384,7584720724.15,191157,KOTAKBANK
