,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2160.0,2172.3,2118.75,2159.15,2135.1,2134.05,2144.65,2297.65,1456.35,1479060,3172071254.65,122963,LT
1,2023-02-23,EQ,2204.0,2208.2,2153.5,2194.75,2154.0,2159.15,2178.14,2297.65,1456.35,2000556,4357497777.3,130397,LT
2,2023-02-22,EQ,2229.0,2241.0,2182.05,2229.45,2203.0,2194.75,2212.81,2297.65,1456.35,2103097,4653749371.3,106503,LT
3,2023-02-21,EQ,2239.0,2262.0,2222.7,2225.5,2235.35,2229.45,2242.03,2297.65,1456.35,1882604,4220863635.8,107550,LT
4,2023-02-20,EQ,2233.7,2252.0,2215.0,2226.35,2220.5,2225.5,2229.3,2297.65,1456.35,1779752,3967596563.75,62038,LT
5,2023-02-17,EQ,2169.8,2249.0,2160.0,2178.3,2227.0,2226.35,2225.4,2297.65,1456.35,3753179,8352333197.15,181170,LT
6,2023-02-16,EQ,2186.8,2202.3,2171.7,2175.05,2175.9,2178.3,2184.11,2297.65,1456.35,2464602,5382955575.75,70544,LT
7,2023-02-15,EQ,2186.0,2187.85,2157.25,2191.65,2176.1,2175.05,2171.79,2297.65,1456.35,1946344,4227053104.4,98792,LT
8,2023-02-14,EQ,2215.0,2216.0,2182.15,2203.3,2189.35,2191.65,2196.73,2297.65,1456.35,1874906,4118665071.9,67427,LT
9,2023-02-13,EQ,2173.0,2210.4,2160.2,2163.85,2203.5,2203.3,2194.52,2297.65,1456.35,2978938,6537350681.2,100580,LT
10,2023-02-10,EQ,2140.2,2169.95,2137.55,2147.4,2160.0,2163.85,2156.74,2297.65,1456.35,1454665,3137336843.7,107578,LT
11,2023-02-09,EQ,2150.0,2151.95,2135.7,2130.85,2148.6,2147.4,2145.92,2297.65,1456.35,1563181,3354461550.1,109089,LT
12,2023-02-08,EQ,2160.55,2175.25,2125.55,2165.3,2133.25,2130.85,2144.06,2297.65,1456.35,1452145,3113490283.6,116062,LT
13,2023-02-07,EQ,2162.25,2172.0,2150.05,2156.1,2165.0,2165.3,2161.68,2297.65,1456.35,1089248,2354607994.15,78455,LT
14,2023-02-06,EQ,2164.25,2181.6,2142.3,2166.55,2158.0,2156.1,2161.77,2297.65,1456.35,1332484,2880524522.85,88327,LT
15,2023-02-03,EQ,2176.95,2181.85,2131.05,2144.9,2161.0,2166.55,2158.13,2297.65,1456.35,2045634,4414753237.65,112767,LT
16,2023-02-02,EQ,2135.6,2166.95,2107.85,2145.55,2141.7,2144.9,2138.58,2297.65,1456.35,3488506,7460432936.9,152388,LT
17,2023-02-01,EQ,2133.0,2215.95,2080.3,2124.4,2150.0,2145.55,2152.19,2297.65,1456.35,6868872,14783134230.9,256684,LT
18,2023-01-31,EQ,2119.95,2132.75,2072.65,2112.9,2120.95,2124.4,2103.29,2297.65,1456.35,4516463,9499419709.55,212750,LT
19,2023-01-30,EQ,2129.4,2173.25,2083.8,2159.85,2122.05,2112.9,2120.67,2297.65,1456.35,3441304,7297862491.0,151330,LT
20,2023-01-27,EQ,2174.7,2195.0,2127.1,2174.7,2159.9,2159.85,2150.76,2297.65,1456.35,1647900,3544244338.55,141766,LT
21,2023-01-25,EQ,2201.0,2205.0,2155.0,2207.5,2174.9,2174.7,2172.92,2297.65,1456.35,2134447,4637991515.4,111225,LT
22,2023-01-24,EQ,2244.7,2252.3,2200.0,2233.5,2201.4,2207.5,2219.59,2297.65,1456.35,1036962,2301629112.9,70138,LT
