,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1320.2,1320.55,1278.2,1313.95,1280.45,1280.2,1293.06,1397.0,671.15,2824384,3652099151.9,138382,M&M
1,2023-02-23,EQ,1325.25,1326.25,1305.0,1319.75,1315.6,1313.95,1315.69,1397.0,671.15,1847879,2431231348.65,118680,M&M
2,2023-02-22,EQ,1346.9,1352.85,1311.15,1351.85,1331.0,1319.75,1333.84,1397.0,671.15,2196484,2929753843.9,106037,M&M
3,2023-02-21,EQ,1354.5,1362.4,1341.0,1346.25,1346.45,1351.85,1351.36,1397.0,671.15,2118816,2863273608.0,134813,M&M
4,2023-02-20,EQ,1342.1,1354.95,1332.6,1341.5,1343.0,1346.25,1347.12,1397.0,671.15,1497314,2017054185.1,65991,M&M
5,2023-02-17,EQ,1359.95,1372.55,1332.3,1368.15,1343.0,1341.5,1349.63,1397.0,671.15,2150027,2901732428.25,99592,M&M
6,2023-02-16,EQ,1380.1,1397.0,1363.2,1379.35,1366.1,1368.15,1381.7,1397.0,671.15,2646301,3656384718.8,106674,M&M
7,2023-02-15,EQ,1364.2,1383.15,1360.05,1363.15,1378.0,1379.35,1371.71,1391.95,671.15,2007214,2753313947.3,67652,M&M
8,2023-02-14,EQ,1358.0,1377.0,1350.0,1353.0,1365.5,1363.15,1367.97,1391.95,671.15,2373179,3246433929.55,136512,M&M
9,2023-02-13,EQ,1375.0,1384.0,1325.05,1365.45,1350.0,1353.0,1352.12,1391.95,671.15,4401219,5950957408.6,141710,M&M
10,2023-02-10,EQ,1378.55,1386.95,1350.8,1372.2,1362.95,1365.45,1370.68,1391.95,671.15,3282665,4499477051.75,108794,M&M
11,2023-02-09,EQ,1372.0,1386.0,1363.0,1373.05,1372.0,1372.2,1372.95,1391.95,671.15,1866387,2562447273.2,79925,M&M
12,2023-02-08,EQ,1373.55,1380.0,1360.0,1366.7,1373.6,1373.05,1371.06,1391.95,671.15,1241238,1701811890.3,65375,M&M
13,2023-02-07,EQ,1382.9,1385.0,1361.0,1376.0,1368.8,1366.7,1370.26,1391.95,671.15,1413825,1937303492.05,90555,M&M
14,2023-02-06,EQ,1391.9,1391.9,1360.0,1388.0,1374.15,1376.0,1372.28,1391.95,671.15,1504382,2064437635.85,70435,M&M
15,2023-02-03,EQ,1359.2,1391.95,1350.55,1352.4,1390.0,1388.0,1369.93,1391.95,671.15,1803085,2470104448.2,117288,M&M
16,2023-02-02,EQ,1348.05,1378.2,1330.5,1352.05,1354.0,1352.4,1356.97,1390.0,671.15,2029111,2753435257.05,112553,M&M
17,2023-02-01,EQ,1386.55,1390.0,1322.0,1378.75,1350.1,1352.05,1365.58,1390.0,671.15,3010838,4111548690.3,154533,M&M
18,2023-01-31,EQ,1350.3,1385.5,1335.3,1331.6,1377.0,1378.75,1365.83,1385.5,671.15,5265862,7192274482.85,204323,M&M
19,2023-01-30,EQ,1320.1,1342.0,1305.0,1320.2,1332.0,1331.6,1327.94,1366.55,671.15,2402331,3190152274.1,117782,M&M
20,2023-01-27,EQ,1318.1,1339.8,1286.65,1311.5,1320.0,1320.2,1314.55,1366.55,671.15,1914769,2517063798.6,113017,M&M
21,2023-01-25,EQ,1324.9,1332.0,1306.05,1323.9,1317.95,1311.5,1314.87,1366.55,671.15,1359090,1787029928.95,45866,M&M
22,2023-01-24,EQ,1335.1,1335.1,1321.05,1328.45,1323.55,1323.9,1326.45,1366.55,671.15,1408040,1867691102.9,54049,M&M
23,2023-01-23,EQ,1321.35,1345.95,1312.3,1314.75,1326.95,1328.45,1333.88,1366.55,671.15,1681075,2242355208.6,58969,M&M
24,2023-01-20,EQ,1324.05,1325.0,1311.65,1319.55,1318.85,1314.75,1318.48,1366.55,671.15,1332666,1757099309.9,68589,M&M
25,2023-01-19,EQ,1317.6,1328.7,1312.3,1322.15,1318.0,1319.55,1320.94,1366.55,671.15,2066881,2730229248.15,75393,M&M
26,2023-01-18,EQ,1320.35,1325.0,1308.1,1320.85,1320.6,1322.15,1317.6,1366.55,671.15,1179938,1554687089.55,71949,M&M
27,2023-01-17,EQ,1318.95,1323.85,1304.1,1315.6,1318.0,1320.85,1315.24,1366.55,671.15,1607137,2113763483.4,82409,M&M
28,2023-01-16,EQ,1333.0,1335.25,1302.95,1328.15,1315.3,1315.6,1313.88,1366.55,671.15,1651972,2170493795.6,73856,M&M
29,2023-01-13,EQ,1325.0,1337.0,1311.6,1319.9,1327.55,1328.15,1328.14,1366.55,671.15,2600139,3453342140.8,85649,M&M
30,2023-01-12,EQ,1316.0,1327.0,1310.0,1312.6,1322.0,1319.9,1317.72,1366.55,671.15,2448619,3226600093.45,98403,M&M
31,2023-01-11,EQ,1315.5,1320.0,1300.5,1314.9,1312.0,1312.6,1308.72,1366.55,671.15,2041750,2672068950.4,111463,M&M
32,2023-01-10,EQ,1310.5,1326.4,1305.75,1310.35,1317.0,1314.9,1316.71,1366.55,671.15,3139930,4134388498.5,104788,M&M
33,2023-01-09,EQ,1272.95,1313.9,1271.65,1264.9,1310.1,1310.35,1303.44,1366.55,671.15,3634805,4737737669.4,145295,M&M
34,2023-01-06,EQ,1252.65,1274.95,1248.15,1252.65,1263.4,1264.9,1263.26,1366.55,671.15,2214972,2798096003.2,63562,M&M
35,2023-01-05,EQ,1240.0,1255.0,1231.0,1236.2,1253.0,1252.65,1248.46,1366.55,671.15,2745160,3427225186.85,103100,M&M
36,2023-01-04,EQ,1252.35,1255.8,1231.0,1249.3,1235.5,1236.2,1241.09,1366.55,671.15,1344532,1668684918.65,59066,M&M
37,2023-01-03,EQ,1263.0,1265.0,1246.7,1262.85,1251.0,1249.3,1253.06,1366.55,671.15,1510751,1893065513.75,68244,M&M
38,2023-01-02,EQ,1251.0,1271.0,1242.6,1249.2,1262.0,1262.85,1262.06,1366.55,671.15,1718385,2168696725.65,76028,M&M
39,2022-12-30,EQ,1265.35,1265.35,1245.0,1262.35,1251.0,1249.2,1254.28,1366.55,671.15,1372710,1721759506.3,54985,M&M
40,2022-12-29,EQ,1247.7,1267.6,1238.55,1252.35,1260.55,1262.35,1252.29,1366.55,671.15,1289676,1615052426.6,47957,M&M
41,2022-12-28,EQ,1229.85,1255.0,1225.0,1234.25,1254.1,1252.35,1247.29,1366.55,671.15,1959508,2444075087.3,67974,M&M
42,2022-12-27,EQ,1243.25,1248.5,1223.95,1237.05,1230.0,1234.25,1231.97,1366.55,671.15,1304940,1607647393.95,43663,M&M
43,2022-12-26,EQ,1224.6,1247.4,1216.3,1224.6,1237.0,1237.05,1239.97,1366.55,671.15,1677560,2080126730.6,71960,M&M
44,2022-12-23,EQ,1220.0,1230.0,1208.0,1233.95,1229.0,1224.6,1220.09,1366.55,671.15,1913648,2334828086.35,91117,M&M
45,2022-12-22,EQ,1265.7,1277.65,1229.3,1265.7,1234.4,1233.95,1244.51,1366.55,671.15,1557590,1938443647.1,60880,M&M
46,2022-12-21,EQ,1279.9,1284.5,1258.5,1275.25,1265.95,1265.7,1272.7,1366.55,671.15,1251993,1593412896.95,49553,M&M
47,2022-12-20,EQ,1287.95,1288.0,1263.1,1290.65,1274.2,1275.25,1271.19,1366.55,671.15,1286604,1635514976.25,53859,M&M
48,2022-12-19,EQ,1250.9,1294.9,1245.05,1251.6,1289.0,1290.65,1278.14,1366.55,671.15,2767603,3537371561.3,81920,M&M
49,2022-12-16,EQ,1277.95,1287.0,1250.0,1286.95,1254.8,1251.6,1258.43,1366.55,671.15,2136354,2688441984.15,80392,M&M
