,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,8711.0,8740.0,8609.3,8696.25,8630.0,8660.5,8673.9,9769.0,6536.55,242982,2107602292.65,34249,MARUTI
1,2023-02-23,EQ,8693.45,8747.45,8616.0,8658.95,8705.0,8696.25,8684.68,9769.0,6536.55,317544,2757769161.15,42134,MARUTI
2,2023-02-22,EQ,8675.5,8719.0,8585.0,8669.85,8663.45,8658.95,8655.8,9769.0,6536.55,363931,3150112526.55,58071,MARUTI
3,2023-02-21,EQ,8694.0,8720.0,8638.45,8693.65,8675.0,8669.85,8666.14,9769.0,6536.55,323478,2803304805.4,66784,MARUTI
4,2023-02-20,EQ,8807.75,8849.0,8675.25,8807.75,8685.0,8693.65,8748.94,9769.0,6536.55,298434,2610982525.45,46059,MARUTI
5,2023-02-17,EQ,8787.0,8874.0,8749.75,8805.1,8820.0,8807.75,8826.87,9769.0,6536.55,214587,1894130570.0,32853,MARUTI
6,2023-02-16,EQ,8880.0,8880.0,8790.0,8845.35,8796.05,8805.1,8832.95,9769.0,6536.55,247514,2186278643.9,42442,MARUTI
7,2023-02-15,EQ,8774.45,8895.7,8742.0,8774.45,8855.0,8845.35,8836.98,9769.0,6536.55,452568,3999333591.85,64188,MARUTI
8,2023-02-14,EQ,8815.0,8847.0,8765.0,8809.45,8779.8,8774.45,8803.32,9769.0,6536.55,227030,1998617825.45,38120,MARUTI
9,2023-02-13,EQ,8787.0,8864.4,8755.7,8811.35,8807.05,8809.45,8814.49,9769.0,6536.55,253037,2230391801.8,33967,MARUTI
10,2023-02-10,EQ,8797.8,8875.0,8772.95,8801.2,8800.0,8811.35,8819.84,9769.0,6536.55,276298,2436905367.4,53805,MARUTI
11,2023-02-09,EQ,8802.3,8833.0,8700.0,8834.7,8798.0,8801.2,8774.33,9769.0,6536.55,392186,3441170550.35,46380,MARUTI
12,2023-02-08,EQ,8773.0,8854.5,8673.05,8762.45,8825.0,8834.7,8789.11,9769.0,6536.55,391645,3442211700.9,59543,MARUTI
13,2023-02-07,EQ,8908.0,8920.0,8752.55,8908.0,8760.0,8762.45,8797.99,9769.0,6536.55,318669,2803646153.35,56430,MARUTI
14,2023-02-06,EQ,8926.95,8936.0,8820.0,8942.3,8890.0,8908.0,8878.82,9769.0,6536.55,205161,1821587649.9,40772,MARUTI
15,2023-02-03,EQ,8940.0,8963.0,8845.15,8870.15,8923.3,8942.3,8910.84,9769.0,6536.55,351157,3129104651.85,46064,MARUTI
16,2023-02-02,EQ,8765.0,8940.0,8751.1,8768.85,8855.0,8870.15,8863.37,9769.0,6536.55,456995,4050517443.0,59983,MARUTI
17,2023-02-01,EQ,8937.0,9030.45,8673.9,8895.3,8764.95,8768.85,8861.69,9769.0,6536.55,707460,6269291995.0,73003,MARUTI
18,2023-01-31,EQ,8856.9,8943.85,8830.2,8817.0,8900.0,8895.3,8897.6,9769.0,6536.55,643670,5727116371.7,86665,MARUTI
19,2023-01-30,EQ,8779.0,8865.0,8718.0,8737.5,8825.0,8817.0,8798.64,9769.0,6536.55,1036998,9124174860.8,118767,MARUTI
20,2023-01-27,EQ,8828.45,8889.0,8620.1,8784.1,8754.0,8737.5,8730.17,9769.0,6536.55,743546,6491285266.5,95748,MARUTI
21,2023-01-25,EQ,8747.9,8833.0,8680.3,8698.8,8770.0,8784.1,8773.29,9769.0,6536.55,1131883,9930337994.9,128225,MARUTI
22,2023-01-24,EQ,8450.0,8718.0,8417.0,8417.1,8696.0,8698.8,8604.69,9769.0,6536.55,1039571,8945185007.0,110751,MARUTI
23,2023-01-23,EQ,8480.0,8482.0,8377.9,8439.8,8425.0,8417.1,8423.65,9769.0,6536.55,410827,3460664360.35,79850,MARUTI
24,2023-01-20,EQ,8462.05,8500.0,8412.0,8501.65,8420.0,8439.8,8458.94,9769.0,6536.55,346337,2929643905.85,71153,MARUTI
25,2023-01-19,EQ,8479.0,8519.0,8456.5,8494.05,8490.0,8501.65,8493.36,9769.0,6536.55,184776,1569369353.5,33758,MARUTI
26,2023-01-18,EQ,8473.0,8537.4,8464.3,8479.35,8495.0,8494.05,8500.81,9769.0,6536.55,402883,3424833436.2,52978,MARUTI
27,2023-01-17,EQ,8409.85,8493.3,8342.15,8380.1,8478.05,8479.35,8428.57,9769.0,6536.55,409248,3449376289.9,51540,MARUTI
28,2023-01-16,EQ,8480.0,8514.3,8343.6,8453.4,8360.05,8380.1,8399.8,9769.0,6536.55,500575,4204730719.1,63773,MARUTI
29,2023-01-13,EQ,8397.0,8500.05,8351.0,8369.2,8454.2,8453.4,8450.1,9769.0,6536.55,705220,5959182204.15,77785,MARUTI
30,2023-01-12,EQ,8315.0,8377.0,8260.0,8284.45,8365.0,8369.2,8332.84,9769.0,6536.55,283772,2364626252.95,57766,MARUTI
31,2023-01-11,EQ,8334.65,8334.65,8249.15,8293.15,8298.45,8284.45,8289.45,9769.0,6536.55,327536,2715092146.35,56685,MARUTI
32,2023-01-10,EQ,8380.0,8410.0,8262.9,8377.0,8304.0,8293.15,8316.61,9769.0,6536.55,493677,4105720227.4,74247,MARUTI
33,2023-01-09,EQ,8424.85,8446.95,8325.1,8383.05,8380.0,8377.0,8385.69,9769.0,6536.55,613406,5143833217.05,92471,MARUTI
34,2023-01-06,EQ,8460.0,8483.95,8350.0,8461.1,8370.0,8383.05,8397.4,9769.0,6536.55,368978,3098457159.2,53443,MARUTI
35,2023-01-05,EQ,8444.95,8475.0,8390.05,8422.8,8470.0,8461.1,8428.69,9769.0,6536.55,417716,3520800140.8,70713,MARUTI
36,2023-01-04,EQ,8376.0,8537.05,8311.05,8382.75,8419.0,8422.8,8421.22,9769.0,6536.55,566744,4772678127.5,67370,MARUTI
37,2023-01-03,EQ,8380.0,8402.0,8304.15,8403.3,8390.0,8382.75,8363.88,9769.0,6536.55,493207,4125121885.85,79882,MARUTI
38,2023-01-02,EQ,8365.0,8454.0,8337.6,8394.6,8408.0,8403.3,8405.9,9769.0,6536.55,398159,3346884016.15,48615,MARUTI
39,2022-12-30,EQ,8470.0,8490.0,8362.25,8435.8,8413.0,8394.6,8423.45,9769.0,6536.55,433976,3655573363.35,50883,MARUTI
40,2022-12-29,EQ,8370.0,8449.0,8333.0,8421.05,8444.0,8435.8,8389.01,9769.0,6536.55,452134,3792957873.95,51057,MARUTI
41,2022-12-28,EQ,8315.0,8453.5,8287.6,8305.45,8415.0,8421.05,8405.36,9769.0,6536.55,538632,4527395346.9,58185,MARUTI
42,2022-12-27,EQ,8298.95,8315.0,8230.8,8256.8,8315.0,8305.45,8279.05,9769.0,6536.55,423308,3504590187.85,39069,MARUTI
43,2022-12-26,EQ,8147.0,8346.0,8076.05,8141.6,8258.9,8256.8,8222.45,9769.0,6536.55,315102,2590910966.3,48585,MARUTI
44,2022-12-23,EQ,8299.7,8329.95,8122.85,8334.35,8145.0,8141.6,8204.19,9769.0,6536.55,503012,4126807846.7,84614,MARUTI
45,2022-12-22,EQ,8356.65,8384.0,8288.0,8350.4,8330.0,8334.35,8330.14,9769.0,6536.55,580858,4838631015.9,93760,MARUTI
46,2022-12-21,EQ,8524.35,8566.95,8288.3,8524.35,8339.95,8350.4,8398.76,9769.0,6536.55,800720,6725052413.6,116637,MARUTI
47,2022-12-20,EQ,8584.4,8584.4,8432.05,8603.85,8510.95,8524.35,8504.91,9769.0,6536.55,694906,5910111203.0,85811,MARUTI
48,2022-12-19,EQ,8498.8,8621.45,8451.0,8485.8,8618.0,8603.85,8557.67,9769.0,6536.55,464106,3971666833.65,51994,MARUTI
49,2022-12-16,EQ,8559.5,8588.0,8446.0,8584.15,8478.0,8485.8,8507.31,9769.0,6536.55,624222,5310447935.55,72107,MARUTI
50,2022-12-15,EQ,8641.0,8673.6,8575.0,8641.6,8585.0,8584.15,8610.6,9769.0,6536.55,472176,4065719145.1,44402,MARUTI
51,2022-12-14,EQ,8650.0,8677.7,8596.05,8620.7,8649.0,8641.6,8630.52,9769.0,6536.55,343670,2966051811.45,40427,MARUTI
52,2022-12-13,EQ,8662.0,8697.35,8610.0,8659.75,8623.95,8620.7,8644.81,9769.0,6536.55,330236,2854826910.05,47499,MARUTI
53,2022-12-12,EQ,8609.0,8693.3,8515.3,8613.35,8659.3,8659.75,8632.67,9769.0,6536.55,445039,3841876421.7,76726,MARUTI
54,2022-12-09,EQ,8707.0,8763.75,8545.45,8682.7,8610.5,8613.35,8630.5,9769.0,6536.55,790406,6821600944.15,96097,MARUTI
55,2022-12-08,EQ,8665.0,8711.0,8606.05,8659.15,8681.0,8682.7,8670.3,9769.0,6536.55,476001,4127069174.05,67879,MARUTI
56,2022-12-07,EQ,8720.0,8747.85,8641.0,8717.35,8652.0,8659.15,8689.25,9769.0,6536.55,546450,4748242515.8,82307,MARUTI
57,2022-12-06,EQ,8777.2,8800.0,8694.95,8792.05,8715.0,8717.35,8736.56,9769.0,6536.55,551379,4817158364.9,75499,MARUTI
58,2022-12-05,EQ,8844.0,8853.2,8765.0,8815.85,8786.95,8792.05,8792.31,9769.0,6536.55,519621,4568670945.75,78677,MARUTI
59,2022-12-02,EQ,8820.0,8928.9,8754.75,8958.15,8823.0,8815.85,8825.9,9769.0,6536.55,971612,8575348570.45,111529,MARUTI
60,2022-12-01,EQ,9019.05,9025.0,8930.0,8974.15,8960.0,8958.15,8968.06,9769.0,6536.55,694489,6228221139.15,80117,MARUTI
61,2022-11-30,EQ,8924.0,9020.0,8870.0,8910.2,8990.0,8974.15,8935.52,9769.0,6536.55,1087650,9718716516.15,114796,MARUTI
62,2022-11-29,EQ,8985.0,9024.75,8888.0,8985.4,8915.0,8910.2,8949.33,9769.0,6536.55,606692,5429487093.25,100476,MARUTI
63,2022-11-28,EQ,9028.0,9104.1,8950.0,9019.5,8968.0,8985.4,9032.4,9769.0,6536.55,439956,3973859541.5,46475,MARUTI
64,2022-11-25,EQ,9000.0,9080.0,8947.5,8967.1,9025.0,9019.5,9030.58,9769.0,6536.55,545439,4925630174.8,55058,MARUTI
65,2022-11-24,EQ,8968.9,8994.9,8921.0,8934.5,8992.95,8967.1,8951.88,9769.0,6536.55,455343,4076176202.6,47457,MARUTI
66,2022-11-23,EQ,8940.0,8989.0,8902.0,8873.75,8945.0,8934.5,8940.34,9769.0,6536.55,621006,5552007404.75,67341,MARUTI
67,2022-11-22,EQ,8875.0,8934.95,8859.05,8865.2,8887.15,8873.75,8888.06,9769.0,6536.55,455948,4052493296.6,65505,MARUTI
68,2022-11-21,EQ,8825.0,8929.2,8786.0,8848.05,8856.95,8865.2,8859.39,9769.0,6536.55,520644,4612589969.9,63043,MARUTI
69,2022-11-18,EQ,9010.0,9023.95,8836.0,8986.45,8853.75,8848.05,8888.39,9769.0,6536.55,515615,4582989142.1,64539,MARUTI
70,2022-11-17,EQ,9101.0,9169.6,8970.0,9134.95,8982.0,8986.45,9040.93,9769.0,6536.55,409572,3702912825.55,55274,MARUTI
71,2022-11-16,EQ,9160.0,9252.5,9099.85,9162.2,9120.0,9134.95,9181.03,9769.0,6536.55,350737,3220128298.15,38035,MARUTI
72,2022-11-15,EQ,9190.0,9203.55,9130.0,9152.35,9155.2,9162.2,9166.35,9769.0,6536.55,359888,3298860534.85,43687,MARUTI
73,2022-11-14,EQ,9100.0,9163.05,8992.55,9087.55,9155.0,9152.35,9122.51,9769.0,6536.55,282822,2580046161.7,42163,MARUTI
74,2022-11-11,EQ,9200.0,9240.0,9050.0,9097.25,9100.0,9087.55,9131.45,9769.0,6536.55,461074,4210273421.75,44553,MARUTI
75,2022-11-10,EQ,9201.0,9250.75,9071.0,9253.5,9109.0,9097.25,9121.0,9769.0,6536.55,445700,4065230559.95,49250,MARUTI
76,2022-11-09,EQ,9480.35,9480.85,9220.0,9333.3,9230.15,9253.5,9300.67,9769.0,6536.55,617256,5740894055.9,64160,MARUTI
77,2022-11-07,EQ,9277.0,9352.8,9254.3,9229.5,9326.0,9333.3,9309.73,9769.0,6536.55,469017,4366423082.05,48554,MARUTI
78,2022-11-04,EQ,9257.9,9324.0,9191.05,9239.1,9231.0,9229.5,9249.93,9769.0,6536.55,465775,4308387867.6,54337,MARUTI
79,2022-11-03,EQ,9210.0,9310.0,9164.4,9229.4,9234.95,9239.1,9225.31,9769.0,6536.55,616860,5690725446.55,74435,MARUTI
80,2022-11-02,EQ,9445.0,9454.6,9210.0,9454.6,9224.15,9229.4,9272.54,9769.0,6536.55,788679,7313057753.0,94581,MARUTI
81,2022-11-01,EQ,9635.0,9636.9,9375.0,9527.6,9435.0,9454.6,9491.95,9769.0,6536.55,805517,7645923256.4,100273,MARUTI
82,2022-10-31,EQ,9650.0,9769.0,9451.1,9492.55,9535.0,9527.6,9621.59,9769.0,6536.55,1932020,18589107459.7,192682,MARUTI
83,2022-10-28,EQ,9095.0,9549.95,9051.0,9041.95,9548.0,9492.55,9303.69,9549.95,6536.55,1873029,17426085634.65,183797,MARUTI
84,2022-10-27,EQ,9050.0,9076.95,8902.0,9005.0,9070.0,9041.95,9006.59,9451.0,6536.55,849108,7647571505.85,105315,MARUTI
85,2022-10-25,EQ,8820.0,9017.0,8797.4,8765.45,9010.1,9005.0,8944.3,9451.0,6536.55,727441,6506450628.05,90435,MARUTI
86,2022-10-24,EQ,8788.8,8788.8,8745.85,8703.3,8760.0,8765.45,8767.89,9451.0,6536.55,30052,263492658.25,5352,MARUTI
87,2022-10-21,EQ,8730.0,8794.0,8641.0,8707.4,8699.9,8703.3,8718.78,9451.0,6536.55,356203,3105655790.15,58127,MARUTI
88,2022-10-20,EQ,8700.0,8739.2,8611.0,8719.35,8712.05,8707.4,8688.3,9451.0,6536.55,328270,2852109446.4,44479,MARUTI
89,2022-10-19,EQ,8851.4,8855.0,8695.0,8807.35,8702.0,8719.35,8773.88,9451.0,6536.55,385416,3381592274.25,65629,MARUTI
90,2022-10-18,EQ,8765.05,8888.25,8752.05,8723.8,8800.0,8807.35,8823.9,9451.0,6536.55,369973,3264603252.1,51596,MARUTI
91,2022-10-17,EQ,8610.0,8749.7,8567.05,8617.3,8744.0,8723.8,8672.31,9451.0,6536.55,304671,2642200270.85,44762,MARUTI
92,2022-10-14,EQ,8760.0,8766.6,8606.3,8649.55,8625.0,8617.3,8683.38,9451.0,6536.55,274160,2380635414.05,47450,MARUTI
93,2022-10-13,EQ,8665.0,8785.45,8592.0,8686.6,8664.0,8649.55,8664.43,9451.0,6536.55,355605,3081114685.7,52563,MARUTI
94,2022-10-12,EQ,8698.0,8720.0,8590.6,8684.15,8684.0,8686.6,8663.28,9451.0,6536.55,380365,3295210077.35,68960,MARUTI
95,2022-10-11,EQ,8811.0,8850.0,8665.0,8862.4,8679.15,8684.15,8757.11,9451.0,6536.55,422610,3700843330.3,61935,MARUTI
96,2022-10-10,EQ,8675.0,8876.45,8658.0,8779.1,8852.0,8862.4,8804.48,9451.0,6536.55,411218,3620562068.5,56296,MARUTI
97,2022-10-07,EQ,8750.0,8845.6,8711.0,8703.0,8783.85,8779.1,8784.28,9451.0,6536.55,428616,3765081423.7,55955,MARUTI
98,2022-10-06,EQ,8734.0,8825.0,8690.5,8690.5,8710.0,8703.0,8753.55,9451.0,6536.55,474445,4153077438.45,70037,MARUTI
99,2022-10-04,EQ,8699.0,8758.55,8630.0,8547.0,8690.0,8690.5,8693.37,9451.0,6536.55,503140,4373980340.6,73590,MARUTI
100,2022-10-03,EQ,8970.0,8970.0,8510.0,8828.15,8569.0,8547.0,8624.96,9451.0,6536.55,1123076,9686488363.7,123632,MARUTI
101,2022-09-30,EQ,8668.0,8872.0,8558.2,8624.85,8836.0,8828.15,8738.9,9451.0,6536.55,658982,5758777673.7,81947,MARUTI
102,2022-09-29,EQ,8770.4,8800.0,8604.1,8726.75,8660.0,8624.85,8680.27,9451.0,6536.55,817007,7091840349.5,110082,MARUTI
103,2022-09-28,EQ,8720.0,8850.0,8660.05,8774.05,8702.0,8726.75,8765.21,9451.0,6536.55,663740,5817820226.85,84909,MARUTI
104,2022-09-27,EQ,8890.0,8908.95,8670.5,8834.95,8777.0,8774.05,8773.53,9451.0,6536.55,686285,6021142055.0,89908,MARUTI
105,2022-09-26,EQ,9270.3,9270.3,8800.0,9343.45,8801.0,8834.95,8956.04,9451.0,6536.55,865432,7750844219.55,98224,MARUTI
106,2022-09-23,EQ,9397.95,9451.0,9277.35,9401.85,9320.0,9343.45,9347.35,9451.0,6536.55,574213,5367367147.8,72811,MARUTI
107,2022-09-22,EQ,9199.0,9435.0,9186.0,9247.9,9419.0,9401.85,9341.71,9435.0,6536.55,511112,4774658991.95,77963,MARUTI
108,2022-09-21,EQ,9300.0,9398.0,9211.45,9300.85,9255.0,9247.9,9289.54,9430.0,6536.55,440725,4094134375.2,62995,MARUTI
109,2022-09-20,EQ,9339.0,9430.0,9250.0,9280.85,9282.0,9300.85,9366.72,9430.0,6536.55,747257,6999346953.45,86603,MARUTI
110,2022-09-19,EQ,9175.3,9343.45,9070.0,9189.65,9290.0,9280.85,9216.42,9343.45,6536.55,727024,6700561779.2,76964,MARUTI
111,2022-09-16,EQ,9209.5,9315.9,9020.05,9209.75,9173.5,9189.65,9160.39,9325.0,6536.55,1056382,9676876203.6,92586,MARUTI
112,2022-09-15,EQ,9030.05,9325.0,9030.0,8967.2,9216.0,9209.75,9228.04,9325.0,6536.55,1392132,12846655616.75,140458,MARUTI
113,2022-09-14,EQ,8859.85,9000.0,8825.7,8926.5,8980.05,8967.2,8953.07,9233.65,6536.55,509547,4562008252.9,69023,MARUTI
114,2022-09-13,EQ,8972.3,8989.05,8910.9,8927.65,8927.0,8926.5,8940.18,9233.65,6536.55,405093,3621603947.55,49211,MARUTI
115,2022-09-12,EQ,8969.9,9012.3,8904.0,8946.0,8922.0,8927.65,8954.11,9233.65,6536.55,383641,3435162246.0,48059,MARUTI
116,2022-09-09,EQ,8834.65,8989.0,8730.0,8790.65,8953.0,8946.0,8861.5,9233.65,6536.55,632296,5603091999.95,70143,MARUTI
117,2022-09-08,EQ,8829.0,8885.1,8780.0,8784.9,8796.55,8790.65,8831.11,9233.65,6536.55,428924,3787874486.2,42815,MARUTI
118,2022-09-07,EQ,8864.0,8873.55,8760.0,8888.75,8778.0,8784.9,8811.9,9233.65,6536.55,496785,4377619315.15,67979,MARUTI
119,2022-09-06,EQ,8984.3,9022.75,8870.0,8950.05,8880.95,8888.75,8942.31,9233.65,6536.55,397902,3558163864.35,36226,MARUTI
120,2022-09-05,EQ,8900.0,9016.8,8875.0,8919.6,8950.1,8950.05,8949.65,9233.65,6536.55,386455,3458635079.0,43621,MARUTI
121,2022-09-02,EQ,9026.5,9149.9,8902.1,9024.5,8910.0,8919.6,9028.63,9233.65,6536.55,632909,5714301582.55,64451,MARUTI
122,2022-09-01,EQ,8949.95,9233.65,8941.0,9082.25,9026.5,9024.5,9108.8,9233.65,6536.55,888864,8096484458.6,105299,MARUTI
123,2022-08-30,EQ,8884.8,9164.0,8870.0,8834.2,9051.0,9082.25,9067.49,9196.85,6536.55,1016312,9215403526.4,96862,MARUTI
124,2022-08-29,EQ,8602.6,8859.9,8590.0,8720.6,8835.0,8834.2,8778.41,9196.85,6536.55,459057,4029792282.35,54577,MARUTI
125,2022-08-26,EQ,8800.0,8832.75,8706.2,8735.9,8728.0,8720.6,8760.09,9196.85,6536.55,398063,3487067922.55,59105,MARUTI
126,2022-08-25,EQ,8721.0,8835.0,8680.0,8704.0,8737.0,8735.9,8768.89,9196.85,6536.55,525721,4609990473.9,52586,MARUTI
127,2022-08-24,EQ,8660.0,8772.0,8594.0,8720.5,8683.0,8704.0,8680.43,9196.85,6536.55,442582,3841801593.05,49238,MARUTI
128,2022-08-23,EQ,8607.0,8757.0,8564.0,8628.0,8720.0,8720.5,8683.21,9196.85,6536.55,558231,4847238098.25,61452,MARUTI
129,2022-08-22,EQ,8751.0,8767.45,8602.2,8778.95,8644.7,8628.0,8667.98,9196.85,6536.55,488485,4234176233.65,50814,MARUTI
130,2022-08-19,EQ,8955.45,8968.0,8715.0,8947.7,8754.0,8778.95,8814.36,9196.85,6536.55,572597,5047076287.95,60462,MARUTI
131,2022-08-18,EQ,8925.0,9012.4,8877.0,8944.35,8950.0,8947.7,8935.87,9196.85,6536.55,442229,3951700230.5,49764,MARUTI
132,2022-08-17,EQ,9010.0,9070.0,8920.0,9003.7,8930.75,8944.35,8978.63,9196.85,6536.55,623749,5600409630.7,71616,MARUTI
133,2022-08-16,EQ,8737.15,9040.0,8705.05,8699.2,8992.0,9003.7,8928.52,9196.85,6536.55,963726,8604650651.65,116159,MARUTI
134,2022-08-12,EQ,8815.0,8815.0,8675.0,8813.85,8695.95,8699.2,8707.72,9196.85,6536.55,712782,6206705276.0,71377,MARUTI
135,2022-08-11,EQ,8955.7,8998.0,8724.0,8879.7,8800.0,8813.85,8844.12,9196.85,6536.55,508318,4495623365.65,64683,MARUTI
136,2022-08-10,EQ,8938.6,8999.5,8826.0,8921.95,8880.0,8879.7,8879.79,9196.85,6536.55,445375,3954838255.1,62150,MARUTI
137,2022-08-08,EQ,8841.2,8998.0,8841.0,8841.2,8914.9,8921.95,8923.54,9196.85,6536.55,520993,4649100891.75,66218,MARUTI
