,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,18741.25,18849.0,18615.0,18648.0,18690.0,18680.9,18721.57,21050.0,16000.0,38875,727801184.25,12006,NESTLEIND
1,2023-02-23,EQ,18659.95,18824.15,18551.0,18674.15,18639.0,18648.0,18707.31,21050.0,16000.0,49268,921671838.0,15250,NESTLEIND
2,2023-02-22,EQ,18882.8,18882.8,18631.15,18848.7,18659.95,18674.15,18750.51,21050.0,16000.0,42080,789021642.5,15552,NESTLEIND
3,2023-02-21,EQ,18881.1,18933.8,18760.0,18823.05,18856.0,18848.7,18846.5,21050.0,16000.0,44954,847225575.3,16024,NESTLEIND
4,2023-02-20,EQ,19030.0,19145.0,18780.0,19021.3,18827.0,18823.05,18862.61,21050.0,16000.0,65311,1231935814.45,19788,NESTLEIND
5,2023-02-17,EQ,19575.05,19575.05,18822.05,19628.85,19002.0,19021.3,19066.81,21050.0,16000.0,188435,3592854646.3,48338,NESTLEIND
6,2023-02-16,EQ,19430.0,19799.85,19140.0,19260.95,19591.95,19628.85,19588.54,21050.0,16000.0,174007,3408542579.0,45002,NESTLEIND
7,2023-02-15,EQ,19075.0,19298.8,18930.05,19082.9,19250.0,19260.95,19122.27,21050.0,16000.0,31998,611874296.85,12149,NESTLEIND
8,2023-02-14,EQ,19114.8,19260.0,19027.5,19026.8,19052.0,19082.9,19151.34,21050.0,16000.0,38589,739030985.55,16047,NESTLEIND
9,2023-02-13,EQ,19095.0,19199.0,18949.95,19023.85,19022.0,19026.8,19015.17,21050.0,16000.0,32489,617783725.35,10504,NESTLEIND
10,2023-02-10,EQ,19010.0,19070.15,18875.05,19000.3,19011.85,19023.85,18985.71,21050.0,16000.0,26383,500900033.65,10531,NESTLEIND
11,2023-02-09,EQ,18999.0,19084.35,18950.85,18994.9,19000.0,19000.3,19011.05,21050.0,16000.0,34734,660329862.8,8462,NESTLEIND
12,2023-02-08,EQ,18950.0,19064.85,18890.15,18978.0,19000.0,18994.9,18990.51,21050.0,16000.0,23267,441852170.3,9123,NESTLEIND
13,2023-02-07,EQ,19024.0,19099.9,18880.0,19021.5,18950.0,18978.0,18978.67,21050.0,16000.0,39873,756736334.35,15210,NESTLEIND
14,2023-02-06,EQ,19000.0,19060.0,18754.3,19004.3,19059.05,19021.5,18948.58,21050.0,16000.0,69134,1309990864.6,21586,NESTLEIND
15,2023-02-03,EQ,19005.4,19054.65,18770.1,18954.6,18950.0,19004.3,18925.21,21050.0,16000.0,55578,1051825086.2,23947,NESTLEIND
16,2023-02-02,EQ,19129.0,19129.0,18850.5,19089.85,18952.2,18954.6,18954.48,21050.0,16000.0,70922,1344289852.8,25207,NESTLEIND
17,2023-02-01,EQ,19100.0,19177.05,18915.25,19017.75,19086.8,19089.85,19063.92,21050.0,16000.0,68805,1311693255.7,20543,NESTLEIND
18,2023-01-31,EQ,19200.0,19200.0,18929.0,19165.9,19030.0,19017.75,19014.34,21050.0,16000.0,117500,2234184681.2,43383,NESTLEIND
19,2023-01-30,EQ,19206.0,19213.65,18978.0,19216.35,19190.0,19165.9,19114.75,21050.0,16000.0,49830,952488137.55,18347,NESTLEIND
20,2023-01-27,EQ,19260.05,19394.0,19026.05,19235.5,19206.0,19216.35,19185.74,21050.0,16000.0,44777,859079802.35,19954,NESTLEIND
21,2023-01-25,EQ,19349.0,19350.5,19150.0,19290.7,19349.0,19235.5,19227.21,21050.0,16000.0,41160,791391761.05,12611,NESTLEIND
22,2023-01-24,EQ,19400.0,19434.0,19148.8,19367.1,19362.1,19290.7,19279.69,21050.0,16000.0,37712,727075840.4,13689,NESTLEIND
23,2023-01-23,EQ,19250.0,19440.0,19151.05,19200.05,19372.0,19367.1,19356.69,21050.0,16000.0,37900,733618473.15,13408,NESTLEIND
24,2023-01-20,EQ,19660.1,19667.85,19149.85,19681.1,19180.1,19200.05,19296.35,21050.0,16000.0,72022,1389761540.4,27956,NESTLEIND
25,2023-01-19,EQ,19823.35,19895.0,19611.65,19823.35,19632.25,19681.1,19687.36,21050.0,16000.0,30999,610288384.25,12930,NESTLEIND
26,2023-01-18,EQ,19949.95,20041.9,19773.35,19945.75,19829.95,19823.35,19864.95,21050.0,16000.0,36399,723064327.95,15692,NESTLEIND
27,2023-01-17,EQ,19735.9,19966.2,19712.7,19735.6,19943.95,19945.75,19895.93,21050.0,16000.0,40187,799557551.5,16500,NESTLEIND
28,2023-01-16,EQ,19840.0,19840.0,19701.0,19784.35,19725.0,19735.6,19744.15,21050.0,16000.0,24265,479091882.45,11225,NESTLEIND
29,2023-01-13,EQ,19950.0,19950.0,19725.05,19873.25,19782.3,19784.35,19821.51,21050.0,16000.0,34771,689213879.7,13004,NESTLEIND
30,2023-01-12,EQ,19758.3,19950.0,19740.0,19758.3,19919.1,19873.25,19841.0,21050.0,16000.0,33062,655983158.45,16544,NESTLEIND
31,2023-01-11,EQ,20070.0,20084.9,19717.4,20023.95,19777.95,19758.3,19804.36,21050.0,16000.0,32510,643839834.7,10907,NESTLEIND
32,2023-01-10,EQ,20063.05,20189.0,19955.05,20085.7,20020.0,20023.95,20053.64,21050.0,16000.0,31668,635058562.8,13227,NESTLEIND
33,2023-01-09,EQ,19934.95,20164.3,19896.5,19885.25,20005.0,20085.7,20057.95,21050.0,16000.0,36144,724974458.2,13307,NESTLEIND
