,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,170.25,171.2,169.4,169.6,170.95,171.0,170.52,182.95,123.65,8338893,1421933991.95,59335,NTPC
1,2023-02-23,EQ,170.95,171.65,169.0,170.5,170.2,169.6,170.31,182.95,123.65,11184381,1904802946.0,64826,NTPC
2,2023-02-22,EQ,172.95,173.2,168.5,173.25,170.55,170.5,170.32,182.95,123.65,12225021,2082156270.6,76260,NTPC
3,2023-02-21,EQ,169.05,174.25,169.05,167.9,173.35,173.25,172.55,182.95,123.65,26883881,4638864180.25,179653,NTPC
4,2023-02-20,EQ,167.7,170.0,167.25,168.05,168.0,167.9,168.55,182.95,123.65,6679716,1125852630.4,40312,NTPC
5,2023-02-17,EQ,167.0,169.65,166.45,167.4,167.7,168.05,168.58,182.95,123.65,10182025,1716534443.2,42159,NTPC
6,2023-02-16,EQ,166.0,167.7,165.6,165.8,167.3,167.4,166.6,182.95,123.65,7923121,1319991874.9,45101,NTPC
7,2023-02-15,EQ,166.0,166.5,164.2,166.05,165.8,165.8,165.36,182.95,123.65,11855678,1960460163.85,55971,NTPC
8,2023-02-14,EQ,168.5,168.5,164.85,167.85,166.25,166.05,165.82,182.95,123.65,12916373,2141852290.85,63823,NTPC
9,2023-02-13,EQ,165.1,168.2,164.8,165.0,167.75,167.85,166.67,182.95,123.65,9829152,1638221414.25,58258,NTPC
10,2023-02-10,EQ,165.1,165.8,164.1,166.0,165.15,165.0,164.83,182.95,123.65,9468345,1560620249.85,62806,NTPC
11,2023-02-09,EQ,165.95,166.65,164.65,165.5,166.1,166.0,165.93,182.95,123.65,5507650,913892708.6,38307,NTPC
12,2023-02-08,EQ,165.6,165.75,164.1,165.25,165.55,165.5,165.08,182.95,123.65,8839686,1459212899.8,43294,NTPC
13,2023-02-07,EQ,166.5,167.7,164.3,166.05,165.0,165.25,165.54,182.95,123.65,8699758,1440121941.35,53285,NTPC
14,2023-02-06,EQ,164.5,166.85,164.05,165.55,166.2,166.05,165.83,182.95,123.65,7588936,1258470312.75,58184,NTPC
15,2023-02-03,EQ,164.5,166.45,162.55,166.9,164.9,165.55,164.37,182.95,123.65,11730514,1928141223.15,61691,NTPC
16,2023-02-02,EQ,170.0,170.85,165.5,170.0,167.45,166.9,166.73,182.95,123.65,19898080,3317597856.2,110949,NTPC
17,2023-02-01,EQ,172.25,173.8,167.2,171.15,169.85,170.0,171.38,182.95,123.65,13878016,2378421840.25,84507,NTPC
18,2023-01-31,EQ,169.85,172.65,167.35,168.85,170.85,171.15,170.47,182.95,123.65,24990701,4260185012.9,104755,NTPC
19,2023-01-30,EQ,167.6,172.25,167.1,166.3,168.85,168.85,169.43,182.95,123.65,30768122,5213168339.95,133462,NTPC
20,2023-01-27,EQ,166.25,167.05,164.0,165.9,165.9,166.3,165.56,182.95,123.65,13756671,2277585578.8,90417,NTPC
