,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,212.4,215.4,212.4,213.25,214.95,215.05,214.06,248.35,186.35,7356623,1574736970.65,42582,POWERGRID
1,2023-02-23,EQ,215.0,215.9,212.6,214.65,213.2,213.25,213.97,248.35,186.35,7759406,1660306098.8,62914,POWERGRID
2,2023-02-22,EQ,216.0,217.3,213.0,217.2,214.95,214.65,214.41,248.35,186.35,6846495,1467962129.7,72069,POWERGRID
3,2023-02-21,EQ,217.55,218.75,216.05,215.8,217.6,217.2,217.4,248.35,186.35,5026076,1092680057.85,57949,POWERGRID
4,2023-02-20,EQ,215.6,217.0,214.2,213.8,216.15,215.8,215.8,248.35,186.35,5131438,1107346856.95,52334,POWERGRID
5,2023-02-17,EQ,214.0,215.9,213.0,214.6,213.55,213.8,214.1,248.35,186.35,4868362,1042316063.95,39272,POWERGRID
6,2023-02-16,EQ,216.9,216.9,214.0,214.5,214.85,214.6,214.7,248.35,186.35,2972337,638160242.05,36227,POWERGRID
7,2023-02-15,EQ,213.25,215.2,213.0,215.0,214.4,214.5,213.92,248.35,186.35,6080623,1300791588.05,47980,POWERGRID
8,2023-02-14,EQ,217.05,217.05,212.75,216.0,215.15,215.0,214.13,248.35,186.35,4508011,965308166.5,55718,POWERGRID
9,2023-02-13,EQ,214.1,216.5,214.0,214.1,215.85,216.0,215.38,248.35,186.35,5782600,1245465401.85,52741,POWERGRID
10,2023-02-10,EQ,211.9,214.45,211.85,212.85,213.65,214.1,213.7,248.35,186.35,8169120,1745721528.75,55941,POWERGRID
11,2023-02-09,EQ,212.0,213.95,212.0,212.0,212.85,212.85,213.03,248.35,186.35,5258312,1120163393.35,51834,POWERGRID
12,2023-02-08,EQ,212.85,213.25,210.45,216.85,212.4,212.0,212.08,248.35,186.35,9324540,1977509225.8,70236,POWERGRID
13,2023-02-07,EQ,218.0,218.2,215.1,217.05,217.3,216.85,216.54,248.35,186.35,7526645,1629823089.15,45421,POWERGRID
14,2023-02-06,EQ,213.45,217.35,213.05,214.85,217.3,217.05,215.71,248.35,186.35,5211151,1124083293.95,49948,POWERGRID
15,2023-02-03,EQ,213.2,215.15,210.4,212.7,215.0,214.85,212.88,248.35,186.35,8111765,1726796213.15,72107,POWERGRID
16,2023-02-02,EQ,216.0,217.1,211.35,216.55,212.85,212.7,213.67,248.35,186.35,9615498,2054516141.25,65796,POWERGRID
17,2023-02-01,EQ,225.0,225.0,213.6,216.65,216.0,216.55,218.47,248.35,186.35,15184777,3317431102.75,95846,POWERGRID
18,2023-01-31,EQ,212.6,220.2,212.15,211.85,218.0,216.65,217.19,248.35,186.35,15748160,3420315255.9,99268,POWERGRID
19,2023-01-30,EQ,218.0,218.85,210.55,219.25,212.05,211.85,212.18,248.35,186.35,18216133,3865163494.05,126127,POWERGRID
20,2023-01-27,EQ,219.3,221.45,217.0,219.4,219.2,219.25,218.62,248.35,186.35,7843953,1714854037.65,74997,POWERGRID
21,2023-01-25,EQ,220.7,221.25,217.8,220.95,218.85,219.4,219.3,248.35,186.35,4342749,952371457.15,52017,POWERGRID
22,2023-01-24,EQ,226.25,226.6,220.5,225.1,220.9,220.95,221.98,248.35,186.35,4613170,1024014662.05,52228,POWERGRID
23,2023-01-23,EQ,224.0,228.3,223.55,223.25,224.55,225.1,226.33,248.35,186.35,10795208,2443278542.2,75864,POWERGRID
24,2023-01-20,EQ,221.0,223.9,221.0,220.75,223.35,223.25,223.02,248.35,186.35,7584484,1691490031.65,60139,POWERGRID
