,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2372.0,2396.15,2368.0,2367.5,2387.9,2383.7,2381.54,2856.15,2180.0,4353814,10368796539.4,157064,RELIANCE
1,2023-02-23,EQ,2378.0,2394.75,2361.35,2378.9,2366.5,2367.5,2377.1,2856.15,2180.0,4546655,10807833963.95,176202,RELIANCE
2,2023-02-22,EQ,2425.95,2430.0,2375.05,2434.1,2377.0,2378.9,2395.74,2856.15,2180.0,5087729,12188888236.7,204778,RELIANCE
3,2023-02-21,EQ,2424.0,2446.8,2412.35,2414.4,2435.2,2434.1,2428.09,2856.15,2180.0,6143298,14916458652.9,190616,RELIANCE
4,2023-02-20,EQ,2445.0,2449.75,2410.1,2440.2,2414.7,2414.4,2429.58,2856.15,2180.0,4078245,9908416474.3,169244,RELIANCE
5,2023-02-17,EQ,2420.0,2447.5,2410.6,2430.05,2438.0,2440.2,2433.17,2856.15,2180.0,5450092,13260980980.85,172321,RELIANCE
6,2023-02-16,EQ,2449.45,2463.8,2425.05,2431.95,2427.5,2430.05,2445.33,2856.15,2180.0,7967558,19483314957.8,320609,RELIANCE
7,2023-02-15,EQ,2376.0,2437.2,2373.0,2378.1,2435.05,2431.95,2417.55,2856.15,2180.0,15461902,37379921255.85,338567,RELIANCE
8,2023-02-14,EQ,2329.95,2381.9,2323.65,2323.35,2380.0,2378.1,2365.58,2856.15,2180.0,6609564,15635420227.95,227277,RELIANCE
9,2023-02-13,EQ,2340.2,2350.0,2313.55,2336.65,2324.6,2323.35,2323.49,2856.15,2180.0,4777674,11100881219.9,151763,RELIANCE
10,2023-02-10,EQ,2354.9,2354.9,2321.3,2356.05,2336.5,2336.65,2331.77,2856.15,2180.0,4979789,11611724209.05,188258,RELIANCE
11,2023-02-09,EQ,2353.45,2370.85,2334.0,2351.95,2353.6,2356.05,2354.91,2856.15,2180.0,6079228,14316005705.25,264097,RELIANCE
12,2023-02-08,EQ,2313.0,2359.9,2307.0,2305.9,2349.65,2351.95,2344.97,2856.15,2180.0,9765490,22899822662.1,283018,RELIANCE
13,2023-02-07,EQ,2312.0,2327.4,2293.0,2311.45,2304.3,2305.9,2312.27,2856.15,2180.0,6985001,16151225520.2,281342,RELIANCE
14,2023-02-06,EQ,2315.0,2321.0,2305.8,2329.0,2312.9,2311.45,2311.92,2856.15,2180.0,6847679,15831318495.45,293805,RELIANCE
15,2023-02-03,EQ,2349.0,2349.0,2293.0,2326.95,2330.0,2329.0,2318.88,2856.15,2180.0,11398850,26432510094.95,406488,RELIANCE
