,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1136.1,1142.35,1119.2,1135.4,1126.75,1122.05,1129.89,1340.35,1003.5,973799,1100282061.05,35405,SBILIFE
1,2023-02-23,EQ,1136.85,1141.9,1123.85,1131.15,1137.0,1135.4,1133.55,1340.35,1003.5,768179,870766646.85,49343,SBILIFE
2,2023-02-22,EQ,1148.9,1148.95,1125.15,1150.35,1132.05,1131.15,1131.95,1340.35,1003.5,944068,1068633594.0,44880,SBILIFE
3,2023-02-21,EQ,1164.2,1168.0,1144.2,1158.4,1148.8,1150.35,1151.39,1340.35,1003.5,610755,703215886.0,36692,SBILIFE
4,2023-02-20,EQ,1144.0,1170.65,1141.15,1149.7,1156.65,1158.4,1157.22,1340.35,1003.5,488052,564784672.85,23371,SBILIFE
5,2023-02-17,EQ,1175.6,1175.6,1137.25,1174.1,1143.75,1149.7,1152.55,1340.35,1003.5,909951,1048759826.2,36136,SBILIFE
6,2023-02-16,EQ,1186.3,1186.3,1169.55,1180.35,1174.0,1174.1,1175.31,1340.35,1003.5,356750,419291053.1,24540,SBILIFE
7,2023-02-15,EQ,1160.9,1183.85,1150.0,1161.7,1177.1,1180.35,1166.81,1340.35,1003.5,1243115,1450475623.95,41663,SBILIFE
8,2023-02-14,EQ,1178.0,1181.45,1155.1,1179.1,1160.9,1161.7,1164.68,1340.35,1003.5,990530,1153654068.25,51030,SBILIFE
9,2023-02-13,EQ,1180.2,1187.95,1173.05,1184.5,1178.55,1179.1,1178.07,1340.35,1003.5,812659,957371430.05,43452,SBILIFE
10,2023-02-10,EQ,1179.85,1187.5,1167.05,1180.45,1181.85,1184.5,1180.12,1340.35,1003.5,1655228,1953362308.7,52557,SBILIFE
11,2023-02-09,EQ,1170.6,1185.0,1162.75,1164.5,1182.0,1180.45,1176.07,1340.35,1003.5,2186484,2571457863.2,61824,SBILIFE
12,2023-02-08,EQ,1140.0,1172.0,1135.15,1131.75,1164.2,1164.5,1159.23,1340.35,1003.5,3265863,3785879052.85,144422,SBILIFE
13,2023-02-07,EQ,1143.0,1147.85,1124.45,1138.4,1135.0,1131.75,1133.46,1340.35,1003.5,1741642,1974073431.1,95552,SBILIFE
14,2023-02-06,EQ,1127.2,1146.85,1115.0,1138.05,1142.45,1138.4,1131.54,1340.35,1003.5,2909587,3292311863.1,120041,SBILIFE
15,2023-02-03,EQ,1115.0,1145.65,1115.0,1107.5,1136.5,1138.05,1127.9,1340.35,1003.5,4061171,4580603447.35,195589,SBILIFE
16,2023-02-02,EQ,1090.2,1155.0,1088.75,1109.4,1111.0,1107.5,1115.88,1340.35,1003.5,8566734,9559418133.6,252076,SBILIFE
17,2023-02-01,EQ,1219.55,1228.75,1068.85,1219.55,1114.5,1109.4,1136.26,1340.35,1003.5,8470232,9624381116.3,267010,SBILIFE
18,2023-01-31,EQ,1243.7,1243.7,1212.55,1233.45,1220.0,1219.55,1220.52,1340.35,1003.5,1760628,2148877053.3,93114,SBILIFE
19,2023-01-30,EQ,1222.0,1244.45,1215.6,1250.25,1236.35,1233.45,1227.27,1340.35,1003.5,1694822,2080001830.5,89907,SBILIFE
20,2023-01-27,EQ,1263.7,1291.5,1230.0,1257.45,1245.05,1250.25,1247.99,1340.35,1003.5,1164597,1453408925.45,94501,SBILIFE
21,2023-01-25,EQ,1273.2,1278.8,1250.05,1273.25,1255.0,1257.45,1257.38,1340.35,1003.5,599832,754216345.75,41149,SBILIFE
22,2023-01-24,EQ,1296.0,1301.0,1270.2,1295.4,1272.65,1273.25,1280.1,1340.35,1003.5,657428,841576752.55,58632,SBILIFE
23,2023-01-23,EQ,1285.0,1318.15,1280.0,1296.1,1295.7,1295.4,1295.2,1340.35,1003.5,1367408,1771073397.1,76966,SBILIFE
24,2023-01-20,EQ,1324.05,1325.95,1292.35,1323.1,1296.6,1296.1,1302.46,1340.35,1003.5,966855,1259287611.15,67594,SBILIFE
25,2023-01-19,EQ,1313.0,1330.0,1303.6,1310.65,1320.5,1323.1,1321.96,1340.35,1003.5,1189082,1571913092.3,81089,SBILIFE
26,2023-01-18,EQ,1309.0,1322.0,1302.15,1298.45,1310.0,1310.65,1311.43,1340.35,1003.5,1078873,1414868081.9,66944,SBILIFE
27,2023-01-17,EQ,1304.7,1310.4,1294.5,1300.9,1299.0,1298.45,1300.54,1340.35,1003.5,895667,1164849560.45,43444,SBILIFE
28,2023-01-16,EQ,1319.55,1322.75,1295.0,1312.95,1300.0,1300.9,1305.88,1340.35,1003.5,600742,784495232.85,33384,SBILIFE
29,2023-01-13,EQ,1319.0,1326.0,1306.0,1315.7,1307.0,1312.95,1316.46,1340.35,1003.5,1214977,1599473514.75,57134,SBILIFE
30,2023-01-12,EQ,1291.3,1320.0,1291.3,1291.3,1316.0,1315.7,1308.03,1340.35,1003.5,1377949,1802394539.8,73178,SBILIFE
31,2023-01-11,EQ,1309.15,1309.15,1287.35,1302.6,1287.7,1291.3,1295.96,1340.35,1003.5,652049,845031396.65,39765,SBILIFE
32,2023-01-10,EQ,1306.35,1313.65,1297.9,1306.35,1301.3,1302.6,1303.75,1340.35,1003.5,1000059,1303828072.55,72671,SBILIFE
33,2023-01-09,EQ,1275.4,1313.9,1271.15,1269.05,1310.2,1306.35,1295.8,1340.35,1003.5,1432882,1856734283.95,74049,SBILIFE
34,2023-01-06,EQ,1270.95,1287.35,1266.5,1267.65,1270.0,1269.05,1277.61,1340.35,1003.5,1675874,2141114239.35,71831,SBILIFE
35,2023-01-05,EQ,1260.65,1274.55,1255.05,1259.05,1272.0,1267.65,1266.14,1340.35,1003.5,878852,1112752611.8,55984,SBILIFE
36,2023-01-04,EQ,1268.35,1282.3,1253.05,1268.4,1260.65,1259.05,1270.19,1340.35,1003.5,1073081,1363021988.4,60567,SBILIFE
37,2023-01-03,EQ,1244.7,1275.0,1226.4,1240.05,1267.55,1268.4,1258.24,1340.35,1003.5,1871263,2354498676.8,69358,SBILIFE
38,2023-01-02,EQ,1230.0,1247.65,1222.0,1231.3,1243.0,1240.05,1232.94,1340.35,1003.5,703923,867894784.1,29133,SBILIFE
39,2022-12-30,EQ,1262.0,1263.8,1228.8,1258.6,1233.5,1231.3,1238.65,1340.35,1003.5,1052741,1303972628.7,74435,SBILIFE
40,2022-12-29,EQ,1238.0,1262.8,1229.05,1242.05,1260.0,1258.6,1246.67,1340.35,1003.5,678487,845848396.8,31837,SBILIFE
41,2022-12-28,EQ,1241.0,1249.9,1232.1,1241.05,1241.9,1242.05,1241.92,1340.35,1003.5,376439,467505538.65,41391,SBILIFE
42,2022-12-27,EQ,1243.5,1254.75,1235.1,1243.3,1242.5,1241.05,1244.16,1340.35,1003.5,471890,587106977.95,23515,SBILIFE
43,2022-12-26,EQ,1222.95,1249.35,1205.0,1224.6,1236.1,1243.3,1239.61,1340.35,1003.5,567165,703062288.7,30901,SBILIFE
44,2022-12-23,EQ,1239.3,1248.0,1216.75,1244.75,1225.0,1224.6,1228.49,1340.35,1003.5,877135,1077554420.5,48231,SBILIFE
45,2022-12-22,EQ,1234.4,1249.0,1229.15,1234.35,1245.0,1244.75,1240.8,1340.35,1003.5,1176517,1459820783.8,53761,SBILIFE
46,2022-12-21,EQ,1231.05,1244.8,1221.6,1231.25,1234.25,1234.35,1234.71,1340.35,1003.5,1281437,1582207386.5,59492,SBILIFE
47,2022-12-20,EQ,1260.0,1269.0,1229.05,1267.5,1229.4,1231.25,1236.08,1340.35,1003.5,1478618,1827689780.25,62753,SBILIFE
48,2022-12-19,EQ,1254.2,1270.9,1251.35,1254.15,1266.05,1267.5,1263.62,1340.35,1003.5,378502,478282309.25,39061,SBILIFE
49,2022-12-16,EQ,1263.0,1278.75,1250.6,1273.5,1256.05,1254.15,1263.14,1340.35,1003.5,722024,912020639.1,39469,SBILIFE
50,2022-12-15,EQ,1274.95,1295.0,1268.65,1269.75,1274.0,1273.5,1283.55,1340.35,1003.5,1303760,1673442944.45,54640,SBILIFE
51,2022-12-14,EQ,1285.0,1286.0,1266.6,1277.8,1272.0,1269.75,1275.61,1340.35,1003.5,609946,778053980.8,23481,SBILIFE
52,2022-12-13,EQ,1265.5,1280.35,1259.25,1263.2,1275.0,1277.8,1271.91,1340.35,1003.5,598044,760657111.05,28358,SBILIFE
53,2022-12-12,EQ,1268.95,1273.0,1253.05,1269.65,1260.0,1263.2,1265.61,1340.35,1003.5,498780,631261343.75,52427,SBILIFE
54,2022-12-09,EQ,1277.0,1277.0,1257.05,1266.85,1268.65,1269.65,1266.39,1340.35,1003.5,679420,860410005.4,48721,SBILIFE
55,2022-12-08,EQ,1242.0,1268.75,1242.0,1262.05,1268.0,1266.85,1256.83,1340.35,1003.5,608199,764399734.65,29822,SBILIFE
56,2022-12-07,EQ,1285.9,1296.6,1259.0,1285.1,1259.0,1262.05,1276.0,1340.35,1003.5,636553,812239876.85,33031,SBILIFE
57,2022-12-06,EQ,1286.0,1313.5,1281.55,1284.55,1282.55,1285.1,1294.82,1340.35,1003.5,1991151,2578183214.1,77458,SBILIFE
58,2022-12-05,EQ,1298.1,1298.1,1273.65,1295.15,1283.85,1284.55,1282.47,1340.35,1003.5,684421,877750113.75,27972,SBILIFE
59,2022-12-02,EQ,1292.0,1299.95,1265.0,1290.75,1295.0,1295.15,1283.2,1340.35,1003.5,1614314,2071492597.65,86958,SBILIFE
60,2022-12-01,EQ,1290.0,1298.15,1276.2,1282.9,1294.3,1290.75,1286.23,1340.35,1003.5,949604,1221405771.6,48383,SBILIFE
61,2022-11-30,EQ,1258.35,1289.7,1252.75,1258.4,1289.05,1282.9,1275.95,1340.35,1003.5,1401332,1788026467.5,46946,SBILIFE
62,2022-11-29,EQ,1253.5,1273.3,1247.95,1253.5,1256.5,1258.4,1261.95,1340.35,1003.5,1070183,1350520961.6,63868,SBILIFE
63,2022-11-28,EQ,1230.0,1269.5,1227.0,1235.25,1258.0,1253.5,1253.54,1340.35,1003.5,1073327,1345462877.45,44875,SBILIFE
64,2022-11-25,EQ,1248.2,1254.95,1229.1,1240.65,1237.0,1235.25,1236.24,1340.35,1003.5,1429364,1767031469.15,62695,SBILIFE
65,2022-11-24,EQ,1230.0,1245.35,1220.25,1226.3,1244.6,1240.65,1235.89,1340.35,1003.5,1717980,2123227594.95,34130,SBILIFE
66,2022-11-23,EQ,1234.95,1235.0,1217.15,1229.05,1230.0,1226.3,1226.48,1340.35,1003.5,880563,1079988962.5,35940,SBILIFE
67,2022-11-22,EQ,1232.7,1235.95,1219.65,1226.6,1232.0,1229.05,1229.02,1340.35,1003.5,750489,922367705.5,31787,SBILIFE
68,2022-11-21,EQ,1230.1,1248.9,1205.5,1242.75,1227.5,1226.6,1218.85,1340.35,1003.5,1040107,1267739351.4,38541,SBILIFE
69,2022-11-18,EQ,1254.35,1261.0,1237.65,1254.35,1243.25,1242.75,1245.74,1340.35,1003.5,1253218,1561185567.8,35620,SBILIFE
70,2022-11-17,EQ,1255.5,1261.15,1244.0,1254.9,1257.0,1254.35,1253.15,1340.35,1003.5,796479,998106570.8,49091,SBILIFE
71,2022-11-16,EQ,1260.0,1265.55,1246.3,1259.3,1255.85,1254.9,1251.99,1340.35,1003.5,1280120,1602692153.6,72253,SBILIFE
