,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,524.2,527.5,517.6,521.0,521.5,521.05,522.25,629.55,425.0,12253035,6399175579.85,174036,SBIN
1,2023-02-23,EQ,516.95,524.0,511.35,516.35,522.85,521.0,518.82,629.55,425.0,15535085,8059838424.75,209593,SBIN
2,2023-02-22,EQ,520.75,521.9,512.5,523.45,516.75,516.35,516.6,629.55,425.0,14763050,7626522439.5,279932,SBIN
3,2023-02-21,EQ,527.1,528.95,522.4,525.15,523.8,523.45,525.46,629.55,425.0,10223218,5371849834.55,201064,SBIN
4,2023-02-20,EQ,532.0,533.95,522.15,531.0,525.45,525.15,526.99,629.55,425.0,12570032,6624234423.9,207013,SBIN
5,2023-02-17,EQ,538.5,539.65,527.75,540.1,530.65,531.0,532.32,629.55,425.0,14192008,7554622361.75,220159,SBIN
6,2023-02-16,EQ,546.85,546.85,538.5,542.25,539.3,540.1,542.25,629.55,425.0,12767016,6922854433.1,219926,SBIN
7,2023-02-15,EQ,540.0,544.65,536.8,540.85,542.8,542.25,541.31,629.55,425.0,12796579,6926957648.5,207687,SBIN
8,2023-02-14,EQ,539.95,544.6,530.75,537.5,541.0,540.85,536.92,629.55,425.0,18559909,9965143466.4,221342,SBIN
9,2023-02-13,EQ,554.0,556.9,533.3,553.05,537.1,537.5,539.69,629.55,425.0,18488732,9978135518.8,248043,SBIN
10,2023-02-10,EQ,546.5,557.25,546.5,550.8,552.9,553.05,553.81,629.55,425.0,13824475,7656154646.75,179516,SBIN
11,2023-02-09,EQ,552.0,552.0,542.8,549.75,551.0,550.8,548.33,629.55,425.0,15061047,8258388340.35,147809,SBIN
12,2023-02-08,EQ,550.0,554.5,545.5,547.1,550.75,549.75,549.76,629.55,425.0,15502847,8522903102.05,244248,SBIN
13,2023-02-07,EQ,548.0,551.4,541.05,545.4,546.2,547.1,546.83,629.55,425.0,16195947,8856378573.7,343935,SBIN
14,2023-02-06,EQ,558.8,558.8,536.55,544.2,543.9,545.4,545.24,629.55,425.0,25338586,13815625569.5,266976,SBIN
15,2023-02-03,EQ,536.0,545.95,519.15,528.1,545.7,544.2,535.23,629.55,425.0,32317232,17297009476.05,444091,SBIN
16,2023-02-02,EQ,520.2,532.65,502.5,527.35,532.1,528.1,521.91,629.55,425.0,39287056,20504207140.65,471242,SBIN
17,2023-02-01,EQ,561.4,565.0,499.35,553.5,527.0,527.35,541.41,629.55,425.0,38218810,20692138679.1,498247,SBIN
18,2023-01-31,EQ,545.0,557.0,537.85,538.2,556.95,553.5,550.83,629.55,425.0,21911943,12069723500.85,284762,SBIN
19,2023-01-30,EQ,536.0,554.35,525.2,539.95,541.25,538.2,536.97,629.55,425.0,40797825,21907160847.25,590951,SBIN
20,2023-01-27,EQ,568.0,568.55,532.25,568.7,542.0,539.95,548.08,629.55,425.0,40163464,22012948569.6,501251,SBIN
21,2023-01-25,EQ,595.85,595.85,567.4,594.35,568.5,568.7,574.28,629.55,425.0,25686294,14751042028.8,441882,SBIN
22,2023-01-24,EQ,603.5,604.6,593.05,600.45,593.95,594.35,597.94,629.55,425.0,7609623,4550101925.85,143693,SBIN
23,2023-01-23,EQ,598.5,601.75,592.95,592.2,601.0,600.45,599.43,629.55,425.0,6604469,3958919244.8,122483,SBIN
24,2023-01-20,EQ,593.8,596.6,590.8,589.85,592.95,592.2,593.93,629.55,425.0,6750607,4009374692.95,114106,SBIN
