,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,970.6,983.35,963.7,972.5,968.3,970.5,972.71,1072.15,789.9,1823835,1774060168.2,114052,SUNPHARMA
1,2023-02-23,EQ,973.0,977.25,964.05,968.55,972.95,972.5,971.42,1072.15,789.9,2835983,2754934206.3,105316,SUNPHARMA
2,2023-02-22,EQ,971.55,978.0,966.0,971.6,967.0,968.55,971.87,1072.15,789.9,2605147,2531868459.45,112440,SUNPHARMA
3,2023-02-21,EQ,990.0,990.8,969.15,984.4,973.4,971.6,975.84,1072.15,789.9,1771813,1729006961.15,65844,SUNPHARMA
4,2023-02-20,EQ,990.15,991.65,974.95,984.5,986.0,984.4,983.44,1072.15,789.9,2157871,2122136783.5,49694,SUNPHARMA
5,2023-02-17,EQ,992.2,996.5,982.0,995.15,983.0,984.5,989.57,1072.15,789.9,1847026,1827757013.35,56857,SUNPHARMA
6,2023-02-16,EQ,998.9,1010.0,991.2,995.4,993.45,995.15,1000.1,1072.15,789.9,1678410,1678570146.65,50694,SUNPHARMA
7,2023-02-15,EQ,1002.0,1006.4,990.55,1006.75,995.0,995.4,996.8,1072.15,789.9,2251350,2244151608.95,99270,SUNPHARMA
8,2023-02-14,EQ,1018.0,1018.05,1003.25,1015.25,1009.55,1006.75,1007.76,1072.15,789.9,1832842,1847056702.9,67629,SUNPHARMA
9,2023-02-13,EQ,1008.25,1017.35,1002.0,1006.6,1015.0,1015.25,1011.16,1072.15,789.9,1355766,1370890955.4,62559,SUNPHARMA
10,2023-02-10,EQ,1006.8,1014.35,996.7,1006.8,1006.7,1006.6,1003.89,1072.15,789.9,1530150,1536097726.8,61210,SUNPHARMA
11,2023-02-09,EQ,1003.0,1021.2,1001.4,1013.0,1007.0,1006.8,1008.57,1072.15,789.9,1474402,1487037563.05,38912,SUNPHARMA
12,2023-02-08,EQ,1004.8,1016.9,997.4,1006.4,1014.9,1013.0,1006.47,1072.15,789.9,1815142,1826882467.2,72688,SUNPHARMA
13,2023-02-07,EQ,1026.25,1028.5,1002.0,1023.35,1006.8,1006.4,1008.58,1072.15,789.9,2360600,2380862859.2,77352,SUNPHARMA
14,2023-02-06,EQ,1020.0,1025.95,1012.75,1028.15,1023.0,1023.35,1019.38,1072.15,789.9,1215157,1238704755.85,46295,SUNPHARMA
15,2023-02-03,EQ,1007.0,1032.45,1001.65,1007.6,1027.0,1028.15,1019.25,1072.15,789.9,2332076,2376975684.7,83676,SUNPHARMA
16,2023-02-02,EQ,1009.95,1015.7,993.0,1014.9,1005.2,1007.6,1004.54,1072.15,789.9,2117181,2126792888.0,80409,SUNPHARMA
17,2023-02-01,EQ,1036.45,1043.95,1005.1,1034.5,1015.0,1014.9,1013.55,1072.15,789.9,4717887,4781808031.3,170127,SUNPHARMA
18,2023-01-31,EQ,1055.0,1060.3,1026.05,1051.7,1037.05,1034.5,1036.79,1072.15,789.9,5265462,5459193190.45,169272,SUNPHARMA
19,2023-01-30,EQ,1041.95,1072.15,1040.2,1043.4,1053.35,1051.7,1055.61,1072.15,789.9,3320916,3505585712.65,100859,SUNPHARMA
20,2023-01-27,EQ,1044.95,1051.0,1034.0,1040.05,1038.0,1043.4,1041.93,1070.95,784.8,3448013,3592574126.65,77941,SUNPHARMA
21,2023-01-25,EQ,1030.3,1045.65,1030.3,1040.7,1045.65,1040.05,1036.93,1070.95,784.8,1753333,1818086719.5,71633,SUNPHARMA
22,2023-01-24,EQ,1050.0,1050.95,1034.55,1049.3,1040.0,1040.7,1040.61,1070.95,784.8,2088556,2173381850.05,65750,SUNPHARMA
23,2023-01-23,EQ,1035.0,1054.9,1022.5,1030.35,1050.1,1049.3,1045.39,1070.95,784.8,2106604,2202226115.05,71864,SUNPHARMA
24,2023-01-20,EQ,1044.05,1047.5,1016.85,1040.55,1032.0,1030.35,1029.01,1070.95,784.8,2963571,3049530869.9,93677,SUNPHARMA
25,2023-01-19,EQ,1038.1,1044.0,1036.0,1040.1,1039.4,1040.55,1040.39,1070.95,784.8,824263,857555579.5,43413,SUNPHARMA
26,2023-01-18,EQ,1032.7,1041.5,1030.15,1032.7,1038.1,1040.1,1036.95,1070.95,784.8,1238451,1284215816.0,47546,SUNPHARMA
27,2023-01-17,EQ,1035.45,1036.0,1026.8,1035.45,1033.3,1032.7,1030.9,1070.95,784.8,1245848,1284339974.25,56406,SUNPHARMA
28,2023-01-16,EQ,1031.6,1039.5,1026.1,1031.6,1036.0,1035.45,1033.81,1070.95,784.8,1437532,1486130739.85,48131,SUNPHARMA
29,2023-01-13,EQ,1031.15,1035.0,1020.15,1032.85,1031.05,1031.6,1029.06,1070.95,784.8,1491367,1534713373.4,86162,SUNPHARMA
30,2023-01-12,EQ,1031.95,1035.45,1021.15,1028.0,1031.55,1032.85,1028.36,1070.95,784.8,1641398,1687947431.65,87399,SUNPHARMA
31,2023-01-11,EQ,1012.0,1033.05,1008.35,1011.85,1026.6,1028.0,1024.19,1070.95,784.8,3258157,3336979686.25,117593,SUNPHARMA
32,2023-01-10,EQ,1016.0,1024.0,1010.05,1016.85,1012.95,1011.85,1016.83,1070.95,784.8,1607654,1634714071.8,82068,SUNPHARMA
33,2023-01-09,EQ,1015.0,1023.35,1010.5,1008.7,1016.15,1016.85,1017.09,1070.95,784.8,1567316,1594105703.25,119261,SUNPHARMA
34,2023-01-06,EQ,1015.0,1021.8,1004.1,1016.2,1007.0,1008.7,1015.69,1070.95,784.8,1773153,1800969070.8,54432,SUNPHARMA
35,2023-01-05,EQ,1009.1,1021.9,1008.25,1004.1,1014.5,1016.2,1015.35,1070.95,784.8,2246533,2281022996.6,72404,SUNPHARMA
36,2023-01-04,EQ,1012.0,1025.9,1000.75,1009.1,1001.0,1004.1,1013.7,1070.95,784.8,2573870,2609121178.85,75259,SUNPHARMA
37,2023-01-03,EQ,993.0,1012.8,988.0,997.0,1010.0,1009.1,999.17,1070.95,784.8,1810117,1808621778.45,61449,SUNPHARMA
38,2023-01-02,EQ,1001.4,1001.4,987.2,1001.4,997.0,997.0,996.53,1070.95,784.8,1616012,1610403828.4,58069,SUNPHARMA
39,2022-12-30,EQ,1004.0,1006.8,993.75,1000.55,1000.0,1001.4,999.91,1070.95,781.15,1629162,1629013977.85,53419,SUNPHARMA
40,2022-12-29,EQ,998.55,1004.7,989.1,995.0,1003.95,1000.55,996.89,1070.95,781.15,2162872,2156147909.5,68895,SUNPHARMA
41,2022-12-28,EQ,998.9,1010.6,993.0,1000.15,994.95,995.0,999.4,1070.95,781.15,1686511,1685497697.25,55969,SUNPHARMA
42,2022-12-27,EQ,1000.25,1015.75,993.0,1000.05,1000.0,1000.15,1003.24,1070.95,781.15,1870105,1876170668.1,49722,SUNPHARMA
43,2022-12-26,EQ,1010.0,1011.8,988.7,1001.55,1000.0,1000.05,998.65,1070.95,781.15,2307374,2304256948.7,89234,SUNPHARMA
44,2022-12-23,EQ,1012.0,1027.85,998.45,1010.65,1004.0,1001.55,1014.24,1070.95,753.05,3612433,3663883446.65,111965,SUNPHARMA
45,2022-12-22,EQ,1019.95,1034.05,1007.05,1005.6,1015.15,1010.65,1019.4,1070.95,753.05,5163443,5263604772.65,122835,SUNPHARMA
46,2022-12-21,EQ,992.0,1009.5,988.4,988.35,1009.45,1005.6,1001.12,1070.95,753.05,2043630,2045923082.95,63707,SUNPHARMA
47,2022-12-20,EQ,987.95,990.65,979.4,987.95,986.4,988.35,984.54,1070.95,753.05,1352408,1331494858.2,54024,SUNPHARMA
48,2022-12-19,EQ,987.6,993.15,973.7,993.65,987.45,987.95,985.45,1070.95,753.05,1547342,1524829733.05,49080,SUNPHARMA
49,2022-12-16,EQ,998.15,1005.1,987.6,1002.2,996.45,993.65,994.89,1070.95,745.3,2618988,2605600089.4,56541,SUNPHARMA
50,2022-12-15,EQ,1001.0,1007.0,998.1,1000.25,1001.0,1002.2,1002.08,1070.95,745.3,1304660,1307371471.1,43721,SUNPHARMA
51,2022-12-14,EQ,999.0,1003.0,994.55,994.65,1000.1,1000.25,999.1,1070.95,745.3,1570685,1569276775.75,48801,SUNPHARMA
52,2022-12-13,EQ,980.0,996.35,979.8,987.4,994.1,994.65,989.18,1070.95,745.3,1863361,1843201578.8,65276,SUNPHARMA
