,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,717.0,721.35,713.6,716.1,717.0,716.15,716.65,861.15,650.2,1040351,745570894.65,29640,TATACONSUM
1,2023-02-23,EQ,722.95,724.95,715.0,721.45,715.5,716.1,717.93,861.15,650.2,1165270,836586051.85,35840,TATACONSUM
2,2023-02-22,EQ,726.0,734.0,719.85,726.2,722.9,721.45,724.26,861.15,650.2,1690647,1224463547.95,47937,TATACONSUM
3,2023-02-21,EQ,725.45,730.0,722.05,721.8,726.3,726.2,726.17,861.15,650.2,673449,489035230.75,27255,TATACONSUM
4,2023-02-20,EQ,726.95,729.45,718.6,726.25,722.0,721.8,720.71,861.15,650.2,1316763,948997739.6,33996,TATACONSUM
5,2023-02-17,EQ,731.2,734.8,724.15,732.6,725.0,726.25,729.34,861.15,650.2,624402,455401126.85,19656,TATACONSUM
6,2023-02-16,EQ,732.2,735.5,728.1,728.1,733.75,732.6,732.11,861.15,650.2,837121,612863391.5,42932,TATACONSUM
7,2023-02-15,EQ,721.05,729.8,717.2,721.0,729.0,728.1,722.54,861.15,650.2,727403,525576721.6,29217,TATACONSUM
8,2023-02-14,EQ,718.0,723.75,715.0,717.8,721.05,721.0,720.07,861.15,650.2,563171,405520541.8,32104,TATACONSUM
9,2023-02-13,EQ,726.6,729.5,716.0,726.6,717.8,717.8,721.39,861.15,650.2,599763,432660060.85,33943,TATACONSUM
10,2023-02-10,EQ,722.0,728.0,719.15,721.95,726.5,726.6,724.39,861.15,650.2,651630,472035942.5,34263,TATACONSUM
11,2023-02-09,EQ,724.5,726.35,720.8,724.4,722.0,721.95,722.59,861.15,650.2,688243,497319276.15,33658,TATACONSUM
12,2023-02-08,EQ,731.85,731.85,721.1,728.2,724.0,724.4,723.3,861.15,650.2,1521104,1100219211.9,35900,TATACONSUM
13,2023-02-07,EQ,731.8,734.95,722.0,729.75,727.4,728.2,727.86,861.15,650.2,1244247,905640526.15,43971,TATACONSUM
14,2023-02-06,EQ,728.4,732.5,721.0,726.6,730.0,729.75,728.11,861.15,650.2,852170,620470746.95,33527,TATACONSUM
15,2023-02-03,EQ,737.15,741.0,720.45,737.15,725.0,726.6,727.19,861.15,650.2,1752697,1274540219.35,77624,TATACONSUM
16,2023-02-02,EQ,738.8,742.75,732.8,740.8,737.0,737.15,737.67,861.15,650.2,704702,519836142.8,35827,TATACONSUM
17,2023-02-01,EQ,737.25,748.4,731.25,729.5,739.1,740.8,740.45,861.15,650.2,933031,690865795.25,40464,TATACONSUM
18,2023-01-31,EQ,736.0,739.4,725.05,735.65,730.0,729.5,729.7,861.15,650.2,2189899,1597965164.6,112108,TATACONSUM
19,2023-01-30,EQ,736.0,740.35,727.55,735.25,736.55,735.65,735.21,861.15,650.2,1295677,952589693.05,55649,TATACONSUM
20,2023-01-27,EQ,740.05,745.9,725.7,740.05,736.0,735.25,734.18,861.15,650.2,772860,567421026.35,40748,TATACONSUM
21,2023-01-25,EQ,740.35,742.5,731.2,740.9,739.0,740.05,735.66,861.15,650.2,868627,639017851.85,36222,TATACONSUM
22,2023-01-24,EQ,743.85,749.5,740.0,742.45,740.55,740.9,743.57,861.15,650.2,653737,486097075.55,37249,TATACONSUM
23,2023-01-23,EQ,739.15,743.9,734.0,738.45,742.1,742.45,739.61,861.15,650.2,682160,504531384.35,30232,TATACONSUM
24,2023-01-20,EQ,738.0,742.9,736.0,738.5,738.5,738.45,739.42,861.15,650.2,878832,649829572.1,32499,TATACONSUM
25,2023-01-19,EQ,750.2,752.75,737.6,750.5,738.0,738.5,742.14,861.15,650.2,1140422,846348362.9,51424,TATACONSUM
26,2023-01-18,EQ,750.0,752.7,746.55,750.05,751.0,750.5,750.19,861.15,650.2,747592,560839315.35,29485,TATACONSUM
27,2023-01-17,EQ,744.0,752.8,741.6,747.25,751.0,750.05,746.82,861.15,650.2,1427736,1066261920.45,59113,TATACONSUM
28,2023-01-16,EQ,752.1,755.0,745.1,752.9,747.4,747.25,747.96,861.15,650.2,838829,627407201.2,30903,TATACONSUM
29,2023-01-13,EQ,755.1,757.6,750.0,754.25,752.8,752.9,753.46,861.15,650.2,1067599,804398251.25,31013,TATACONSUM
30,2023-01-12,EQ,760.0,763.85,752.0,759.3,754.0,754.25,755.37,861.15,650.2,763021,576361319.0,35974,TATACONSUM
31,2023-01-11,EQ,772.0,772.75,755.5,769.25,758.95,759.3,761.85,861.15,650.2,688374,524435652.65,36401,TATACONSUM
32,2023-01-10,EQ,766.95,772.8,764.55,766.95,769.4,769.25,768.74,861.15,650.2,873061,671156224.7,31979,TATACONSUM
33,2023-01-09,EQ,765.2,768.8,761.1,761.35,767.5,766.95,765.02,861.15,650.2,729173,557831834.7,40496,TATACONSUM
34,2023-01-06,EQ,763.8,770.85,759.05,763.85,762.05,761.35,764.53,861.15,650.2,603050,461050439.05,27177,TATACONSUM
35,2023-01-05,EQ,762.0,781.0,760.1,762.25,764.0,763.85,767.85,861.15,650.2,3198519,2455983504.45,65444,TATACONSUM
36,2023-01-04,EQ,767.5,767.5,759.4,767.15,761.65,762.25,762.7,861.15,650.2,1004383,766038896.1,41952,TATACONSUM
37,2023-01-03,EQ,765.0,767.9,759.1,762.3,767.6,767.15,764.17,861.15,650.2,785495,600251188.6,32161,TATACONSUM
38,2023-01-02,EQ,769.9,771.0,758.1,766.95,762.0,762.3,762.62,861.15,650.2,1061086,809208747.6,40877,TATACONSUM
39,2022-12-30,EQ,778.0,782.3,765.0,776.1,772.0,766.95,771.88,861.15,650.2,715796,552506235.3,30964,TATACONSUM
40,2022-12-29,EQ,779.0,779.0,763.1,780.15,776.05,776.1,769.32,861.15,650.2,1691955,1301654896.95,49574,TATACONSUM
41,2022-12-28,EQ,778.0,782.9,773.15,777.85,780.0,780.15,778.89,861.15,650.2,610240,475309723.85,24574,TATACONSUM
42,2022-12-27,EQ,778.8,781.0,770.6,775.3,777.7,777.85,775.42,861.15,650.2,601101,466104451.1,28453,TATACONSUM
43,2022-12-26,EQ,779.0,783.7,773.0,779.0,775.75,775.3,776.27,861.15,650.2,1014226,787314187.05,43288,TATACONSUM
44,2022-12-23,EQ,793.05,797.9,775.8,798.65,780.15,779.0,784.37,861.15,650.2,1216647,954295402.45,51177,TATACONSUM
45,2022-12-22,EQ,802.75,809.0,787.0,802.6,797.15,798.65,796.64,861.15,650.2,1017965,810949218.5,31667,TATACONSUM
46,2022-12-21,EQ,809.0,811.9,801.0,808.3,802.6,802.6,806.27,861.15,650.2,811513,654302487.9,30312,TATACONSUM
47,2022-12-20,EQ,808.5,809.95,800.1,808.85,807.7,808.3,804.75,861.15,650.2,677159,544946893.05,21725,TATACONSUM
48,2022-12-19,EQ,801.15,810.0,798.45,801.55,807.05,808.85,804.69,861.15,650.2,1120217,901431575.3,38718,TATACONSUM
49,2022-12-16,EQ,803.3,804.95,795.0,804.9,802.55,801.55,801.22,861.15,650.2,849333,680501342.05,29839,TATACONSUM
50,2022-12-15,EQ,815.4,815.45,802.05,815.45,803.0,804.9,806.9,861.15,650.2,783051,631845876.55,32265,TATACONSUM
