,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,112.5,112.9,109.55,112.05,109.85,109.75,110.47,1386.7,95.0,34326940,3792036662.95,154954,TATASTEEL
1,2023-02-23,EQ,111.55,113.65,111.35,111.15,112.2,112.05,112.32,1386.7,95.0,30845778,3464472213.65,153482,TATASTEEL
2,2023-02-22,EQ,113.25,113.7,110.65,113.15,111.15,111.15,111.85,1386.7,95.0,24391211,2728186737.25,128818,TATASTEEL
3,2023-02-21,EQ,112.9,114.2,112.75,112.35,113.45,113.15,113.56,1386.7,95.0,29830864,3387474094.25,149603,TATASTEEL
4,2023-02-20,EQ,112.3,112.7,111.05,112.25,112.55,112.35,112.16,1386.7,95.0,19896764,2231699003.55,105686,TATASTEEL
5,2023-02-17,EQ,111.55,113.1,111.3,112.0,112.1,112.25,112.56,1386.7,95.0,34107244,3839275198.65,150582,TATASTEEL
6,2023-02-16,EQ,111.0,112.2,110.65,110.3,112.0,112.0,111.38,1386.7,95.0,30956191,3447951206.65,133246,TATASTEEL
7,2023-02-15,EQ,109.0,110.6,108.8,109.25,110.35,110.3,109.82,1386.7,95.0,35544190,3903313900.75,150839,TATASTEEL
8,2023-02-14,EQ,109.55,109.9,108.25,108.75,109.3,109.25,109.07,1386.7,95.0,31163587,3399153115.15,147750,TATASTEEL
9,2023-02-13,EQ,108.8,110.6,108.4,108.8,109.15,108.75,109.23,1386.7,95.0,56186469,6136999513.3,213478,TATASTEEL
10,2023-02-10,EQ,111.0,111.25,108.3,111.25,108.75,108.8,109.08,1386.7,95.0,60810058,6633301056.7,270870,TATASTEEL
11,2023-02-09,EQ,112.15,112.95,109.95,111.45,111.35,111.25,111.11,1386.7,95.0,64710455,7190126333.05,195025,TATASTEEL
12,2023-02-08,EQ,111.45,112.75,110.1,111.45,111.6,111.45,111.47,1386.7,95.0,66523699,7415660810.8,246258,TATASTEEL
13,2023-02-07,EQ,112.6,115.35,110.55,117.45,111.2,111.45,112.53,1386.7,95.0,110953246,12485538285.3,427378,TATASTEEL
14,2023-02-06,EQ,120.0,120.0,117.0,120.35,117.2,117.45,117.84,1386.7,95.0,49546361,5838695548.5,209239,TATASTEEL
15,2023-02-03,EQ,120.05,121.0,117.2,119.95,120.0,120.35,119.18,1386.7,95.0,46977350,5598705778.3,180644,TATASTEEL
16,2023-02-02,EQ,121.95,122.5,118.4,122.05,120.0,119.95,119.7,1386.7,95.0,38768010,4640608722.05,156869,TATASTEEL
17,2023-02-01,EQ,120.1,124.15,119.3,119.7,122.05,122.05,122.17,1386.7,95.0,72919626,8908255658.1,218692,TATASTEEL
18,2023-01-31,EQ,118.75,120.45,117.75,118.75,119.6,119.7,119.48,1386.7,95.0,43986769,5255511455.05,165252,TATASTEEL
19,2023-01-30,EQ,120.45,121.1,116.9,120.65,118.65,118.75,118.48,1386.7,95.0,46551837,5515300590.95,197879,TATASTEEL
20,2023-01-27,EQ,121.9,123.25,119.1,121.0,120.65,120.65,121.04,1386.7,95.0,58771746,7113714095.55,193540,TATASTEEL
21,2023-01-25,EQ,120.35,122.25,120.1,120.4,121.0,121.0,120.91,1386.7,95.0,46522102,5624860373.1,152844,TATASTEEL
22,2023-01-24,EQ,122.5,122.55,120.1,122.0,120.4,120.4,121.01,1386.7,95.0,27707765,3353043685.55,137675,TATASTEEL
23,2023-01-23,EQ,123.4,123.85,121.5,122.95,121.8,122.0,122.6,1386.7,95.0,28601260,3506407861.1,133056,TATASTEEL
24,2023-01-20,EQ,123.4,124.2,122.0,123.55,122.9,122.95,123.27,1386.7,95.0,37784498,4657678101.5,160324,TATASTEEL
25,2023-01-19,EQ,121.8,124.3,121.15,122.45,123.5,123.55,123.39,1386.7,95.0,53564076,6609306267.85,238773,TATASTEEL
26,2023-01-18,EQ,120.0,123.0,120.0,119.35,122.2,122.45,122.08,1386.7,95.0,64749065,7904467813.2,236724,TATASTEEL
27,2023-01-17,EQ,119.75,119.9,118.0,119.95,119.3,119.35,119.0,1386.7,95.0,27880531,3317731473.65,117336,TATASTEEL
28,2023-01-16,EQ,121.45,121.45,118.8,120.45,119.65,119.95,119.8,1386.7,95.0,44362359,5314417958.05,178138,TATASTEEL
29,2023-01-13,EQ,118.55,121.6,118.15,118.1,120.35,120.45,120.31,1386.7,95.0,68884010,8287320121.45,242859,TATASTEEL
30,2023-01-12,EQ,118.95,119.25,117.6,118.85,117.9,118.1,118.16,1386.7,95.0,33740024,3986728182.75,127108,TATASTEEL
31,2023-01-11,EQ,119.45,120.35,118.0,118.85,118.6,118.85,119.04,1386.7,95.0,49321252,5871210496.25,182298,TATASTEEL
32,2023-01-10,EQ,117.65,119.75,117.55,117.55,118.7,118.85,118.63,1386.7,95.0,56750710,6732375346.95,206267,TATASTEEL
33,2023-01-09,EQ,116.9,118.1,116.55,115.65,117.6,117.55,117.54,1386.7,95.0,37763131,4438628753.1,184045,TATASTEEL
34,2023-01-06,EQ,117.0,117.85,115.25,116.55,115.6,115.65,116.57,1386.7,95.0,58551863,6825354273.05,187180,TATASTEEL
35,2023-01-05,EQ,116.5,117.0,114.5,115.75,116.8,116.55,115.74,1386.7,95.0,58806907,6806057647.8,238074,TATASTEEL
36,2023-01-04,EQ,118.75,119.05,115.35,118.45,115.45,115.75,116.56,1386.7,95.0,55634568,6484836352.55,219447,TATASTEEL
37,2023-01-03,EQ,119.8,120.5,117.75,119.25,118.5,118.45,119.04,1386.7,95.0,74419090,8859042586.45,279140,TATASTEEL
38,2023-01-02,EQ,114.4,119.7,113.75,112.65,119.1,119.25,117.82,1386.7,95.0,143444095,16899938209.6,481935,TATASTEEL
39,2022-12-30,EQ,112.9,114.75,112.1,111.75,112.85,112.65,113.48,1386.7,95.0,56048485,6360199033.4,209598,TATASTEEL
40,2022-12-29,EQ,109.0,112.0,108.85,110.0,111.65,111.75,110.83,1386.7,95.0,51751642,5735642386.1,171506,TATASTEEL
41,2022-12-28,EQ,111.05,112.3,109.7,111.15,110.2,110.0,110.95,1386.7,95.0,50660601,5620984092.1,186350,TATASTEEL
42,2022-12-27,EQ,106.65,111.55,105.85,105.0,111.3,111.15,109.38,1386.7,95.0,76033410,8316497757.0,241759,TATASTEEL
43,2022-12-26,EQ,102.8,105.55,101.65,102.25,104.95,105.0,104.39,1386.7,95.0,33995681,3548856093.4,160626,TATASTEEL
44,2022-12-23,EQ,106.0,106.75,101.95,107.65,102.25,102.25,103.97,1386.7,95.0,46756489,4861179723.65,247994,TATASTEEL
45,2022-12-22,EQ,110.0,110.6,106.35,109.4,107.25,107.65,107.78,1386.7,95.0,39639329,4272289160.15,156763,TATASTEEL
46,2022-12-21,EQ,111.8,112.0,108.7,110.95,109.6,109.4,110.33,1386.7,95.0,32303565,3564029185.2,123288,TATASTEEL
47,2022-12-20,EQ,111.15,111.5,109.0,111.8,111.0,110.95,110.28,1386.7,95.0,34836506,3841678276.75,124555,TATASTEEL
48,2022-12-19,EQ,111.05,112.1,110.8,111.05,111.7,111.8,111.48,1386.7,95.0,17297590,1928331474.4,110179,TATASTEEL
49,2022-12-16,EQ,110.35,112.1,109.45,110.95,110.8,111.05,110.78,1386.7,95.0,34736665,3848127933.45,121660,TATASTEEL
50,2022-12-15,EQ,112.65,113.45,110.7,113.05,110.9,110.95,111.72,1386.7,95.0,34361613,3838903320.85,179928,TATASTEEL
51,2022-12-14,EQ,111.6,113.2,111.1,111.2,113.05,113.05,112.43,1386.7,95.0,38606984,4340715290.6,250142,TATASTEEL
52,2022-12-13,EQ,112.55,112.85,110.8,111.7,111.25,111.2,111.47,1386.7,95.0,32264080,3596515740.25,111948,TATASTEEL
53,2022-12-12,EQ,110.2,112.1,108.7,110.45,111.95,111.7,110.86,1386.7,95.0,37082389,4110851619.65,134511,TATASTEEL
54,2022-12-09,EQ,112.8,113.75,109.7,111.85,110.4,110.45,111.58,1386.7,95.0,35665257,3979539564.25,150422,TATASTEEL
55,2022-12-08,EQ,111.75,113.0,110.8,111.2,112.0,111.85,111.73,1386.7,95.0,32416724,3621976760.8,138285,TATASTEEL
56,2022-12-07,EQ,113.4,113.5,110.85,112.95,111.2,111.2,111.93,1386.7,95.0,39494279,4420597087.65,152182,TATASTEEL
57,2022-12-06,EQ,115.35,115.35,112.25,115.85,112.95,112.95,113.31,1386.7,95.0,50581245,5731246025.85,204447,TATASTEEL
58,2022-12-05,EQ,113.3,116.1,112.65,112.0,115.45,115.85,114.79,1386.7,95.0,96441799,11070587626.6,319132,TATASTEEL
59,2022-12-02,EQ,110.8,112.5,110.15,110.75,111.85,112.0,111.54,1386.7,95.0,70541914,7868561475.35,227806,TATASTEEL
60,2022-12-01,EQ,108.7,111.3,108.0,107.65,110.55,110.75,109.75,1386.7,95.0,91702642,10064703817.75,283438,TATASTEEL
61,2022-11-30,EQ,106.1,107.95,105.9,106.1,107.55,107.65,107.35,1386.7,95.0,61142050,6563796708.15,135519,TATASTEEL
62,2022-11-29,EQ,105.0,107.65,104.95,104.9,106.05,106.1,106.54,1386.7,95.0,40661568,4332103822.55,126137,TATASTEEL
63,2022-11-28,EQ,106.0,106.4,104.5,106.2,104.9,104.9,105.01,1386.7,95.0,33516118,3519507321.2,131701,TATASTEEL
64,2022-11-25,EQ,105.6,106.5,105.1,105.5,106.4,106.2,105.96,1386.7,95.0,27361785,2899278217.3,108745,TATASTEEL
65,2022-11-24,EQ,105.85,105.95,104.6,105.45,105.45,105.5,105.32,1386.7,95.0,23737867,2500041736.8,126322,TATASTEEL
66,2022-11-23,EQ,105.7,106.0,104.95,105.2,105.4,105.45,105.46,1386.7,95.0,22809651,2405544449.55,115335,TATASTEEL
67,2022-11-22,EQ,104.4,105.4,103.55,104.25,105.35,105.2,104.47,1386.7,95.0,27846186,2909218047.9,104893,TATASTEEL
68,2022-11-21,EQ,107.7,107.7,103.85,105.5,104.1,104.25,105.39,1386.7,95.0,58404309,6155232063.4,174056,TATASTEEL
69,2022-11-18,EQ,105.85,106.3,104.7,105.85,105.6,105.5,105.44,1386.7,95.0,28992538,3057045391.4,104183,TATASTEEL
70,2022-11-17,EQ,105.9,106.8,104.5,106.55,105.85,105.85,105.44,1386.7,95.0,32894825,3468387429.4,142955,TATASTEEL
71,2022-11-16,EQ,108.45,108.8,105.2,108.55,106.4,106.55,106.96,1386.7,95.0,40404167,4321518992.7,159611,TATASTEEL
72,2022-11-15,EQ,109.0,109.35,107.2,108.7,108.5,108.55,108.04,1386.7,95.0,35007427,3782360832.2,123984,TATASTEEL
73,2022-11-14,EQ,108.5,110.0,108.25,107.55,108.7,108.7,109.11,1386.7,95.0,55474425,6052718955.6,201128,TATASTEEL
74,2022-11-11,EQ,106.25,108.2,106.25,104.7,107.6,107.55,107.45,1386.7,95.0,77933417,8374174601.75,216946,TATASTEEL
75,2022-11-10,EQ,105.2,106.0,104.45,106.1,104.85,104.7,105.18,1386.7,95.0,27864285,2930887692.25,97383,TATASTEEL
76,2022-11-09,EQ,107.25,107.55,105.55,106.7,105.9,106.1,106.32,1386.7,95.0,38295904,4071757227.05,166229,TATASTEEL
77,2022-11-07,EQ,105.9,107.45,104.6,104.75,106.65,106.7,106.48,1386.7,95.0,74426059,7925231204.7,267008,TATASTEEL
