,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,3422.5,3433.95,3382.3,3413.8,3390.0,3400.45,3410.96,3835.6,2926.1,977592,3334525092.15,79457,TCS
1,2023-02-23,EQ,3421.0,3452.4,3408.0,3401.55,3412.9,3413.8,3428.53,3835.6,2926.1,1441570,4942464245.25,135484,TCS
2,2023-02-22,EQ,3414.95,3447.0,3395.0,3451.0,3410.0,3401.55,3416.58,3835.6,2926.1,1218430,4162858172.0,104357,TCS
3,2023-02-21,EQ,3494.0,3508.9,3444.75,3487.3,3451.0,3451.0,3473.05,3835.6,2926.1,1139541,3957687705.45,77929,TCS
4,2023-02-20,EQ,3502.0,3522.0,3475.05,3501.15,3492.0,3487.3,3492.93,3835.6,2926.1,1296082,4527127582.25,79179,TCS
5,2023-02-17,EQ,3526.15,3538.9,3490.0,3558.05,3499.2,3501.15,3514.92,3854.1,2926.1,1061369,3730623740.0,90867,TCS
6,2023-02-16,EQ,3527.2,3575.0,3527.0,3520.65,3550.0,3558.05,3559.64,3854.1,2926.1,1618931,5762816021.75,110390,TCS
7,2023-02-15,EQ,3487.0,3526.0,3460.15,3500.1,3523.95,3520.65,3496.1,3854.1,2926.1,1429449,4997503619.8,76223,TCS
8,2023-02-14,EQ,3505.0,3524.85,3495.0,3482.4,3500.0,3500.1,3511.8,3854.1,2926.1,1579818,5548005902.75,103413,TCS
9,2023-02-13,EQ,3549.0,3549.0,3473.4,3537.55,3484.0,3482.4,3493.53,3854.1,2926.1,1087939,3800742542.7,77431,TCS
10,2023-02-10,EQ,3520.0,3542.35,3508.15,3540.85,3528.15,3537.55,3530.08,3854.1,2926.1,1187821,4193101279.6,84631,TCS
11,2023-02-09,EQ,3515.0,3547.6,3505.3,3520.1,3543.95,3540.85,3534.02,3854.1,2926.1,1655427,5850314027.3,109544,TCS
12,2023-02-08,EQ,3478.05,3539.9,3478.05,3472.55,3520.0,3520.1,3525.1,3854.1,2926.1,1986946,7004180343.6,131473,TCS
13,2023-02-07,EQ,3468.9,3493.0,3461.4,3459.95,3467.0,3472.55,3478.55,3854.1,2926.1,1455647,5063543516.1,76997,TCS
14,2023-02-06,EQ,3473.15,3473.15,3436.85,3482.3,3464.9,3459.95,3457.05,3854.1,2926.1,1138714,3936596844.85,104578,TCS
15,2023-02-03,EQ,3504.0,3504.0,3452.9,3460.4,3475.0,3482.3,3483.2,3882.5,2926.1,1804469,6285334518.4,177332,TCS
16,2023-02-02,EQ,3427.0,3469.0,3420.1,3408.35,3461.0,3460.4,3449.08,3882.5,2926.1,1813847,6256103714.75,144428,TCS
17,2023-02-01,EQ,3363.0,3419.0,3355.0,3358.7,3398.0,3408.35,3383.69,3882.5,2926.1,2205161,7461580946.75,133318,TCS
18,2023-01-31,EQ,3449.0,3449.0,3351.0,3433.65,3358.5,3358.7,3371.06,3882.5,2926.1,2820375,9507642423.25,184017,TCS
19,2023-01-30,EQ,3420.0,3458.45,3385.55,3411.05,3432.0,3433.65,3423.78,3882.5,2926.1,1953798,6689383780.35,154180,TCS
20,2023-01-27,EQ,3426.0,3446.0,3382.3,3429.75,3410.0,3411.05,3415.95,3882.5,2926.1,1785879,6100466647.25,138824,TCS
21,2023-01-25,EQ,3425.3,3435.0,3405.0,3436.3,3432.1,3429.75,3423.45,3882.5,2926.1,874110,2992469996.45,73515,TCS
22,2023-01-24,EQ,3425.0,3451.95,3417.3,3414.9,3432.1,3436.3,3434.72,3882.5,2926.1,1387863,4766925961.05,100270,TCS
23,2023-01-23,EQ,3388.0,3419.0,3355.6,3363.1,3409.25,3414.9,3393.67,3882.5,2926.1,1067916,3624151502.6,77981,TCS
24,2023-01-20,EQ,3365.0,3394.65,3355.6,3373.1,3370.0,3363.1,3374.73,4043.0,2926.1,1529349,5161134363.85,89365,TCS
25,2023-01-19,EQ,3380.0,3387.0,3361.0,3390.0,3370.0,3373.1,3375.44,4043.0,2926.1,1585044,5350223100.95,97108,TCS
26,2023-01-18,EQ,3380.0,3408.95,3372.25,3378.4,3391.0,3390.0,3395.06,4043.0,2926.1,2421189,8220093824.8,121397,TCS
27,2023-01-17,EQ,3330.0,3381.8,3321.0,3334.05,3380.9,3378.4,3363.96,4043.0,2926.1,1688475,5679961504.85,110473,TCS
28,2023-01-16,EQ,3317.0,3353.0,3298.05,3374.55,3335.0,3334.05,3329.16,4043.0,2926.1,1843607,6137668725.0,134180,TCS
29,2023-01-13,EQ,3342.9,3379.0,3305.0,3334.35,3373.25,3374.55,3352.96,4043.0,2926.1,1742837,5843664088.1,107218,TCS
30,2023-01-12,EQ,3329.0,3350.0,3315.55,3328.7,3337.55,3334.35,3334.26,4043.0,2926.1,2250391,7503381269.75,179303,TCS
31,2023-01-11,EQ,3290.1,3349.5,3271.15,3286.4,3328.0,3328.7,3324.66,4043.0,2926.1,2720512,9044771106.4,144583,TCS
32,2023-01-10,EQ,3285.0,3298.0,3230.1,3319.95,3283.0,3286.4,3259.17,4043.0,2926.1,3864655,12595576966.85,236636,TCS
33,2023-01-09,EQ,3229.0,3327.0,3221.15,3211.55,3309.0,3319.95,3300.31,4043.0,2926.1,2885060,9521605532.85,173806,TCS
34,2023-01-06,EQ,3300.0,3301.55,3200.0,3311.1,3213.9,3211.55,3239.59,4043.0,2926.1,2488376,8061309460.35,177937,TCS
35,2023-01-05,EQ,3330.2,3337.3,3281.95,3314.65,3302.65,3311.1,3311.44,4043.0,2926.1,1826057,6046882556.65,128658,TCS
36,2023-01-04,EQ,3306.7,3327.35,3286.2,3311.35,3313.1,3314.65,3306.45,4043.0,2926.1,1231668,4072443029.75,76844,TCS
37,2023-01-03,EQ,3252.0,3320.0,3245.3,3261.45,3312.0,3311.35,3300.29,4043.0,2926.1,1245178,4109451969.85,78401,TCS
38,2023-01-02,EQ,3261.0,3266.85,3235.2,3256.7,3263.0,3261.45,3254.07,4043.0,2926.1,709547,2308912232.4,51003,TCS
39,2022-12-30,EQ,3286.05,3299.0,3246.2,3268.75,3254.6,3256.7,3277.33,4043.0,2926.1,1163131,3811963963.95,66390,TCS
40,2022-12-29,EQ,3231.1,3271.5,3228.0,3257.1,3271.25,3268.75,3253.85,4043.0,2926.1,1037927,3377254033.45,68726,TCS
41,2022-12-28,EQ,3249.8,3266.1,3226.0,3259.5,3258.0,3257.1,3249.31,4043.0,2926.1,910795,2959455222.7,72613,TCS
42,2022-12-27,EQ,3269.2,3273.8,3231.5,3252.9,3262.0,3259.5,3251.33,4043.0,2926.1,835883,2717728954.7,69823,TCS
43,2022-12-26,EQ,3228.35,3272.0,3225.05,3228.35,3254.0,3252.9,3257.13,4043.0,2926.1,870157,2834216778.05,73081,TCS
44,2022-12-23,EQ,3217.0,3266.85,3217.0,3259.7,3231.0,3228.35,3239.4,4043.0,2926.1,1360281,4406495701.55,114542,TCS
45,2022-12-22,EQ,3294.0,3294.0,3245.1,3268.55,3255.0,3259.7,3260.93,4043.0,2926.1,1384101,4513451540.2,97031,TCS
46,2022-12-21,EQ,3249.0,3283.05,3240.0,3243.95,3262.25,3268.55,3260.5,4043.0,2926.1,1432566,4670887164.8,106805,TCS
47,2022-12-20,EQ,3198.9,3249.0,3163.65,3202.05,3242.0,3243.95,3211.24,4043.0,2926.1,1529971,4913105552.95,104239,TCS
48,2022-12-19,EQ,3227.0,3245.5,3194.5,3240.25,3205.25,3202.05,3210.19,4043.0,2926.1,2120965,6808707801.7,102305,TCS
49,2022-12-16,EQ,3275.0,3292.0,3225.2,3305.1,3235.95,3240.25,3255.07,4043.0,2926.1,2703680,8800660965.3,128993,TCS
50,2022-12-15,EQ,3358.8,3364.75,3298.95,3365.35,3303.9,3305.1,3325.6,4043.0,2926.1,1415694,4708031740.7,80331,TCS
51,2022-12-14,EQ,3348.8,3377.0,3340.9,3332.1,3363.0,3365.35,3362.22,4043.0,2926.1,1213311,4079413057.25,70963,TCS
52,2022-12-13,EQ,3277.2,3336.45,3267.8,3286.45,3335.0,3332.1,3310.82,4043.0,2926.1,1378016,4562357640.75,73699,TCS
53,2022-12-12,EQ,3255.5,3296.0,3236.1,3292.75,3285.0,3286.45,3274.48,4043.0,2926.1,1527610,5002132049.6,103407,TCS
54,2022-12-09,EQ,3374.1,3374.1,3276.35,3350.55,3290.0,3292.75,3309.46,4043.0,2926.1,1797896,5950067690.9,141806,TCS
55,2022-12-08,EQ,3360.0,3380.6,3339.45,3380.6,3355.0,3350.55,3352.36,4043.0,2926.1,1285619,4309859984.2,106006,TCS
56,2022-12-07,EQ,3368.3,3393.7,3354.0,3385.35,3370.0,3380.6,3373.53,4043.0,2926.1,1167505,3938618103.8,69818,TCS
57,2022-12-06,EQ,3400.05,3407.95,3368.0,3425.9,3383.15,3385.35,3382.5,4043.0,2926.1,1166999,3947373985.6,107645,TCS
58,2022-12-05,EQ,3433.0,3439.15,3407.0,3439.15,3425.0,3425.9,3418.7,4043.0,2926.1,1475065,5042803817.7,97290,TCS
59,2022-12-02,EQ,3458.1,3468.9,3413.0,3475.65,3437.1,3439.15,3431.97,4043.0,2926.1,2411749,8277056081.0,145867,TCS
60,2022-12-01,EQ,3425.0,3480.0,3420.0,3390.8,3473.2,3475.65,3465.56,4043.0,2926.1,2180856,7557896562.5,142859,TCS
61,2022-11-30,EQ,3383.0,3414.9,3375.0,3397.35,3401.0,3390.8,3394.24,4043.0,2926.1,3410702,11576734182.2,130194,TCS
62,2022-11-29,EQ,3383.0,3429.0,3383.0,3395.25,3390.0,3397.35,3411.59,4043.0,2926.1,1576028,5376768884.0,125430,TCS
63,2022-11-28,EQ,3366.0,3417.0,3365.55,3389.65,3392.0,3395.25,3395.48,4043.0,2926.1,2195437,7454568768.85,112975,TCS
64,2022-11-25,EQ,3383.0,3403.35,3348.0,3380.15,3384.0,3389.65,3374.67,4043.0,2926.1,1588981,5362286252.4,100208,TCS
65,2022-11-24,EQ,3316.25,3392.95,3308.3,3308.3,3383.0,3380.15,3355.29,4043.0,2926.1,1296591,4350438250.55,79969,TCS
66,2022-11-23,EQ,3330.0,3330.0,3291.0,3314.95,3306.0,3308.3,3309.1,4043.0,2926.1,1150011,3805502589.0,66618,TCS
67,2022-11-22,EQ,3280.0,3318.95,3255.25,3283.5,3311.0,3314.95,3287.74,4043.0,2926.1,1149739,3780048017.15,70513,TCS
68,2022-11-21,EQ,3322.5,3333.7,3273.0,3343.45,3282.8,3283.5,3295.97,4043.0,2926.1,1304194,4298580759.95,84298,TCS
69,2022-11-18,EQ,3350.0,3362.75,3321.0,3349.0,3343.5,3343.45,3340.88,4043.0,2926.1,1164540,3890590266.85,76531,TCS
70,2022-11-17,EQ,3340.0,3360.0,3317.75,3355.35,3342.2,3349.0,3342.56,4043.0,2926.1,1417986,4739701185.9,88776,TCS
71,2022-11-16,EQ,3338.9,3367.9,3321.45,3332.6,3360.0,3355.35,3353.2,4043.0,2926.1,1748235,5862175997.55,103674,TCS
72,2022-11-15,EQ,3321.0,3339.95,3292.0,3335.5,3338.9,3332.6,3313.99,4043.0,2926.1,1400708,4641936509.75,83190,TCS
73,2022-11-14,EQ,3324.0,3349.0,3309.0,3315.95,3332.0,3335.5,3332.83,4043.0,2926.1,1342074,4472908370.8,95353,TCS
74,2022-11-11,EQ,3269.6,3341.6,3255.05,3205.65,3315.0,3315.95,3315.61,4043.0,2926.1,3265394,10826779196.3,196708,TCS
75,2022-11-10,EQ,3170.0,3225.0,3170.0,3216.05,3205.0,3205.65,3208.21,4043.0,2926.1,1573092,5046813082.0,107924,TCS
76,2022-11-09,EQ,3249.8,3249.8,3201.65,3233.7,3210.0,3216.05,3223.43,4043.0,2926.1,1162267,3746480719.5,76155,TCS
77,2022-11-07,EQ,3229.0,3242.8,3195.1,3217.4,3230.8,3233.7,3222.99,4043.0,2926.1,1474498,4752289070.25,119792,TCS
78,2022-11-04,EQ,3217.0,3220.05,3166.15,3206.75,3220.0,3217.4,3192.04,4043.0,2926.1,1464013,4673187843.45,72621,TCS
79,2022-11-03,EQ,3228.05,3228.05,3195.0,3241.7,3207.0,3206.75,3206.14,4043.0,2926.1,1422652,4561227424.65,84814,TCS
