,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,1137.0,1141.0,1116.0,1128.8,1119.95,1119.0,1124.56,1574.95,943.7,1913493,2151831801.2,103922,TECHM
1,2023-02-23,EQ,1127.0,1149.5,1124.05,1125.7,1131.0,1128.8,1135.68,1574.95,943.7,2576193,2925739167.9,96109,TECHM
2,2023-02-22,EQ,1122.0,1134.25,1118.0,1134.45,1130.0,1125.7,1126.35,1574.95,943.7,2674708,3012654237.95,111608,TECHM
3,2023-02-21,EQ,1146.0,1151.95,1131.05,1144.2,1133.4,1134.45,1142.34,1574.95,943.7,3494288,3991658710.55,139919,TECHM
4,2023-02-20,EQ,1129.5,1156.85,1120.0,1129.2,1145.0,1144.2,1146.01,1574.95,943.7,4590531,5260812701.55,131718,TECHM
5,2023-02-17,EQ,1108.1,1139.0,1108.1,1130.25,1128.4,1129.2,1127.25,1574.95,943.7,5333732,6012465034.3,205779,TECHM
6,2023-02-16,EQ,1075.0,1141.05,1074.05,1071.4,1127.55,1130.25,1121.5,1574.95,943.7,14422445,16174838730.05,295112,TECHM
7,2023-02-15,EQ,1014.9,1075.0,1008.3,1012.05,1068.6,1071.4,1054.6,1574.95,943.7,6712218,7078717043.65,135751,TECHM
8,2023-02-14,EQ,1006.05,1025.7,1005.75,1002.5,1012.15,1012.05,1015.94,1574.95,943.7,2440189,2479079680.25,85046,TECHM
9,2023-02-13,EQ,1015.0,1017.8,1000.5,1017.35,1002.35,1002.5,1004.76,1574.95,943.7,1682312,1690316512.15,62532,TECHM
10,2023-02-10,EQ,1011.55,1021.6,1004.1,1016.0,1017.0,1017.35,1013.12,1574.95,943.7,1116554,1131204552.3,41203,TECHM
11,2023-02-09,EQ,1011.05,1017.7,1002.6,1011.05,1017.0,1016.0,1011.89,1574.95,943.7,1782899,1804105583.05,95004,TECHM
12,2023-02-08,EQ,1007.5,1021.15,1004.35,1002.45,1010.5,1011.05,1013.45,1574.95,943.7,2611176,2646287247.65,81882,TECHM
13,2023-02-07,EQ,1005.0,1008.45,997.0,1005.35,1002.0,1002.45,1002.02,1574.95,943.7,1697633,1701057527.95,84377,TECHM
14,2023-02-06,EQ,1006.0,1016.4,997.0,1011.3,1004.0,1005.35,1004.15,1574.95,943.7,2003960,2012272833.45,110679,TECHM
15,2023-02-03,EQ,1024.45,1026.9,1003.0,1016.65,1012.55,1011.3,1010.05,1574.95,943.7,2980262,3010224872.95,83244,TECHM
16,2023-02-02,EQ,1027.3,1044.25,1011.1,1023.75,1017.0,1016.65,1021.68,1574.95,943.7,3860090,3943762330.85,132463,TECHM
17,2023-02-01,EQ,1018.05,1034.5,1003.3,1015.0,1025.0,1023.75,1022.79,1574.95,943.7,1939670,1983865606.3,89116,TECHM
18,2023-01-31,EQ,1025.0,1028.85,996.05,1036.1,1016.1,1015.0,1009.23,1574.95,943.7,5797831,5851323595.4,202100,TECHM
19,2023-01-30,EQ,1030.1,1047.95,1018.4,1030.1,1039.2,1036.1,1034.84,1574.95,943.7,2654212,2746675502.6,103423,TECHM
20,2023-01-27,EQ,1051.0,1057.65,1021.5,1051.15,1032.0,1030.1,1037.63,1588.0,943.7,1651820,1713985659.5,82040,TECHM
21,2023-01-25,EQ,1065.0,1067.7,1049.0,1070.6,1050.45,1051.15,1057.06,1588.0,943.7,1049973,1109887138.35,46075,TECHM
22,2023-01-24,EQ,1070.0,1077.3,1065.3,1065.3,1068.8,1070.6,1071.13,1588.0,943.7,1578750,1691047079.05,74473,TECHM
23,2023-01-23,EQ,1053.5,1069.6,1047.25,1046.5,1063.25,1065.3,1061.51,1588.0,943.7,1344952,1427681736.15,54197,TECHM
24,2023-01-20,EQ,1052.5,1057.5,1041.85,1053.3,1046.65,1046.5,1050.71,1751.0,943.7,1160517,1219362530.65,87236,TECHM
25,2023-01-19,EQ,1043.9,1054.0,1040.1,1048.35,1053.0,1053.3,1047.74,1751.0,943.7,1768051,1852455774.5,59084,TECHM
26,2023-01-18,EQ,1046.05,1051.5,1043.5,1046.05,1047.5,1048.35,1047.97,1751.0,943.7,1138627,1193250401.8,74840,TECHM
27,2023-01-17,EQ,1034.0,1050.0,1030.9,1034.45,1046.0,1046.05,1041.45,1751.0,943.7,2466876,2569128242.7,89087,TECHM
28,2023-01-16,EQ,1008.2,1035.75,1003.25,1003.15,1034.0,1034.45,1024.66,1751.0,943.7,4286551,4392263766.9,118445,TECHM
29,2023-01-13,EQ,1004.45,1009.0,986.3,1001.55,1002.8,1003.15,998.08,1755.0,943.7,2837817,2832362684.1,81920,TECHM
30,2023-01-12,EQ,1010.0,1013.5,997.3,1006.35,1001.25,1001.55,1004.27,1755.0,943.7,1948321,1956638591.45,74209,TECHM
31,2023-01-11,EQ,1008.45,1016.95,1003.25,1002.65,1006.0,1006.35,1010.02,1755.0,943.7,1294200,1307172692.35,47456,TECHM
32,2023-01-10,EQ,1013.0,1014.05,999.05,1015.25,1002.8,1002.65,1003.85,1755.0,943.7,1411099,1416538317.05,69911,TECHM
33,2023-01-09,EQ,997.95,1021.0,995.4,986.15,1013.0,1015.25,1014.21,1755.0,943.7,2190779,2221918685.7,80823,TECHM
34,2023-01-06,EQ,1009.5,1011.65,985.0,1011.65,986.0,986.15,994.35,1818.0,943.7,2346808,2333556955.15,101184,TECHM
35,2023-01-05,EQ,1021.0,1024.95,1004.5,1020.3,1012.8,1011.65,1013.24,1818.0,943.7,1376035,1394255183.3,53787,TECHM
36,2023-01-04,EQ,1023.8,1029.35,1012.1,1023.8,1019.7,1020.3,1020.17,1818.0,943.7,1702044,1736372902.55,53263,TECHM
37,2023-01-03,EQ,1013.0,1024.8,1008.05,1009.5,1024.5,1023.8,1018.43,1818.0,943.7,1439615,1466142854.55,54551,TECHM
38,2023-01-02,EQ,1017.9,1021.85,1005.2,1016.4,1010.0,1009.5,1009.72,1818.0,943.7,1348611,1361722860.85,44695,TECHM
39,2022-12-30,EQ,1022.75,1027.65,1015.0,1013.2,1015.4,1016.4,1021.38,1838.0,943.7,1317151,1345315780.7,39715,TECHM
40,2022-12-29,EQ,1010.0,1015.7,1007.0,1016.25,1014.45,1013.2,1011.96,1838.0,943.7,1977329,2000976681.95,58409,TECHM
41,2022-12-28,EQ,1005.3,1019.4,1002.2,1009.55,1015.0,1016.25,1013.43,1838.0,943.7,1077963,1092440054.75,34484,TECHM
42,2022-12-27,EQ,1009.7,1012.6,993.2,1001.0,1010.0,1009.55,1004.39,1838.0,943.7,1615647,1622745300.95,45887,TECHM
43,2022-12-26,EQ,1000.35,1006.5,993.0,995.75,1000.0,1001.0,1002.09,1838.0,943.7,966423,968443860.7,41693,TECHM
44,2022-12-23,EQ,1005.05,1015.5,993.0,1015.85,997.0,995.75,1003.64,1838.0,943.7,1504806,1510288193.5,80231,TECHM
45,2022-12-22,EQ,1030.0,1035.0,1012.6,1026.05,1016.0,1015.85,1019.8,1838.0,943.7,1925482,1963611835.3,59068,TECHM
46,2022-12-21,EQ,1024.5,1030.55,1020.25,1017.95,1025.0,1026.05,1026.17,1838.0,943.7,2037666,2090995180.6,98704,TECHM
47,2022-12-20,EQ,1025.0,1025.0,1004.0,1026.7,1018.5,1017.95,1011.89,1838.0,943.7,2149130,2174685477.1,78746,TECHM
48,2022-12-19,EQ,1019.95,1028.1,1009.75,1020.8,1026.5,1026.7,1022.47,1838.0,943.7,1529622,1563994262.0,52218,TECHM
49,2022-12-16,EQ,1015.0,1033.5,1011.0,1022.75,1021.0,1020.8,1022.4,1838.0,943.7,2994364,3061446398.2,96568,TECHM
50,2022-12-15,EQ,1060.0,1060.0,1020.25,1065.1,1024.5,1022.75,1031.57,1838.0,943.7,5184673,5348373334.85,182989,TECHM
51,2022-12-14,EQ,1051.0,1068.05,1051.0,1045.75,1063.0,1065.1,1062.27,1838.0,943.7,1983937,2107476013.1,84053,TECHM
52,2022-12-13,EQ,1039.85,1047.45,1030.15,1032.1,1045.15,1045.75,1040.4,1838.0,943.7,1983827,2063970767.15,55075,TECHM
53,2022-12-12,EQ,1034.0,1044.4,1021.8,1035.3,1032.0,1032.1,1033.81,1838.0,943.7,1689393,1746503081.45,56002,TECHM
54,2022-12-09,EQ,1073.95,1075.7,1030.2,1074.15,1036.75,1035.3,1045.04,1838.0,943.7,3138360,3279718805.0,111121,TECHM
55,2022-12-08,EQ,1078.1,1082.4,1070.3,1078.05,1074.0,1074.15,1075.1,1838.0,943.7,1110431,1193824201.1,44762,TECHM
56,2022-12-07,EQ,1086.0,1087.3,1074.2,1088.8,1077.0,1078.05,1080.0,1838.0,943.7,1478573,1596865421.75,54751,TECHM
57,2022-12-06,EQ,1089.0,1096.15,1080.05,1099.75,1087.55,1088.8,1087.67,1838.0,943.7,1838107,1999258002.95,62059,TECHM
58,2022-12-05,EQ,1120.0,1120.0,1096.25,1114.75,1100.0,1099.75,1104.18,1838.0,943.7,2760688,3048304839.35,87453,TECHM
59,2022-12-02,EQ,1101.5,1116.3,1100.05,1101.5,1114.0,1114.75,1110.01,1838.0,943.7,3418928,3795050596.25,81517,TECHM
60,2022-12-01,EQ,1091.4,1107.95,1088.15,1077.0,1101.0,1101.5,1101.99,1838.0,943.7,4264917,4699905339.25,127053,TECHM
61,2022-11-30,EQ,1074.75,1082.0,1063.2,1074.55,1079.0,1077.0,1073.95,1838.0,943.7,3909954,4199112948.5,71687,TECHM
62,2022-11-29,EQ,1076.1,1085.45,1072.8,1077.2,1074.0,1074.55,1079.3,1838.0,943.7,1233868,1331716421.7,43593,TECHM
63,2022-11-28,EQ,1075.0,1091.0,1071.4,1080.15,1076.0,1077.2,1084.81,1838.0,943.7,1749691,1898080390.3,56632,TECHM
64,2022-11-25,EQ,1070.0,1082.9,1060.0,1069.3,1076.7,1080.15,1072.77,1838.0,943.7,1943246,2084650213.05,51996,TECHM
65,2022-11-24,EQ,1049.3,1071.0,1046.0,1044.05,1068.1,1069.3,1061.12,1838.0,943.7,2208145,2343112095.15,61799,TECHM
66,2022-11-23,EQ,1055.95,1058.65,1041.35,1050.65,1042.9,1044.05,1049.19,1838.0,943.7,1704144,1787963843.15,54937,TECHM
67,2022-11-22,EQ,1042.6,1052.9,1036.05,1042.6,1051.85,1050.65,1043.88,1838.0,943.7,1696991,1771449200.4,45708,TECHM
68,2022-11-21,EQ,1055.1,1057.9,1037.8,1060.85,1038.5,1042.6,1047.14,1838.0,943.7,1475958,1545529296.1,41871,TECHM
69,2022-11-18,EQ,1060.0,1065.0,1046.0,1058.55,1061.0,1060.85,1054.3,1838.0,943.7,1617331,1705152914.5,65569,TECHM
70,2022-11-17,EQ,1060.0,1061.85,1047.3,1066.85,1057.4,1058.55,1055.17,1838.0,943.7,2089630,2204917407.35,45907,TECHM
71,2022-11-16,EQ,1066.0,1075.0,1059.0,1066.95,1064.1,1066.85,1069.44,1838.0,943.7,2335937,2498139863.1,74228,TECHM
72,2022-11-15,EQ,1065.0,1070.5,1050.0,1065.35,1068.8,1066.95,1059.81,1838.0,943.7,1577944,1672325058.35,38901,TECHM
73,2022-11-14,EQ,1062.0,1074.45,1055.45,1058.7,1063.8,1065.35,1067.23,1838.0,943.7,2229790,2379706727.5,65253,TECHM
74,2022-11-11,EQ,1049.0,1066.0,1046.2,1021.1,1058.35,1058.7,1057.08,1838.0,943.7,5299457,5601930537.35,113738,TECHM
75,2022-11-10,EQ,1015.0,1034.0,1005.25,1028.7,1022.0,1021.1,1019.7,1838.0,943.7,3285774,3350488762.25,126989,TECHM
76,2022-11-09,EQ,1047.0,1048.95,1025.05,1053.5,1026.95,1028.7,1034.37,1838.0,943.7,2697639,2790362389.45,75998,TECHM
77,2022-11-07,EQ,1058.95,1067.9,1044.45,1053.65,1054.3,1053.5,1052.36,1838.0,943.7,2588984,2724553420.5,92623,TECHM
78,2022-11-04,EQ,1053.0,1058.8,1038.75,1052.85,1054.0,1053.65,1045.76,1838.0,943.7,2531080,2646893440.1,80067,TECHM
79,2022-11-03,EQ,1070.0,1071.15,1050.15,1082.0,1053.9,1052.85,1057.12,1838.0,943.7,3460133,3657764482.85,129878,TECHM
80,2022-11-02,EQ,1071.0,1098.7,1066.35,1070.9,1079.5,1082.0,1081.22,1838.0,943.7,4104485,4437870715.55,92663,TECHM
81,2022-11-01,EQ,1069.0,1080.0,1047.15,1063.4,1067.95,1070.9,1066.58,1838.0,943.7,4709472,5023013259.15,84181,TECHM
82,2022-10-31,EQ,1053.25,1078.3,1053.0,1048.95,1063.45,1063.4,1064.37,1838.0,943.7,2629847,2799131651.5,83970,TECHM
83,2022-10-28,EQ,1081.0,1081.0,1045.05,1075.85,1048.75,1048.95,1057.2,1838.0,943.7,1542568,1630797910.05,49744,TECHM
84,2022-10-27,EQ,1093.3,1098.0,1067.15,1082.5,1075.9,1075.85,1081.22,1838.0,943.7,2342818,2533091208.8,72848,TECHM
85,2022-10-25,EQ,1053.4,1086.0,1051.0,1048.15,1083.0,1082.5,1074.16,1838.0,943.7,3097049,3326711835.35,130847,TECHM
86,2022-10-24,EQ,1051.0,1051.15,1045.0,1041.15,1047.45,1048.15,1047.76,1838.0,943.7,231316,242364196.45,10950,TECHM
87,2022-10-21,EQ,1041.65,1044.35,1031.1,1041.65,1038.25,1041.15,1038.55,1838.0,943.7,1202009,1248342280.6,29608,TECHM
88,2022-10-20,EQ,1010.0,1043.4,1007.0,1019.2,1039.5,1041.65,1031.08,1838.0,943.7,1852905,1910484447.7,59197,TECHM
89,2022-10-19,EQ,1024.5,1030.0,1016.3,1019.4,1020.0,1019.2,1022.96,1838.0,943.7,1304927,1334892305.35,61431,TECHM
90,2022-10-18,EQ,1028.4,1033.95,1014.0,1023.25,1020.4,1019.4,1022.28,1838.0,943.7,2395805,2449183994.0,86466,TECHM
91,2022-10-17,EQ,1019.0,1027.95,1007.45,1019.85,1024.8,1023.25,1019.85,1838.0,943.7,1426207,1454522728.6,40425,TECHM
92,2022-10-14,EQ,1035.0,1049.9,1016.05,1012.95,1018.15,1019.85,1035.53,1838.0,943.7,3492929,3617043234.6,84005,TECHM
93,2022-10-13,EQ,1018.85,1021.0,1003.05,1015.9,1013.0,1012.95,1010.13,1838.0,943.7,1344162,1357772634.4,33844,TECHM
94,2022-10-12,EQ,1007.8,1018.8,998.2,1004.85,1014.8,1015.9,1008.87,1838.0,943.7,2192421,2211861448.4,66152,TECHM
95,2022-10-11,EQ,1034.5,1035.0,1000.55,1029.35,1003.85,1004.85,1016.69,1838.0,943.7,2310765,2349326385.45,100992,TECHM
96,2022-10-10,EQ,1008.1,1033.0,1003.5,1023.85,1031.25,1029.35,1016.99,1838.0,943.7,1660433,1688641188.55,49086,TECHM
97,2022-10-07,EQ,1029.9,1036.45,1021.05,1031.3,1023.6,1023.85,1026.56,1838.0,943.7,1539126,1580012017.0,46915,TECHM
98,2022-10-06,EQ,1033.45,1045.0,1027.35,1028.3,1030.95,1031.3,1034.19,1838.0,943.7,2397633,2479597166.7,100258,TECHM
99,2022-10-04,EQ,1022.0,1036.0,1017.9,1005.5,1030.0,1028.3,1027.19,1838.0,943.7,2715420,2789245128.05,69579,TECHM
100,2022-10-03,EQ,1010.0,1018.25,999.15,1008.6,1004.55,1005.5,1009.59,1838.0,943.7,2431236,2454549927.05,82698,TECHM
101,2022-09-30,EQ,1001.0,1018.8,984.55,1007.1,1011.95,1008.6,1000.68,1838.0,943.7,3848885,3851483683.2,113254,TECHM
