,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,2400.0,2413.75,2377.95,2394.5,2397.05,2399.1,2390.46,2791.0,1825.05,1145691,2738733983.45,59118,TITAN
1,2023-02-23,EQ,2432.5,2432.5,2380.0,2431.55,2392.0,2394.5,2401.7,2791.0,1825.05,1602078,3847716960.65,104103,TITAN
2,2023-02-22,EQ,2451.95,2462.8,2414.4,2463.6,2429.95,2431.55,2432.68,2791.0,1825.05,1098118,2671366572.75,92879,TITAN
3,2023-02-21,EQ,2485.95,2485.95,2450.5,2474.15,2466.0,2463.6,2462.11,2791.0,1825.05,750272,1847250224.1,61020,TITAN
4,2023-02-20,EQ,2500.0,2507.25,2466.3,2500.3,2478.0,2474.15,2484.94,2791.0,1825.05,460090,1143294476.4,36989,TITAN
5,2023-02-17,EQ,2515.0,2545.85,2496.0,2522.4,2500.0,2500.3,2515.13,2791.0,1825.05,607239,1527285030.05,41495,TITAN
6,2023-02-16,EQ,2530.0,2545.65,2518.1,2524.3,2521.0,2522.4,2532.53,2791.0,1825.05,704946,1785297203.6,46977,TITAN
7,2023-02-15,EQ,2503.45,2528.25,2483.3,2506.9,2527.0,2524.3,2512.63,2791.0,1825.05,707224,1776994429.75,50310,TITAN
8,2023-02-14,EQ,2528.95,2528.95,2480.0,2519.05,2507.05,2506.9,2503.48,2791.0,1825.05,843477,2111630050.55,76561,TITAN
9,2023-02-13,EQ,2480.0,2523.95,2476.15,2468.5,2519.75,2519.05,2512.45,2791.0,1825.05,1856317,4663906619.15,102878,TITAN
10,2023-02-10,EQ,2452.0,2472.0,2442.05,2462.55,2470.5,2468.5,2458.38,2791.0,1825.05,597337,1468479558.6,59950,TITAN
11,2023-02-09,EQ,2467.0,2475.65,2451.6,2466.75,2465.5,2462.55,2464.26,2791.0,1825.05,464715,1145178444.95,51574,TITAN
12,2023-02-08,EQ,2447.0,2480.0,2447.0,2446.9,2463.55,2466.75,2467.67,2791.0,1825.05,539085,1330286215.05,40830,TITAN
13,2023-02-07,EQ,2456.3,2459.75,2432.1,2458.0,2449.05,2446.9,2444.71,2791.0,1825.05,563195,1376846503.25,55199,TITAN
14,2023-02-06,EQ,2474.85,2479.95,2447.6,2463.1,2456.3,2458.0,2462.07,2791.0,1825.05,1049075,2582897641.75,97074,TITAN
15,2023-02-03,EQ,2320.1,2470.0,2320.1,2308.1,2458.3,2463.1,2425.35,2791.0,1825.05,3693638,8958363285.7,205942,TITAN
16,2023-02-02,EQ,2341.05,2385.0,2269.6,2345.9,2325.0,2308.1,2336.44,2791.0,1825.05,1788381,4178441160.95,114317,TITAN
17,2023-02-01,EQ,2408.55,2409.8,2300.05,2377.15,2345.0,2345.9,2363.36,2791.0,1825.05,1521514,3595890169.1,103902,TITAN
18,2023-01-31,EQ,2347.0,2386.45,2335.65,2335.55,2383.0,2377.15,2367.9,2791.0,1825.05,1252600,2966030261.25,90793,TITAN
19,2023-01-30,EQ,2332.0,2342.85,2287.05,2331.25,2340.0,2335.55,2315.79,2791.0,1825.05,1401847,3246381011.1,120736,TITAN
20,2023-01-27,EQ,2368.4,2368.4,2302.6,2356.6,2332.0,2331.25,2326.44,2791.0,1825.05,1238620,2881580875.9,122600,TITAN
21,2023-01-25,EQ,2370.0,2370.0,2333.55,2370.75,2370.0,2356.6,2351.69,2791.0,1825.05,650664,1530160774.0,55389,TITAN
22,2023-01-24,EQ,2372.5,2390.6,2364.0,2364.7,2370.0,2370.75,2378.29,2791.0,1825.05,714000,1698100471.4,61807,TITAN
23,2023-01-23,EQ,2383.95,2384.3,2355.6,2371.3,2358.65,2364.7,2365.23,2791.0,1825.05,932554,2205702735.9,86801,TITAN
24,2023-01-20,EQ,2389.95,2396.95,2353.0,2385.05,2374.0,2371.3,2372.42,2791.0,1825.05,1229902,2917843628.9,84004,TITAN
25,2023-01-19,EQ,2392.5,2411.8,2367.2,2424.1,2386.0,2385.05,2388.66,2791.0,1825.05,1116874,2667832480.6,75874,TITAN
26,2023-01-18,EQ,2418.0,2429.85,2412.8,2407.95,2424.4,2424.1,2421.82,2791.0,1825.05,601233,1456075594.0,47336,TITAN
27,2023-01-17,EQ,2405.0,2417.9,2386.0,2405.85,2409.95,2407.95,2401.74,2791.0,1825.05,926137,2224336330.35,64307,TITAN
28,2023-01-16,EQ,2428.0,2434.8,2392.0,2417.2,2401.25,2405.85,2404.94,2791.0,1825.05,737012,1772467937.9,55159,TITAN
29,2023-01-13,EQ,2456.9,2456.9,2400.0,2446.6,2420.0,2417.2,2417.43,2791.0,1825.05,1416869,3425182190.3,83190,TITAN
30,2023-01-12,EQ,2450.0,2475.0,2432.0,2437.4,2445.0,2446.6,2449.08,2791.0,1825.05,874520,2141772011.8,66156,TITAN
31,2023-01-11,EQ,2473.0,2488.6,2431.0,2468.2,2434.95,2437.4,2452.82,2791.0,1825.05,1000412,2453831163.8,95386,TITAN
32,2023-01-10,EQ,2495.0,2498.7,2456.0,2484.65,2464.5,2468.2,2474.83,2791.0,1825.05,948787,2348082025.7,74548,TITAN
33,2023-01-09,EQ,2529.95,2529.95,2467.8,2538.1,2489.95,2484.65,2488.97,2791.0,1825.05,2324487,5785572656.8,165642,TITAN
34,2023-01-06,EQ,2560.0,2584.4,2517.0,2562.1,2537.0,2538.1,2540.1,2791.0,1825.05,879019,2232792969.2,63800,TITAN
35,2023-01-05,EQ,2591.0,2620.0,2543.65,2597.55,2565.2,2562.1,2573.8,2791.0,1825.05,1544601,3975496530.55,103786,TITAN
36,2023-01-04,EQ,2618.8,2626.25,2585.6,2613.6,2592.0,2597.55,2600.28,2791.0,1825.05,832054,2163576009.0,52788,TITAN
37,2023-01-03,EQ,2568.0,2619.0,2555.05,2565.75,2618.8,2613.6,2589.83,2791.0,1825.05,852511,2207855164.8,56038,TITAN
38,2023-01-02,EQ,2607.0,2616.0,2556.8,2597.5,2565.35,2565.75,2580.93,2791.0,1825.05,697408,1799962334.15,48764,TITAN
39,2022-12-30,EQ,2564.0,2610.0,2553.05,2553.25,2595.05,2597.5,2592.45,2791.0,1825.05,1057182,2740688135.75,60907,TITAN
40,2022-12-29,EQ,2555.0,2588.85,2542.2,2580.15,2553.05,2553.25,2556.09,2791.0,1825.05,1583143,4046650781.5,78805,TITAN
41,2022-12-28,EQ,2502.8,2596.0,2497.5,2503.55,2575.0,2580.15,2571.24,2791.0,1825.05,2443430,6282656899.35,128671,TITAN
42,2022-12-27,EQ,2498.0,2519.9,2485.6,2481.1,2502.9,2503.55,2504.74,2791.0,1825.05,791283,1981957665.75,37709,TITAN
43,2022-12-26,EQ,2487.75,2512.4,2470.25,2483.05,2489.95,2481.1,2494.5,2791.0,1825.05,1076808,2686093373.5,76245,TITAN
44,2022-12-23,EQ,2467.65,2505.0,2455.0,2483.0,2488.0,2483.05,2483.69,2791.0,1825.05,1310439,3254725803.75,76240,TITAN
45,2022-12-22,EQ,2491.8,2509.2,2465.0,2489.6,2480.25,2483.0,2482.44,2791.0,1825.05,557608,1384230242.15,49834,TITAN
46,2022-12-21,EQ,2515.0,2528.0,2481.0,2508.15,2490.0,2489.6,2499.85,2791.0,1825.05,519326,1298237549.1,48020,TITAN
47,2022-12-20,EQ,2516.8,2517.6,2482.1,2521.8,2511.2,2508.15,2498.93,2791.0,1825.05,597902,1494112883.15,52173,TITAN
48,2022-12-19,EQ,2483.2,2525.25,2468.7,2482.85,2520.25,2521.8,2501.35,2791.0,1825.05,572224,1431332714.75,45426,TITAN
49,2022-12-16,EQ,2500.0,2520.0,2480.0,2522.7,2485.0,2482.85,2496.6,2791.0,1825.05,1177053,2938626054.6,87870,TITAN
50,2022-12-15,EQ,2585.0,2588.65,2514.55,2591.1,2520.5,2522.7,2543.96,2791.0,1825.05,1225728,3118197321.65,90387,TITAN
51,2022-12-14,EQ,2574.85,2596.0,2571.15,2575.9,2592.0,2591.1,2587.82,2791.0,1825.05,767737,1986763143.9,58899,TITAN
52,2022-12-13,EQ,2597.4,2600.0,2565.0,2584.65,2572.4,2575.9,2575.55,2791.0,1825.05,832740,2144767348.65,63045,TITAN
53,2022-12-12,EQ,2613.5,2613.5,2571.0,2615.45,2584.9,2584.65,2584.78,2791.0,1825.05,726330,1877403541.1,54545,TITAN
54,2022-12-09,EQ,2597.0,2629.9,2567.95,2583.5,2609.25,2615.45,2597.13,2791.0,1825.05,935047,2428437037.15,86754,TITAN
55,2022-12-08,EQ,2596.85,2613.9,2578.75,2596.85,2581.95,2583.5,2592.41,2791.0,1825.05,648288,1680628427.85,51291,TITAN
56,2022-12-07,EQ,2616.3,2623.75,2586.7,2617.0,2594.5,2596.85,2601.46,2791.0,1825.05,712914,1854619363.55,64275,TITAN
57,2022-12-06,EQ,2619.8,2624.0,2591.3,2615.65,2611.1,2617.0,2604.15,2791.0,1825.05,706596,1840079251.25,65847,TITAN
58,2022-12-05,EQ,2629.0,2629.95,2589.25,2617.9,2614.8,2615.65,2607.85,2791.0,1825.05,747114,1948360014.8,60334,TITAN
59,2022-12-02,EQ,2648.0,2651.4,2605.0,2638.7,2618.0,2617.9,2617.68,2791.0,1825.05,731396,1914562013.45,55462,TITAN
60,2022-12-01,EQ,2662.0,2665.0,2630.0,2653.0,2636.95,2638.7,2642.9,2791.0,1825.05,539844,1426752820.25,40659,TITAN
61,2022-11-30,EQ,2613.75,2665.0,2604.2,2613.75,2657.25,2653.0,2641.21,2791.0,1825.05,1569918,4146488239.35,68190,TITAN
62,2022-11-29,EQ,2597.15,2640.0,2595.05,2592.25,2612.0,2613.75,2621.71,2791.0,1825.05,866621,2272030538.45,64382,TITAN
63,2022-11-28,EQ,2584.4,2608.5,2579.0,2595.4,2592.0,2592.25,2596.53,2791.0,1825.05,665149,1727080239.9,46811,TITAN
64,2022-11-25,EQ,2620.0,2620.0,2586.0,2610.2,2591.25,2595.4,2596.47,2791.0,1825.05,633047,1643688452.0,45799,TITAN
65,2022-11-24,EQ,2611.0,2618.3,2592.5,2601.75,2613.85,2610.2,2604.98,2791.0,1825.05,752066,1959114455.15,46121,TITAN
66,2022-11-23,EQ,2614.95,2632.5,2590.8,2606.2,2591.6,2601.75,2617.17,2791.0,1825.05,992873,2598516281.2,59217,TITAN
67,2022-11-22,EQ,2580.0,2609.0,2561.0,2573.35,2607.5,2606.2,2594.84,2791.0,1825.05,912070,2366678028.95,58060,TITAN
68,2022-11-21,EQ,2552.0,2578.95,2539.65,2565.8,2572.0,2573.35,2560.52,2791.0,1825.05,629040,1610667512.25,44737,TITAN
69,2022-11-18,EQ,2580.0,2583.4,2545.0,2582.0,2572.95,2565.8,2560.49,2791.0,1825.05,1038751,2659708145.45,99791,TITAN
70,2022-11-17,EQ,2638.0,2645.0,2576.0,2644.3,2583.95,2582.0,2592.35,2791.0,1825.05,1265647,3281002988.3,69687,TITAN
71,2022-11-16,EQ,2659.0,2678.2,2630.0,2656.65,2645.0,2644.3,2647.95,2791.0,1825.05,835064,2211207464.0,51298,TITAN
72,2022-11-15,EQ,2642.95,2669.15,2621.05,2629.8,2658.45,2656.65,2651.1,2791.0,1825.05,1033296,2739369342.35,46529,TITAN
73,2022-11-14,EQ,2658.0,2665.0,2623.2,2651.8,2630.0,2629.8,2636.54,2791.0,1825.05,565428,1490774742.2,35519,TITAN
74,2022-11-11,EQ,2671.0,2694.4,2641.55,2641.0,2656.0,2651.8,2665.95,2791.0,1825.05,833729,2222679756.55,59931,TITAN
75,2022-11-10,EQ,2710.0,2711.1,2628.0,2718.1,2647.5,2641.0,2653.0,2791.0,1825.05,1198585,3179847416.0,74667,TITAN
76,2022-11-09,EQ,2769.0,2769.0,2710.0,2741.55,2710.35,2718.1,2728.57,2791.0,1825.05,1184702,3232540242.1,50665,TITAN
77,2022-11-07,EQ,2772.0,2772.0,2706.3,2769.7,2735.0,2741.55,2734.38,2791.0,1825.05,1825529,4991687717.35,95712,TITAN
78,2022-11-04,EQ,2774.9,2781.45,2746.6,2763.65,2770.0,2769.7,2759.62,2791.0,1825.05,1172058,3234432965.1,47413,TITAN
79,2022-11-03,EQ,2705.0,2779.0,2705.0,2728.45,2766.6,2763.65,2753.1,2791.0,1825.05,1227960,3380701836.35,54594,TITAN
80,2022-11-02,EQ,2745.0,2747.35,2703.0,2754.95,2734.0,2728.45,2723.97,2791.0,1825.05,1704942,4644216430.3,57000,TITAN
81,2022-11-01,EQ,2770.15,2784.0,2741.0,2761.5,2755.0,2754.95,2756.46,2791.0,1825.05,890107,2453544061.5,48451,TITAN
82,2022-10-31,EQ,2750.0,2791.0,2738.25,2736.4,2765.0,2761.5,2761.11,2791.0,1825.05,1144647,3160496134.1,66626,TITAN
83,2022-10-28,EQ,2708.95,2738.9,2693.25,2703.8,2733.0,2736.4,2722.82,2768.0,1825.05,1003160,2731421674.25,62946,TITAN
84,2022-10-27,EQ,2700.0,2765.0,2680.0,2670.3,2706.0,2703.8,2720.73,2768.0,1825.05,2117791,5761942288.75,101391,TITAN
85,2022-10-25,EQ,2697.35,2697.35,2662.0,2683.9,2669.55,2670.3,2674.07,2768.0,1825.05,505759,1352434594.4,37515,TITAN
86,2022-10-24,EQ,2697.0,2699.9,2679.15,2665.65,2682.0,2683.9,2687.26,2768.0,1825.05,184595,496055391.3,19559,TITAN
87,2022-10-21,EQ,2650.0,2679.65,2640.05,2631.5,2670.65,2665.65,2666.35,2768.0,1825.05,986521,2630411600.5,50897,TITAN
88,2022-10-20,EQ,2640.0,2644.0,2581.35,2644.55,2633.0,2631.5,2613.06,2768.0,1825.05,1022636,2672209505.7,69521,TITAN
89,2022-10-19,EQ,2654.35,2677.0,2640.0,2641.1,2648.0,2644.55,2658.87,2768.0,1825.05,1001916,2663964218.0,50371,TITAN
