,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,7212.85,7241.8,7165.9,7176.95,7224.0,7216.7,7204.69,7492.0,5157.05,206602,1488502563.2,19930,ULTRACEMCO
1,2023-02-23,EQ,7241.8,7266.0,7142.1,7205.75,7192.0,7176.95,7202.77,7492.0,5157.05,286748,2065381128.15,36519,ULTRACEMCO
2,2023-02-22,EQ,7327.0,7331.85,7192.0,7340.55,7222.7,7205.75,7241.77,7492.0,5157.05,402548,2915158455.0,43639,ULTRACEMCO
3,2023-02-21,EQ,7444.8,7485.0,7321.0,7426.85,7336.85,7340.55,7420.17,7492.0,5157.05,399493,2964305015.8,49049,ULTRACEMCO
4,2023-02-20,EQ,7301.0,7492.0,7301.0,7297.85,7416.05,7426.85,7398.49,7492.0,5157.05,713498,5278805591.85,63717,ULTRACEMCO
5,2023-02-17,EQ,7176.0,7393.3,7176.0,7171.75,7309.1,7297.85,7329.49,7393.3,5157.05,1063293,7793391050.85,94075,ULTRACEMCO
6,2023-02-16,EQ,7187.65,7193.8,7108.0,7151.85,7159.55,7171.75,7148.18,7389.0,5157.05,264069,1887613356.05,31269,ULTRACEMCO
7,2023-02-15,EQ,7138.0,7177.0,7047.65,7139.2,7153.05,7151.85,7106.02,7389.0,5157.05,404971,2877731046.35,28992,ULTRACEMCO
8,2023-02-14,EQ,7215.15,7229.9,7125.55,7179.25,7131.0,7139.2,7180.91,7389.0,5157.05,328419,2358348695.8,25218,ULTRACEMCO
9,2023-02-13,EQ,7215.0,7250.0,7155.0,7206.05,7190.6,7179.25,7185.92,7389.0,5157.05,323236,2322747096.45,41903,ULTRACEMCO
10,2023-02-10,EQ,7175.0,7226.9,7147.05,7179.75,7209.8,7206.05,7181.57,7548.95,5157.05,407822,2928803292.9,37170,ULTRACEMCO
11,2023-02-09,EQ,7250.0,7250.0,7160.0,7250.35,7175.0,7179.75,7206.34,7548.95,5157.05,334529,2410728396.15,35079,ULTRACEMCO
12,2023-02-08,EQ,7114.0,7293.75,7114.0,7071.8,7245.0,7250.35,7238.44,7548.95,5157.05,559696,4051324012.2,62890,ULTRACEMCO
13,2023-02-07,EQ,7154.95,7205.0,7052.15,7127.25,7085.0,7071.8,7116.65,7548.95,5157.05,295067,2099888983.65,42156,ULTRACEMCO
14,2023-02-06,EQ,7156.3,7207.75,7112.8,7189.2,7135.0,7127.25,7143.25,7548.95,5157.05,314446,2246166955.05,48297,ULTRACEMCO
15,2023-02-03,EQ,7184.95,7225.0,7131.0,7167.65,7172.0,7189.2,7176.76,7575.0,5157.05,364197,2613755347.05,43829,ULTRACEMCO
16,2023-02-02,EQ,7100.0,7310.0,7005.05,7141.4,7169.0,7167.65,7197.31,7575.0,5157.05,647192,4658044200.1,80759,ULTRACEMCO
17,2023-02-01,EQ,7085.0,7239.0,6981.6,7085.55,7119.0,7141.4,7137.8,7575.0,5157.05,648015,4625402105.85,65858,ULTRACEMCO
18,2023-01-31,EQ,6925.0,7099.0,6892.55,6887.7,7083.0,7085.55,7023.19,7575.0,5157.05,593220,4166295510.4,65795,ULTRACEMCO
19,2023-01-30,EQ,6747.0,6903.95,6642.55,6715.6,6875.0,6887.7,6819.09,7575.0,5157.05,699269,4768381399.5,74483,ULTRACEMCO
20,2023-01-27,EQ,6734.0,6799.0,6604.1,6705.1,6728.0,6715.6,6706.42,7575.0,5157.05,635582,4262477558.7,80957,ULTRACEMCO
21,2023-01-25,EQ,6805.95,6830.85,6672.0,6809.7,6695.85,6705.1,6706.41,7575.0,5157.05,509299,3415568121.7,66294,ULTRACEMCO
22,2023-01-24,EQ,6882.0,6897.65,6782.6,6849.75,6806.0,6809.7,6826.26,7575.0,5157.05,444188,3032142909.15,56483,ULTRACEMCO
23,2023-01-23,EQ,7125.0,7184.95,6830.0,7177.15,6860.0,6849.75,6955.42,7575.0,5157.05,998103,6942229957.75,101333,ULTRACEMCO
24,2023-01-20,EQ,7212.35,7265.0,7150.0,7212.35,7151.0,7177.15,7211.9,7946.0,5157.05,353292,2547908277.0,33974,ULTRACEMCO
25,2023-01-19,EQ,7260.0,7260.0,7186.05,7283.45,7206.0,7212.35,7213.09,7946.0,5157.05,412001,2971801392.7,49641,ULTRACEMCO
26,2023-01-18,EQ,7373.0,7383.0,7270.0,7377.65,7279.75,7283.45,7330.02,7946.0,5157.05,447736,3281913658.15,48426,ULTRACEMCO
27,2023-01-17,EQ,7280.0,7389.0,7262.85,7284.85,7376.0,7377.65,7347.34,7946.0,5157.05,385734,2834119875.4,46922,ULTRACEMCO
28,2023-01-16,EQ,7270.0,7334.75,7250.25,7248.9,7270.1,7284.85,7302.4,7946.0,5157.05,440500,3216706678.75,49639,ULTRACEMCO
29,2023-01-13,EQ,7175.0,7258.0,7138.0,7153.35,7244.95,7248.9,7217.15,7946.0,5157.05,462134,3335290512.2,57439,ULTRACEMCO
30,2023-01-12,EQ,7024.95,7166.95,7024.95,7021.95,7155.0,7153.35,7111.38,7946.0,5157.05,566492,4028537365.9,69775,ULTRACEMCO
31,2023-01-11,EQ,6948.0,7033.0,6922.0,6920.3,7017.45,7021.95,6986.49,7946.0,5157.05,295408,2063865960.0,35990,ULTRACEMCO
32,2023-01-10,EQ,7049.95,7049.95,6889.15,7034.85,6914.0,6920.3,6946.05,7946.0,5157.05,263888,1832979331.7,39986,ULTRACEMCO
33,2023-01-09,EQ,7040.0,7064.0,7002.9,6982.2,7028.0,7034.85,7033.92,7946.0,5157.05,298470,2099415540.25,50034,ULTRACEMCO
34,2023-01-06,EQ,7007.0,7029.9,6951.0,7007.0,6987.7,6982.2,6990.14,7946.0,5157.05,160184,1119708414.4,19004,ULTRACEMCO
35,2023-01-05,EQ,7014.95,7042.2,6945.0,7005.35,7003.0,7007.0,6998.0,7946.0,5157.05,236570,1655517697.5,34372,ULTRACEMCO
