,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,748.85,754.8,736.0,745.15,738.15,738.3,744.11,848.0,607.5,2100294,1562848825.45,40690,UPL
1,2023-02-23,EQ,743.0,756.65,740.0,739.3,747.0,745.15,748.22,848.0,607.5,2936268,2196972172.6,63726,UPL
2,2023-02-22,EQ,745.05,749.3,736.55,747.15,741.5,739.3,741.78,848.0,607.5,1950321,1446716529.9,37077,UPL
3,2023-02-21,EQ,761.75,764.1,744.3,757.95,749.7,747.15,752.96,848.0,607.5,1964019,1478827395.25,34865,UPL
4,2023-02-20,EQ,762.0,769.75,755.0,770.15,757.9,757.95,762.09,848.0,607.5,1149759,876218856.05,25554,UPL
5,2023-02-17,EQ,763.0,780.0,763.0,770.35,772.45,770.15,772.47,848.0,607.5,2374926,1834566024.7,50728,UPL
6,2023-02-16,EQ,770.0,773.7,767.0,769.35,768.9,770.35,770.65,848.0,607.5,1575168,1213902172.8,47982,UPL
7,2023-02-15,EQ,760.95,770.4,759.2,761.6,769.15,769.35,765.62,848.0,607.5,2786352,2133292826.35,46331,UPL
8,2023-02-14,EQ,736.5,766.95,735.6,733.8,760.3,761.6,758.85,848.0,607.5,7326901,5560052496.7,130979,UPL
9,2023-02-13,EQ,730.0,736.4,725.0,726.9,732.8,733.8,731.76,848.0,607.5,1265376,925950193.15,32675,UPL
10,2023-02-10,EQ,717.1,729.35,716.55,717.1,727.65,726.9,724.95,848.0,607.5,1282246,929564282.05,35566,UPL
11,2023-02-09,EQ,721.05,722.75,714.05,722.65,717.0,717.1,717.64,848.0,607.5,1097590,787673890.65,31896,UPL
12,2023-02-08,EQ,711.0,723.8,710.0,709.25,719.95,722.65,717.53,848.0,607.5,1050880,754041283.2,30031,UPL
13,2023-02-07,EQ,715.4,716.95,701.15,714.55,709.2,709.25,708.55,848.0,607.5,1571287,1113327888.55,50757,UPL
14,2023-02-06,EQ,715.5,716.7,701.35,715.7,715.0,714.55,710.35,848.0,607.5,1366976,971027466.95,36507,UPL
15,2023-02-03,EQ,701.1,718.0,697.5,696.4,713.75,715.7,708.67,848.0,607.5,2601859,1843848981.4,76616,UPL
16,2023-02-02,EQ,741.0,744.95,684.25,742.15,698.95,696.4,700.61,848.0,607.5,7698238,5393495041.8,190697,UPL
17,2023-02-01,EQ,765.1,771.6,730.0,757.2,740.0,742.15,750.44,848.0,607.5,3623038,2718870166.6,88302,UPL
18,2023-01-31,EQ,748.0,766.7,748.0,745.15,756.85,757.2,758.53,848.0,607.5,3629320,2752955725.55,93008,UPL
19,2023-01-30,EQ,748.75,750.55,737.6,744.7,747.0,745.15,744.03,848.0,607.5,1189091,884723551.8,37975,UPL
20,2023-01-27,EQ,741.65,756.7,735.2,737.95,744.35,744.7,744.38,848.0,607.5,4903817,3650296084.05,61272,UPL
21,2023-01-25,EQ,744.0,746.75,735.25,745.95,737.0,737.95,739.23,848.0,607.5,1865988,1379403506.95,43049,UPL
22,2023-01-24,EQ,750.0,753.6,743.0,749.45,744.35,745.95,747.2,848.0,607.5,1132275,846036795.15,29527,UPL
23,2023-01-23,EQ,742.95,753.45,738.2,737.8,750.0,749.45,748.85,848.0,607.5,2526843,1892227804.7,47716,UPL
24,2023-01-20,EQ,747.6,748.4,735.2,747.55,737.95,737.8,741.69,848.0,607.5,979497,726485933.5,36277,UPL
25,2023-01-19,EQ,732.0,748.85,730.0,732.35,748.15,747.55,744.25,848.0,607.5,3553403,2644632727.8,72471,UPL
26,2023-01-18,EQ,721.25,734.0,721.05,719.2,733.0,732.35,727.22,848.0,607.5,1430862,1040552001.85,50941,UPL
27,2023-01-17,EQ,715.0,723.0,713.6,714.05,720.6,719.2,718.38,848.0,607.5,1349682,969579340.55,42238,UPL
28,2023-01-16,EQ,721.45,723.0,710.5,718.8,714.0,714.05,714.72,848.0,607.5,1079570,771585531.8,29336,UPL
29,2023-01-13,EQ,721.0,723.6,714.4,717.8,717.0,718.8,718.34,848.0,607.5,1310587,941444518.9,36955,UPL
30,2023-01-12,EQ,721.4,722.9,714.35,717.8,719.0,717.8,717.9,848.0,607.5,1272850,913784406.35,43359,UPL
31,2023-01-11,EQ,726.0,727.7,715.4,724.65,717.75,717.8,719.6,848.0,607.5,1400355,1007694962.1,40548,UPL
32,2023-01-10,EQ,735.85,735.85,720.0,734.2,723.95,724.65,726.38,848.0,607.5,1484340,1078190729.75,31738,UPL
33,2023-01-09,EQ,724.0,736.15,722.6,718.15,733.7,734.2,728.69,848.0,607.5,1358106,989642195.25,51222,UPL
34,2023-01-06,EQ,721.4,729.35,715.35,720.3,718.05,718.15,721.0,848.0,607.5,1209522,872064141.95,35192,UPL
35,2023-01-05,EQ,719.25,724.7,713.4,715.65,720.0,720.3,719.05,848.0,607.5,1407487,1012050813.55,52629,UPL
36,2023-01-04,EQ,721.2,722.1,712.0,719.35,715.1,715.65,716.57,848.0,607.5,1354737,970766528.75,42034,UPL
37,2023-01-03,EQ,722.5,727.25,717.2,722.0,719.8,719.35,721.06,848.0,607.5,1277112,920872290.1,27617,UPL
38,2023-01-02,EQ,718.6,724.0,711.95,716.15,722.55,722.0,718.68,848.0,607.5,1259229,904978831.7,27951,UPL
39,2022-12-30,EQ,726.2,732.0,713.4,722.55,717.2,716.15,721.44,848.0,607.5,1387568,1001041937.55,28144,UPL
40,2022-12-29,EQ,724.7,729.85,717.0,723.55,725.0,722.55,722.86,848.0,607.5,1898772,1372548736.45,37515,UPL
41,2022-12-28,EQ,716.0,731.9,714.0,716.35,724.9,723.55,723.98,848.0,607.5,3025343,2190273039.4,84883,UPL
42,2022-12-27,EQ,724.95,724.95,710.0,718.25,719.1,716.35,715.74,848.0,607.5,1693081,1211801044.35,41791,UPL
43,2022-12-26,EQ,712.45,725.35,707.5,711.2,718.5,718.25,718.61,848.0,607.5,955078,686330028.2,27675,UPL
44,2022-12-23,EQ,722.1,727.5,707.95,729.35,708.8,711.2,716.64,848.0,607.5,1175968,842749801.45,52894,UPL
45,2022-12-22,EQ,755.25,761.45,727.45,754.9,728.5,729.35,735.42,848.0,607.5,2404863,1768581471.65,70731,UPL
46,2022-12-21,EQ,761.45,767.5,751.8,754.85,752.65,754.9,759.09,848.0,607.5,2220101,1685262133.2,53201,UPL
47,2022-12-20,EQ,769.0,771.55,749.0,770.15,754.9,754.85,754.95,848.0,607.5,1598234,1206584208.8,47201,UPL
48,2022-12-19,EQ,770.95,773.9,763.25,770.45,768.05,770.15,769.03,848.0,607.5,884769,680411680.2,36629,UPL
49,2022-12-16,EQ,766.2,774.15,759.05,770.75,772.0,770.45,769.38,848.0,607.5,2566446,1974583321.9,52820,UPL
50,2022-12-15,EQ,782.0,788.5,765.5,780.9,770.85,770.75,774.95,848.0,607.5,1692394,1311516405.8,45227,UPL
51,2022-12-14,EQ,768.5,782.0,762.6,767.4,782.0,780.9,775.54,848.0,607.5,1480610,1148278848.45,57077,UPL
52,2022-12-13,EQ,776.0,776.0,763.05,773.05,765.0,767.4,766.51,848.0,607.5,1521073,1165910917.5,44071,UPL
53,2022-12-12,EQ,762.0,775.0,756.6,763.7,774.5,773.05,768.55,848.0,607.5,1124301,864078454.0,33158,UPL
54,2022-12-09,EQ,779.45,781.95,757.05,777.85,764.0,763.7,767.56,848.0,607.5,1636084,1255787407.0,62008,UPL
55,2022-12-08,EQ,782.05,782.9,773.3,778.15,777.9,777.85,777.14,848.0,607.5,1500182,1165851717.2,52201,UPL
56,2022-12-07,EQ,788.0,792.3,776.15,787.9,777.2,778.15,780.53,848.0,607.5,970940,757847392.95,26307,UPL
57,2022-12-06,EQ,801.9,802.8,782.3,802.8,788.0,787.9,790.57,848.0,607.5,1575896,1245854779.7,65944,UPL
58,2022-12-05,EQ,787.5,807.0,784.5,783.7,803.25,802.8,796.06,848.0,607.5,4114694,3275533663.75,91267,UPL
59,2022-12-02,EQ,780.1,785.0,768.0,778.85,784.15,783.7,775.69,848.0,607.5,2337749,1813375077.15,43132,UPL
60,2022-12-01,EQ,780.0,788.65,776.45,789.7,778.6,778.85,780.64,848.0,607.5,1517442,1184572547.8,40311,UPL
61,2022-11-30,EQ,777.9,793.55,774.35,774.85,789.8,789.7,784.55,848.0,607.5,3241756,2543335426.95,62906,UPL
62,2022-11-29,EQ,782.0,784.8,772.3,779.65,774.0,774.85,776.58,848.0,607.5,1266481,983526784.1,38111,UPL
63,2022-11-28,EQ,777.0,784.95,775.45,777.15,778.0,779.65,780.41,848.0,607.5,943112,736015872.2,26866,UPL
